,name,bar_code,quantity,packaging,brand,labels,traceability_code,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,categories,ingredients_origins,manufacturing,link,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,origin_detail,palm_ingredients,brand_owner,producer_info
677,Panettone Chocolat - Loison - 500g,0799729014411,500 g,,['Loison'],['Fabriqué en Italie'],,['France'],[],,,[],,?,405,1695 kj(405 kcal),18,11,51,23,"7,9","0,66","0,264",C,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone', 'Panettone au chocolat']",,,,18 g,en quantité modérée,11 g,en quantité élevée,23 g,en quantité élevée,0.66 g,en quantité modérée,,+8%,+9%,+20%,+22%,-1%,-11%,+16%,+50%,+50%,22,+18%,E,+18%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,
678,Ciucci frizzanti,8016042037234,,,,,,['France'],[],,,[],,?,376,1573 kj(376 kcal),0,0,"87,9","63,43","5,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,Chocolat Lait noisettes - Lindt,0049810016221,,,['Lindt'],,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,Tripes à la provençale,3155060000433,,,,"['Nutriscore', 'Nutriscore B']",,['France'],[],,,[],,?,101,423 kj(101 kcal),3,"1,5",0,0,18,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,Pepites chocolat noir,2344763438143,,,,,,['France'],[],,,[],,?,553,2314 kj(553 kcal),35,20,50,46,"5,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,Kremasi,8682631804152,,,,,,['France'],[],,,[],,?,569,2381 kj(569 kcal),34,"6,3",56,20,"7,9","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,Fuoco d'amore,8007548006718,,,,,,['France'],[],,,[],,?,263,1100 kj(263 kcal),24,"5,2","9,6",0,"1,6","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,Vanilyali tel pismaniye,8697436521203,,,,,,['France'],[],,,[],,?,456,1908 kj(456 kcal),12,"6,5",82,46,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,Infusion energisante Original,3770020966002,,,,,,['France'],[],,,[],,?,2.1,9 kj(2 kcal),0,0,"0,3",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,Poire gingembre,3760258660117,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,Fraises -,2608233014825,,,,['Fabriqué en France'],,['France'],"['Ingrádients sucre', 'sirop de glucose', 'gélatine', 'acidifiant : acide citrique', ' arome', ' colorants: curcumine', 'carmins', 'carotànes végétaux', ' Traces poscibles de gluten', 'de lait et de soja']","['E428 - Gélatine', 'E330 - Acide citrique', 'E100 - Curcumine', 'E120 - Acide carminique']",,"['Non végétalien', 'Non végétarien']",4,?,361,1510 kj(361 kcal),"0,5","0,1",87,74,"2,8",,,E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,,0.5 g,en faible quantité,0.1 g,en faible quantité,74 g,en quantité élevée,,,,+1%,+1%,-73%,-91%,+4%,+28%,+32%,,,,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,
688,Nocciolotto,8013108047237,,,,,,['France'],[],,,[],,?,383,1602 kj(383 kcal),15,"9,7",54,25,"6,7","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,Club forte,8013399161537,,,,,,['France'],[],,,[],,?,389,1628 kj(389 kcal),0,0,97,76,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,Probiotic Advantage,0652829241173,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,Villa frande,8021437029206,,,,,,['France'],[],,,[],,?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,Scotch Whisky,3256223727270,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,raisins sultanine - paquito - 250g,02487861,250g,['Plastique'],['Paquito'],,,['France'],['Raisins sultamine'],,,[],,?,?,,"0,5",,"63,2","59,2","3,4",0,0,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Raisins', 'Raisins secs', 'Raisins secs Sultanines']",,,,0.5 g,en faible quantité,,,59.2 g,en quantité élevée,0 g,en faible quantité,,,,+32%,,+135%,+170%,+240%,-100%,-100%,,,,,37.4%,55.6%,3.3%,1.3%,2.3%,0.0%,44,,,,,
694,Les croustillants de limande et churros,3571495140528,,,,"['Nutriscore', 'Nutriscore C']",,['France'],[],,,[],,?,268,1121 kj(268 kcal),15,"3,3",23,"3,1","9,7","0,83","0,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,Les beignets de morue,3571495140382,,,,,,['France'],[],,,[],,?,197,824 kj(197 kcal),"8,9","1,3",19,"0,4","9,9",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,Performance Vegan Protein Powder,4251105501039,,,,,,['France'],[],,,[],,?,0,0 kj(0 kcal),?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,Farina di carote,8009355001856,,,,,,['France'],[],,,[],,?,1158,4845 kj(1158 kcal),"1,7","0,4","33,3","24,4","9,4","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,pepites de framboises - Aptunion,3612645642018,,,['Aptunion'],,,['France'],[],,,[],,?,346,1448 kj(346 kcal),"0,07","0,04","85,89","84,21","1,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,Pâte à tartiner,5425033231194,,,,,,['France'],[],,,[],,?,554,2318 kj(554 kcal),"38,3","3,2","42,5","40,6","7,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,The noir feuilles entières earl grey,3456300014457,,,,,,['France'],[],,,[],,?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,Stracciatella lait de coco,3297760084068,,,,,,['France'],[],,,[],,?,135,565 kj(135 kcal),"8,3",7,14,"8,7","0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,Orna Jus de raisin - 1l,3592860050655,1l,['Verre'],['Orna'],,,['France'],['100 % JUS DE RAISIN'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,?,?,,?,,?,,?,,,,,,['France'],,3592860050655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Amazon'],,,,
703,Cipolla fiocchi,8003240063578,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,Brioche pour beurrr - Thomas brioche,0115510971112,,,['Thomas brioche'],,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,Tresor de Kellogg's,5059319009650,,,"[""Kellogg's""]","['Sans arômes artificiels', 'Sans colorants', 'Nutriscore', 'Nutriscore D']",,['France'],[],,,[],,?,441,1845 kj(441 kcal),14,4,70,28,"7,2","0,95","0,38",C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",,,,14 g,en quantité modérée,4 g,en quantité modérée,28 g,en quantité élevée,0.95 g,en quantité modérée,,+11%,+10%,+61%,+82%,+5%,+68%,-23%,+166%,+166%,18,+234%,D,+234%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,
706,Tapporosso il latte della centrale latte parzialmente scremato,8009310004892,,,,,,['France'],[],,,[],,?,48,201 kj(48 kcal),"1,6","1,1","5,1","5,1","3,4",0,0,D,,"['Produits laitiers', 'Laits', 'Laits demi-écrémés']",,,,1.6 g,en faible quantité,1.1 g,en faible quantité,5.1 g,en quantité modérée,0 g,en faible quantité,,+2%,+3%,+2%,+9%,+6%,+6%,+5%,-100%,-100%,0,,B,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,
707,Greenweez,3701269701406,,,,,,['France'],[],,,[],,?,379,1586 kj(379 kcal),"5,1","0,6","67,5","4,3","12,8","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,Jus d’orange,3168930164807,,,,,,['France'],[],,,[],,?,42,176 kj(42 kcal),0,0,"8,6","8,6","0,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,Bio sorbet,4056489370239,,,,,,['France'],[],,,[],,?,110,460 kj(110 kcal),0,0,"27,1","26,7","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,Pâté de campagne à l'ancienne de porc français,0253023015098,,,,,"['EMB 29004D', 'Bannalec (Finistère, France)']",['France'],[],,,[],,?,340,1423 kj(340 kcal),30,11,"2,2","0,9",15,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,Poulet,0217004053202,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,Lapin entier découpé avec foie,2295224009207,,,,,,['France'],[],,,[],,?,108,452 kj(108 kcal),2,"0,8",0,0,"22,6","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,Spicy hot pot seasoning,5060786250124,,,,,,['France'],[],,,[],,?,719,3008 kj(719 kcal),73,12,"9,3","1,6",4,"3,9","1,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,Chausson aux pommes,0262036022962,,,,,,['France'],[],,,[],,?,304,1272 kj(304 kcal),18,12,30,10,"3,6","0,53","0,212",B,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Chaussons aux pommes']",,,,18 g,en quantité modérée,12 g,en quantité élevée,10 g,en quantité modérée,0.53 g,en quantité modérée,,-3%,-4%,0%,+4%,-9%,-6%,-8%,-11%,-11%,17,0%,D,0%,75.3%,14.7%,6.1%,3.4%,0.5%,0.0%,75,,,,,
715,Tukan Bio & Vegan,4012359714503,,,,,,['France'],[],,,[],,?,191,799 kj(191 kcal),"9,3","1,5","9,8","7,1",16,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,Confiture de myrtillee allégée en sucres,3546940001501,,,,,,['France'],[],,,[],,?,144,602 kj(144 kcal),"0,2","0,2",40,37,"0,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,American sandwich,3228850444462,,,,,,['France'],[],,,[],,?,1186,4962 kj(1186 kcal),"6,8","0,7","41,2","32,5","10,7","1,13","0,452",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,Pain au chocolat,3292590895426,,,,,,['France'],[],,,[],,?,370,1548 kj(370 kcal),21,15,36,12,"7,2","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,9339341003960,9339341003960,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,Organic Cacao Liquor Buttons,5055936817333,,,,,,['France'],[],,,[],,?,625,2615 kj(625 kcal),53,32,17,3,15,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Pave de thon,2463840025981,,,,,,['France'],[],,,[],,?,122,510 kj(122 kcal),"2,1","0,823",0,0,"25,7","0,153","0,061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,Dolce salame al cioccolato a fette senza glutine,8032632470151,,,,,,['France'],[],,,[],,?,460,1925 kj(460 kcal),23,16,58,34,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,Spiruline,3460341515507,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,E,,"['Compléments alimentaires', 'Spiruline']",,,,,,,,,,,,,,,,,,,,,,,,,,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,,,
724,Miel de pommiers,2100000618613,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,Ribs de porc à la provençale,0211012036349,,,,,,['France'],[],,,[],,?,265,1109 kj(265 kcal),21,"8,1","1,4","0,6",18,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,Zutaten Welzenmehl,4841978000106,,,,,,['France'],[],,,[],,?,226.06,946 kj(226 kcal),"8,88","4,88","39,8",16,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,anchois - Roquettes a la persillade - 1000g,3296945100128,1000g,['boîte ronde en plastique'],['Roquettes a la persillade'],,['3296945100128'],['France'],"[""Depirs 187 ROQUER ONES ROQUE LA PERSILLADE PREPARATION A BASE D00 D'ANCHOIS MARINES GRENACHE Ingrédients filets d'Anchois marinés 60%"", 'Anchois', 'vinaigre,sel,acide citrique', 'huile de tounesol', 'AIL', ' sulfites ', ' 6%,persil 0,6%', ' 66190 3 2969 4 5 100 128 ANCHOIS ', 'engraulis encrasicolus', "" péchés en Atlanrtique Centre-Est MODE D'EMPLOI : prêt à deguster""]",['E330 - Acide citrique'],"['Poisson', 'Anhydride sulfureux et sulfites']","['Non végétalien', 'Non végétarien']",,?,?,,?,,?,,?,,,,,,['France'],['Collioure'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['marché'],,,,
728,Cuisses de Poulet rôties,0202798033325,,"['Barquette', 'Film en plastique']",,,"['EMB 22321C', ""Saint-Nicolas-du-Pélem (Côtes-d'Armor, France)"", 'FR 22.321.008 CE', ""Saint-Nicolas-du-Pélem (Côtes-d'Armor, France)""]",['France'],[],,,[],,?,168,703 kj(168 kcal),"9,1","2,5","1,6","0,5",20,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,Douceur du matin 4 fruits pressés,3168930164777,,"['Pure-Pak', 'Brique en carton']",,,['FSC-C081801'],['France'],"[""Jus d'orange"", 'jus de mandarine', 'jus de raisin blanc', 'purée de banane', ' INFORMATIONS']",,,[],1,?,83,347 kj(83 kcal),0,0,17,2,0,0,0,C,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits']",,,,0 g,en faible quantité,0 g,en faible quantité,2 g,en faible quantité,0 g,en faible quantité,,+80%,+81%,-100%,-100%,+60%,-79%,-100%,-100%,-100%,2,-47%,C,-47%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,
730,Pur jus de pommes - Les Fruisettes - 1litre,3760247832181,1 litre,"['Bouteille plastique', 'bouchon plastique']",['Les Fruisettes'],,,['France'],"['Jus de pomme 100 %', 'acide ascorbique']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,48,201 kj(48 kcal),0,0,"11,8","11,1","0,1","0,011","0,004",C,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits frais', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']",,,,0 g,en faible quantité,0 g,en faible quantité,11.1 g,en quantité élevée,0.011 g,en faible quantité,,+4%,+5%,-100%,-100%,+12%,+18%,-78%,+6%,+6%,5,+45%,C,+45%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,
731,Draineur,3701128800004,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,Pâte à tartiner,15507464,,,,,,['France'],[],,,[],,?,542,2268 kj(542 kcal),31,"8,6",54,52,"8,5","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,Rumsteck à griller,0204291019882,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,Mini corintia,7622210579720,,,,,,['France'],[],,,[],,?,465,1946 kj(465 kcal),10,"7,5",73,33,6,"0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,Cramberries séchées en moitié,2600298015748,,,,,,['France'],[],,,[],,?,355,1485 kj(355 kcal),"0,5","0,5","83,2",65,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,Broken chick peas,8690804359378,,,,,,['France'],[],,,[],,?,407,1703 kj(407 kcal),6,"0,6",60,"10,7","19,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,Robiola - Classic,4000339232321,,,,,,['France'],[],,,[],,?,351,1469 kj(351 kcal),34,23,"3,2","2,2",6,"1,19","0,476",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,Bambi - 170,8600043028836,170,,['Bambi'],,,"['France', 'Serbie']",[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,Freekeh blé vert fumé,3191220019273,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,Nostra confiomel,3770013781032,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,Brioche Nanterre Pep choc 400g,29004430,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,Tomates cerises,3700323801038,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,Capsule La Cumplida Refinda,7630477849272,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,Pain au chocolat,3665287011124,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,Haricots lingots,3242010000718,,,,,,['France'],[],,,[],,?,78,326 kj(78 kcal),5,1,13,7,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,No gemelli con semi di lino,8006680065638,,,,,,['France'],[],,,[],,?,377,1577 kj(377 kcal),"1,1","0,3","72,8",1,16,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,Huile aromatique Bio,3700758102267,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,Provolone valpadana d o p - Selex,8003100861252,,,['Selex'],,,['France'],[],,,[],,?,342,1431 kj(342 kcal),26,18,"0,9",0,26,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,Farine de chataigne,3074006000002,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,Vinaigre ménager surpuissant 14°,3256630030529,,,,,,['France'],[],,,[],,?,17,71 kj(17 kcal),23,22,21,14,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,Confiture,3760286631127,,,,,,['France'],[],,,[],,?,241,1008 kj(241 kcal),0,0,63,43,"0,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,Vol-au-vent,3528960011180,,,,,,['France'],[],,,[],,?,558,2335 kj(558 kcal),"39,9",0,"40,9","1,1",7,"0,71","0,284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,Ravioli asperges,8001665712897,,,,,,['France'],[],,,[],,?,209,874 kj(209 kcal),4,"2,2",33,"4,4",9,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,That's the peanut butter,5906660531524,,,,,,['France'],[],,,[],,?,637,2665 kj(637 kcal),"52,41",7,"4,7","4,4","29,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,Beignets,3248288147070,,,,,,['France'],[],,,[],,?,307,1284 kj(307 kcal),12,"1,4",44,13,"5,1","0,91","0,364",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,Turkish flatbread mini - 1001 delights - 200g,4056489443421,200 g,['Kunststoff'],['1001 delights'],,,"['France', 'Allemagne']","['Weizenmehl', 'Wasser', 'Hefe', 'pflanzliche Öle und Fette ', 'Palm', 'Salz', 'Ackerbohnenmehl', 'Sesam', 'Schwarzkümmel', 'Emulgator: Mono - und Diacetylweinsäureester von Mono - und Diglyceriden von Speisefettsäuren', 'Dextrose', 'Stabilisator: Guarkernmehl', 'Weizengluten', 'Emulgator: Mono - und Diglyceride von Speisefettsäuren', 'Farbstoff: Carotin', 'natürliches Aroma', 'Säuerungsmittel: Citronensäure', 'Ethylalkohol']","[""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E412 - Gomme de guar', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E160a - Carotènes mélangés', 'E330 - Acide citrique', 'E1510 - Éthanol']","['Gluten', 'Graines de sésame']",['Huile de palme'],4,?,246,1029 kj(246 kcal),"1,2","0,2",51,3,"8,3","1,5","0,6",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains plats']",,,,1.2 g,en faible quantité,0.2 g,en faible quantité,3 g,en faible quantité,1.5 g,en quantité modérée,,-20%,-20%,-79%,-83%,-0%,+33%,-11%,+1%,+1%,4,-31%,C,-31%,,,,,,,,['Lidl'],,,,
757,Batard de campagne,,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,mozearella,8436039437357,,,,,,['France'],[],,,[],,?,203,849 kj(203 kcal),15,"14,5",1,"0,8",16,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,Pop cornet sucrés,3760133678923,,,,,,['France'],[],,,[],,?,442,1849 kj(442 kcal),"11,2",1,79,16,"6,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,Biona Organic Italian Extra Virgin Olive Oil,5032722306417,,,,,,['France'],[],,,[],,?,900,3766 kj(900 kcal),100,13,0,0,0,0,0,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,100 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+5%,+5%,+5%,-7%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,
761,Petit gris,3665532020093,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,Lait de Lozère,3269010000098,,,,,"['FR 43.007.001 CE', 'Araules (Haute-Loire, France)']",['France'],[],,,[],,?,46,192 kj(46 kcal),"1,5",1,"4,8","4,8","3,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,Knacks pur porc,3560071413200,,,,,,['France'],[],,,[],,?,286,1197 kj(286 kcal),25,"9,1",1,1,14,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,Mini choc chip,5060000005479,,,,,,['France'],[],,,[],,?,478,2000 kj(478 kcal),"23,6","11,7","59,7","31,1","6,6","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,Pains aux raisins ×6,0202849019681,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,Foin excellence,3501005992347,,,,,,['France'],[],,,[],,?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,Aubergines a la parmesan,8029342008002,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,Noisettes decortiq,0208053047755,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,3346022010540,3346022010540,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770,White chocolate cookie,0847534003387,,,,,,['France'],[],,,[],,?,376,1573 kj(376 kcal),12,3,60,10,7,"0,125","0,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,Gebakken luikse boulette,5413851416459,,,,,,['France'],[],,,[],,?,312,1305 kj(312 kcal),"24,3","8,41","9,4","4,2",14,"1,96","0,784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,Peperoncini,8012386300218,,,,,,['France'],[],,,[],,?,27,113 kj(27 kcal),"0,3","0,09",4,"1,32","0,8","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
