,name,bar_code,quantity,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,generic_name,packaging,additives,nova_score,manufacturing,markets,allergens,ingredients_origins,link,origin_detail,brand_owner,palm_ingredients,producer_info
1693,Auchan Baguette Saveur 250g,2030506530853,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694,Saumon bio - Carrefour Bio,3321431026580,,['Carrefour Bio'],['France'],[],[],?,179,749 kj(179 kcal),10,2,"0,5","0,5",22,3,"1,2",,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,
1695,Tomates séchées - En Cuisine,3560071112479,,['En Cuisine'],['France'],[],[],?,154,644 kj(154 kcal),10,"0,9","9,2","4,3",3,"1,7","0,68",E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Produits déshydratés', 'Tomates et dérivés', 'Aliments à base de plantes séchées', 'Légumes séchés', 'Tomate séchée']",,10 g,en quantité modérée,0.9 g,en faible quantité,4.3 g,en faible quantité,1.7 g,en quantité élevée,,-26%,-26%,-13%,-36%,-41%,-61%,-21%,-43%,-43%,2,-63%,B,-63%,34.1%,59.8%,3.6%,1.3%,1.0%,0.2%,13,,,,,,,,,,,,,,
1696,Flan entremets au chocolat,3027030012770,,,['France'],[],[],?,84,351 kj(84 kcal),2,"1,2",13,12,"3,6","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1697,Coulis extra fraise - Fruits rouges and Co. - 500g,3385630112888,500g,['Fruits rouges and Co.'],['France'],"['EN INGREDIENTS 15% strawbemy', ' 15% sugu naise 85%', 'sucre du produit 5% CONSERVATION Pour une conservation optimale des uolités organoleptiques', 'il t consellé de le conserver au frais e +4°C/+6°C']",[],356,84,356 kj(84 kcal),"0,5",0,18,18,"0,6","0,01","0,004",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Sauces', 'Sauces dessert', 'Coulis de fruits', 'Coulis de fraise']","['Nutriscore', 'Nutriscore A']",0.5 g,en faible quantité,0 g,en faible quantité,18 g,en quantité élevée,0.01 g,en faible quantité,,-25%,-25%,+116%,-100%,-32%,-31%,+49%,-27%,-27%,-1,-134%,A,-134%,,,,,,,,,,['souple plastique'],,,,,,,,,,,
1698,2 bûchettes patissières - Picard,3270160841967,,['Picard'],['France'],[],[],?,247,1033 kj(247 kcal),15,"9,7",25,21,"2,5","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Picard'],,,,,,,
1699,Kefir,3770014530004,,,['France'],[],[],?,14,59 kj(14 kcal),0,0,"3,5","3,5",0,0,0,,"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Kéfir']","['Bio', 'Bio européen', 'FR-BIO-09']",0 g,en faible quantité,0 g,en faible quantité,3.5 g,en quantité modérée,0 g,en faible quantité,,-75%,-75%,-100%,-100%,-32%,-23%,-100%,-100%,-100%,5,-56%,C,-56%,,,,,,,,,,,,,,,,,,,,,
1700,Fois gras Délicat - Labeyrie,3033610031543,,['Labeyrie'],['France'],"[""Foie Gras d'Oie "", 'Origine Hongrie', 'sel', 'Sauternes AOP* ', '0,5%', 'épices', 'sucre', 'antioxydant: E301', 'conservateur: E250']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,511,2138 kj(511 kcal),52,0,2,1,"8,8","1,2","0,48",B,"['Poissons et viandes et oeufs', 'Foies gras', ""Foies gras d'oies""]",,52 g,en quantité élevée,0 g,en faible quantité,1 g,en faible quantité,1.2 g,en quantité modérée,,+12%,+11%,+12%,-100%,-9%,-30%,+11%,-5%,-5%,11,-46%,D,-46%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,"['FR 40.261.001 CE', 'Saint-Geours-de-Maremne (Landes, France)']",,['Sous vide'],"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",3,['Hongrie'],,,['Hongrie'],,,,,
1701,Croissance nature,3560071286262,,,['France'],[],[],?,?,,?,,?,,?,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702,Double concentrée de tomate,8010706724614,,,['France'],[],[],?,97,406 kj(97 kcal),"0,5",0,"15,7","13,2","4,7","1,2","0,48",A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Double concentré de tomate', 'en:Canned-double-concentrate-tomato-paste']","['Nutriscore', 'Nutriscore A']",0.5 g,en faible quantité,0 g,en faible quantité,13.2 g,en quantité élevée,1.2 g,en quantité modérée,,+9%,+9%,-30%,-100%,+4%,-10%,+3%,+62%,+62%,1,,B,,23.6%,38.4%,18.3%,11.0%,8.7%,0.0%,96,,,['Conserve'],,,,,,,,,,,
1703,Foie gras,3033610031499,,,['France'],[],[],?,534,2234 kj(534 kcal),55,23,"2,4","1,9","7,3","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,Gâteau aux noix du Périgord,3462670000495,,,['France'],[],[],?,458.5,1918 kj(458 kcal),"16,8","16,8","70,8","42,9","8,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705,les toques blanches - 300g,3770002165881,300g,['les toques blanches'],['France'],"['Foie gras de canard du Sud-Ouest ', 'origine France', 'sel', 'sucre', 'poivre', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",2382,578,2382 kj(578 kcal),60,27,"2,3","2,2","6,4","1,2","0,48",B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foie gras de canard entier cuit']","['Fabriqué en France', 'IGP']",60 g,en quantité élevée,27 g,en quantité élevée,2.2 g,en faible quantité,1.2 g,en quantité modérée,+8%,+9%,+8%,+10%,+17%,-5%,+63%,-15%,0%,0%,22,+6%,E,+6%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,"['FR 40.191.001 CE', 'Montaut (Landes, France)']",,['sous vide'],"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",3,,,,['France'],,,,,
1706,Latte scremato,8002795000069,,,['France'],[],[],?,34,142 kj(34 kcal),"0,1",0,"5,1","5,1","3,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707,Tarte au fromages - Marie - 400g,3248830000860,400 g,['Marie'],['France'],"['Garniture 65,1% :eau', 'oeufs de poules élevées en plein air 13,2%', 'fromage blanc 11%', 'edam 10,3%', ""Bleu d'Auvergne AOP 4,6%"", 'mozzarella 4,5%', 'crème fraîche 4,2%', 'amidon de maïs', 'sel', 'muscade', 'poivre', 'Pâte feuilletée 34,9% :farine de blé française', 'eau', 'beurre 5,1%', 'sel', 'levure désactivée']",['Non végétalien'],1034,247,1034 kj(247 kcal),14,"8,3",19,"1,3",11,"0,89","0,356",,"['Surgelés', 'Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas et tartes surgelées', 'Tartes salées surgelées']","['Plein air', 'Œufs de poules élevées en plein air', 'Nutriscore', 'Nutriscore D', 'Farine de blé français']",14 g,en quantité modérée,8.3 g,en quantité élevée,1.3 g,en faible quantité,0.89 g,en quantité modérée,+7%,+5%,+6%,+10%,+27%,-12%,-58%,+56%,-6%,-6%,14,+35%,D,+35%,,,,,,,,"['FR 86.160.002 CE', 'Mirebeau (Vienne, France)']",,"['Carton', 'plastique']",,3,['Mirebeau'],['Carrefour'],['Lait'],,http://www.marie.fr,,,,
1708,Chocolat praliné,3760290338791,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709,Boundolce,8005380030014,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710,Ugly Peach - 4 * 33cl,5060595630100,4 * 33 cl,['Ugly'],['France'],"['Sparkling water', 'natural peach flavour']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",8,1.9,8 kj(1 kcal),0,0,0,0,0,0,0,,"['Boissons', 'Boissons gazeuses', 'Eaux', 'Eaux gazeuses', 'Eaux aromatisées', 'Eaux gazeuses aromatisées']","['Peu ou pas de sucre', 'Sans sucre', 'Sans édulcorants']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,+167%,+90%,+167%,-100%,,-100%,-100%,-100%,-100%,-100%,1,+41%,B,+41%,,,,,,,,,,['Can'],,4,,['iD Stock'],,,,,,,
1711,Canard basquaise au piment d’espelette - Maison Montfort,3104544075962,,['Maison Montfort'],['France'],[],[],?,104,435 kj(104 kcal),"5,1","1,56","6,6","2,8","7,4","0,78","0,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712,Parmentier de canard - Maison Montfort,3104544075931,,['Maison Montfort'],['France'],[],[],?,142,594 kj(142 kcal),"7,3","3,8",12,"0,8","6,3","0,78","0,312",D,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au canard', 'Parmentiers de canard']",,7.3 g,en quantité modérée,3.8 g,en quantité modérée,0.8 g,en faible quantité,0.78 g,en quantité modérée,,+1%,+1%,-5%,+4%,+25%,-50%,-12%,+0%,+0%,4,+36%,C,+36%,78.8%,12.8%,2.6%,3.3%,1.4%,1.0%,46,,,,,,,,,,,,,,
1713,Badtoro,8435055002082,,,['France'],[],[],?,1,4 kj(1 kcal),10,2,80,60,0,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714,Sauce crudités aux agrumes,3560071256685,,,['France'],[],[],?,304,1272 kj(304 kcal),31,"3,4",4,"3,2","1,2","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1715,P!K - Haribo - 650g,3103220047484,650 g,['Haribo'],['France'],"['Sirop de glucose', ' sucre', ' gélatine', ' dextrose', ' acidifiants: acide citrique', 'acide malique', "" agent d'enrobage: cire de carnauba"", "" correcteurs d'acidité: citrate tricalcique"", 'malate acide de sodium', ' arôme', ' concentrés de fruits et de plantes: carthame', 'spiruline', 'pomme', 'patate douce', 'radis', ' colorants: carotènes végétaux', 'lutéine', 'anthocyanes']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,348,1456 kj(348 kcal),0,0,79,51,"5,5","0,21","0,084",,"['Snacks', 'Snacks sucrés', 'Confiseries']",['Point Vert'],0 g,en faible quantité,0 g,en faible quantité,51 g,en quantité élevée,0.21 g,en faible quantité,,-17%,-17%,-100%,-100%,+19%,+3%,+31%,+43%,+43%,14,-23%,D,-23%,,,,,,,,,,['Plastique'],"['E428 - Gélatine', 'E330 - Acide citrique', 'E296 - Acide malique', 'E903 - Cire de carnauba', 'E333iii - Citrate tricalcique', 'E350ii - Malate acide de sodium', 'E160aii - Carotènes végétaux', 'E161b - Lutéine', 'E163 - Anthocyanes']",4,,,,,,,,,
1716,Foie gras de canard entier du sud-ouest - Carrefour,3560071232276,,['Carrefour'],['France'],[],[],?,526,2201 kj(526 kcal),54,21,"2,5","0,7","7,4","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 65304E', 'Maubourguet (Hautes-Pyrénées, France)', 'FR 65.304.002 CE', 'Maubourguet (Hautes-Pyrénées, France)']",,,,,,['Carrefour'],,,,,,,
1717,Super U,3256228422736,,,['France'],[],[],?,64,268 kj(64 kcal),"1,3","0,9",10,10,3,10,4,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'Nutriscore', 'Nutriscore B']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FSC-C113115', 'FR 22.099.001 CE', ""Lanfains (Côtes-d'Armor, France)""]",,['Etui en carton'],,,,,,,,,,,
1718,Buche lacaron citron de sicile,3274664170189,,,['France'],[],[],?,189,791 kj(189 kcal),"7,2","2,6",28,22,"1,8","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1719,Truffe fantaisie -  - 6,3700766402854,6,,['France'],[],[],2455,591,2455 kj(591 kcal),44,37,43,39,"4,2","0,17","0,068",,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Truffes en chocolat']",,44 g,en quantité élevée,37 g,en quantité élevée,39 g,en quantité élevée,0.17 g,en faible quantité,+4%,+1%,+1%,+1%,+13%,+6%,+6%,-11%,+30%,+30%,25,+5%,E,+5%,,,,,,,,,,,,,,,,,,,,,
1720,"Pomme de terre - Vitalis - 2,5kg",3389382040024,"2,5kg",['Vitalis'],['France'],"['Pommes de terre de consommation', 'spéciale frites', ' Variété Bintje CAL 50/70M CAT 2?']",[],412,98,,"2,09",,"17,6",,"2,03",,,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pommes de terre']",,,,,,,,,,,,,,,,,,,,,,,,28.6%,0.0%,23.6%,24.0%,19.8%,4.1%,98,,,['Filet pastique'],,,['62450 Bapaume'],['Leclerc'],,,,,,,
1721,Le brassé des Alpes,3760178250498,,,['France'],[],[],?,132,552 kj(132 kcal),"11,5","11,5","4,4","4,4",3,"0,1","0,04",,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",,11.5 g,en quantité modérée,11.5 g,en quantité élevée,4.4 g,en faible quantité,0.1 g,en faible quantité,,+43%,+44%,+252%,+461%,-60%,-56%,-20%,-13%,-13%,11,+259%,D,+259%,,,,,,,,,,,,,,,,,,,,,
1722,Levure boulangère -  - 5g,3107400021189,5 g,,['France'],"['Levure de boulangerie sèche vivante', 'émulsifiant : E491', ' Traces éventuelles de céréales contenant du gluten']",[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E491 - Monostéarate de sorbitane', '', 'Risque élevé de sur-exposition']",4,,,,,,,,,
1723,3067162177534,3067162177534,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1724,Caramel Beurre salé Agrumes -,3770004925155,,,['France'],[],[],?,432,1807 kj(432 kcal),30,17,39,32,"1,2","0,53","0,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725,Papa outang,3501940126302,,,['France'],[],[],?,427,1787 kj(427 kcal),26,"2,4",44,34,"5,5","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726,Shape shake 2.0 - Foodspring,4260363489003,,['Foodspring'],['France'],"['Isolat de protéines de petit-lait ', 'provenant du lait', ""farine d'avVoine complète sans gluten"", 'inuline', 'fařine de lin', 'émulsifiant ', 'lécithiņe de tournesol', 'épaisšissant ', 'gomme de xantha ne', 'arôme haturel', 'phosphate de potassium', 'colorant alimentaire ', 'poudre de betterave', 'phosphate tricalcigue', 'poudre de fraise ', 'com - posants de fruits ', '65%', 'amidon de mais', ' 06 %', 'acidifiant ', 'acide Citrique', 'hydroxyde de magnésium', 'sel de table', 'complexes multi - enzymátiques ', 'maltodextrine', 'amylase', 'protéase', 'B-D-galactosida se', 'lipase', 'cellulase', 'édulcorants ', 'sucralose', 'stéviol glycosides', 'aci - de L-ascorbique', 'Sulfate de fer l', 'Oxyde de zinc', 'lactobacillus açidophilus', 'nicoținamide', 'gluconaté de cuivre', 'l', 'sulfate de manga nèse', '11', 'acetate dę D-alpha-tọcophéryle,D-pantothénate decalcium', 'antioxydant ', 'DL-alpha-tocophérol', 'riboflavine', 'chlorhydrate de pyri doxiné', 'monònitrate de thjamine', 'acétate de rétinyle acide ptéróy monoglutamigue', 'antiągglomérant ', 'dioxyde de silicium', 'iodure đe sodium', 'sélénite de sodium', 'phylloguinone', 'D-biotine', 'cholécalciférol', 'cyanocobalamine', "" Peut contenir dės traces d'euf et de soja"", ' Perdre du poids avec le Shape Shake 2', '0: Remciace deux des Oauotidiens nar un Shane Shake 2', '0 chacun contr-']",['Non végétalien'],?,344,1439 kj(344 kcal),"6,8","1,4",22,3,40,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E340 - Orthophosphates de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E1100 - Amylases', 'E1101 - Protéases', 'E1104 - Lipases', 'E955 - Sucralose', 'E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition']",4,,,,,,,,,
1727,Ravioli bolognaise,3261055951106,,,['France'],[],[],?,98,410 kj(98 kcal),"3,5","1,5",11,2,"4,9","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 02617A', 'Pouilly-sur-Serre (Aisne, France)']",,,,,,,,,,,,,
1728,Chocolat pâtissier 56% bio et équitable - 200g - La Fourche - 200g,3760324840085,200 g,['La Fourche'],['France'],"['Sucre de canne roux* du Paraguay et du Brésil', 'pâte de cacao* du Pérou', ""beurre de cacao* d'Amérique Latine "", 'principalement Pérou et République Dominicaine', "" Cacao minimum : 56% *ingrédients issus de l'agriculture biologique"", 'certifiés par ECOCERT', 'Agriculture Non UE', ' Peut contenir des traces de céréales contenant du gluten', ""d'arachides"", ""d'oeuf"", 'de soja', 'de lait et de fruits à coques', ' Cacao', 'sucre de canne le bilan de masse est utilise pour correspondre au volume acheté aux conditions Fairtrade/Max havelaar: 100% poids total', 'www', 'maxhavelaarfrance', 'org']",[],2367,566,2367 kj(566 kcal),40,25,45,43,"4,2","0,2","0,08",E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolat noir pâtissier en tablette à 40% de cacao minimum']","['Bio', 'Commerce équitable', 'Agriculture non UE', 'Fabriqué en France', 'Max Havelaar', 'Max Havelaar France']",40 g,en quantité élevée,25 g,en quantité élevée,43 g,en quantité élevée,0.2 g,en faible quantité,+4%,+2%,+2%,+2%,+8%,+17%,+36%,-45%,+328%,+328%,21,-1%,E,-1%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,['Carton'],,,['France'],,,['Paraguay'],,,,,
1729,Pate au figatellu et au vin,3425471103192,,,['France'],[],[],?,419,1753 kj(419 kcal),38,13,"2,4",0,15,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730,Saumon sauvage,3038680008105,,,['France'],[],[],?,115,481 kj(115 kcal),"2,7","0,6",0,0,23,"3,6","1,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1731,Croquants fabriqués en Auvergne a la framboise - Leclerc,3564709186979,,"['Leclerc', 'Nos Régions ont du Talent']",['France'],"['Farine de blé 63 g', 'sucre 29 g', 'beurre 15 g', 'purée de framboise du Massif Central 5 g', 'lait', 'œufs 2 g', 'arôme naturel de framboise', 'poudre à lever : bicarbonate de soude', 'sel', ' Traces de fruits à coque', 'graines de sésame et soja', ' Poids mis en æuvre pour 100 g de produit fini']",['Non végétalien'],?,455,1904 kj(455 kcal),13,"8,1",77,30,"6,5","0,34","0,136",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']","['Nutriscore', 'Nutriscore D']",13 g,en quantité modérée,8.1 g,en quantité élevée,30 g,en quantité élevée,0.34 g,en quantité modérée,,-4%,-4%,-38%,-20%,+20%,+2%,0%,-42%,-42%,18,-9%,D,-9%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,['E500ii - Carbonate acide de sodium'],4,,,"['Œufs', 'Gluten', 'Lait']",,,,,,
1732,pain de miel noisettes raisins,3276550265009,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733,EffeuillerEffeuillé de pommes de terre à la truffe,3503651110076,,,['France'],[],[],?,126,527 kj(126 kcal),"5,9","2,9",15,"0,6","2,5","0,69","0,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 85288B', 'Talmont-Saint-Hilaire (Vendée, France)', 'FR 85.288.005 CE', 'Talmont-Saint-Hilaire (Vendée, France)']",,,,,,,,,,,,,
1734,Gran Kinara,8001408872116,,,['France'],[],[],?,427,1787 kj(427 kcal),33,19,"1,4","0,5",31,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1735,Vegan protein chocolat,8718836395833,,,['France'],[],[],?,392,1640 kj(392 kcal),"6,9","4,1","3,9","0,2","78,49","1,9","0,76",,"['Compléments alimentaires', 'Compléments pour le Bodybuilding']",,6.9 g,en quantité modérée,4.1 g,en quantité modérée,0.2 g,en faible quantité,1.9 g,en quantité élevée,,+9%,+9%,-25%,+6%,-84%,-98%,+109%,+261%,+261%,16,+95%,D,+95%,,,,,,,,,,,,,,,,,,,,,
1736,Fond de veau,7613039838877,,,['France'],[],[],?,320,1339 kj(320 kcal),"2,5","0,5","65,2","13,6","8,4","16,8","6,72",,"['Viandes', 'Bœuf', 'Préparations de viande', 'Préparations de viande bovine', 'Fond de veau']",,2.5 g,en faible quantité,0.5 g,en faible quantité,13.6 g,en quantité élevée,16.8 g,en quantité élevée,,+30%,+25%,-23%,-47%,+35%,+66%,+34%,+20%,+20%,16,+55%,D,+55%,,,,,,,,,,,,,,,,,,,,,
1737,Stracchino con fermento dello yogurt,8007222502437,,,['France'],[],[],?,314,1314 kj(314 kcal),27,19,"2,6","1,6",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1738,Duo caramel beurre salé - L'atelier Bernard Marot,3760280490461,,"[""L'atelier Bernard Marot""]",['France'],[],[],?,395,1653 kj(395 kcal),15,10,64,58,2,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739,tropifun - Haribo,3103220048030,,['Haribo'],['France'],"['CONFISERIE GÉLIFIÉE AUX FRUITS', 'AROMATISÉE /ngrédients: sirop de glucose', ' suce gélatine', ' dextrose', ' jus de fruits concentrés 4,1% quivalent fruits 16%', ': raisin', 'pomme', 'psire', 'orange', 'citron', ' acidifiant: acide citrique', 'concentrés de fruits et de plantes: carthame', 'spiruline', 'pomme', ' arômes naturels', ' colo ants: carotènes végétaux', 'lutéine', 'anthocyanes', "" agents d'enrobage: cire d'abeille blanche et jaune"", 'cire de carnauba']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,1383,5786 kj(1383 kcal),"0,5","0,1",75,48,"5,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E330 - Acide citrique', 'E160aii - Carotènes végétaux', 'E161b - Lutéine', 'E163 - Anthocyanes', ""E901 - Cire d'abeille"", 'E903 - Cire de carnauba']",4,,,,,,,,,
1740,Saumon fume,3250392925925,,,['France'],[],[],?,165,690 kj(165 kcal),9,2,5,5,20,3,"1,2",E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,9 g,en quantité modérée,2 g,en quantité modérée,5 g,en quantité modérée,3 g,en quantité élevée,,-11%,-11%,-14%,-3%,+912%,+1397%,-10%,+6%,+6%,14,+7%,D,+7%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,,
1741,Fumet de poisson boîte,7613039832288,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742,Chocolat Grand Cru 95%,3701283500160,,,['France'],[],"['Végétalien', 'Végétarien']",?,645,2699 kj(645 kcal),57,"33,5","24,4","1,6","11,6",,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats']","['Bio', 'Végétarien', 'Sans gluten', 'Végétalien']",57 g,en quantité élevée,33.5 g,en quantité élevée,1.6 g,en faible quantité,,,,+17%,+17%,+57%,+59%,-47%,-96%,+60%,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743,Le bio delicat - Labeyrie - 355g,3033610070795,355g,['Labeyrie'],['France'],[],[],?,?,,?,,?,,?,,,D,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Fumé en France']",,,,,,,,,,,,,,,,,,,,,,,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,"['FR 40.261.001 CE', 'Saint-Geours-de-Maremne (Landes, France)']",,"['Plastique', 'Frais', 'Sous vide']",,,['France'],,,,,,,,
