,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,traceability_code,quantity,markets,packaging,brand_owner,generic_name,ingredients_origins,manufacturing,link,palm_ingredients,producer_info,origin_detail
543,Taboule a l'orientale - Tout feu tout frais - 800g,3760039502087,B,"['Tout feu tout frais', 'Brédial']","['Plats préparés', 'Plats à base de semoule', 'Taboulés', 'Taboulés orientaux']",['France'],"['Semoule de blé ', 'GLUTEN', 'poivrons', 'huile de colza', 'oignons', 'raisins secs ', 'raisin sec sultanine', 'huile de graine de coton', 'vinaigre blanc,\rjus de citron', 'sel de Guérande', 'aromates ', 'oignon', 'persil', 'ciboulette', 'cerfeuil', 'poivre de Sao Tomé', 'ail', 'menthe', ' À CONSOMMER\rRAPIDEMENT']",,['Gluten'],['Végétarien'],4,7.8 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,0.81 g,en quantité modérée,858,+16%,205,+16%,858 kj(205 kcal),+15%,"7,8",+15%,0,-100%,28,+19%,0,-100%,"4,7",+9%,"0,81",-15%,"0,324",-15%,1,-63%,B,-63%,63.1%,7.6%,11.4%,10.7%,5.7%,1.6%,94,"['Végétarien', 'Sans additifs', 'Sans colorants', 'Sans arômes ajoutés', 'Sans conservateurs', 'Sans sulfites']","['FR 29.160.020 CE', 'Plabennec (Finistère, France)']",800g,,"['Frais', 'Barquette', 'Plastique']",,,,['Bretagne'],https://www.toutfeu-toutfrais.com/taboule-lorientale-xml-469_471-7199.html,,,
544,Salade légume soleil (catalane) - Crous Resto,3760270250334,,['Crous Resto'],"['Plats préparés', 'Salades', 'Salades composées', 'Salades de légumes']",['France'],"['salade mélangée ', '30 %', ' ', 'Chicorée rouge', 'Frisée', ' Mache', ' courgette grillée ', '18%', 'aubergine grillée ', '18%', 'poivron jaune grille ', '15%', 'Fromage de brebis a pate molle au LAIT pasteu risé ', '11%', ' ', 'LAIT de brebis pasteurisé', 'sel', ' ferments LACTIQUES', 'tomate semi séchée ', 'Tomates ', '64%', 'huile de tournesol ', '34', ' %', 'vinaigre de cidre', 'sel', 'menthe ', '0,05 %', 'ail', 'persil', 'piment', ""0 correcteur d'acidité : acide citrique"", ' 2']",['E330 - Acide citrique'],['Lait'],['Non végétalien'],3,5.2 g,en quantité modérée,1.9 g,en quantité modérée,3.7 g,en faible quantité,0 g,en faible quantité,?,,80,-40%,335 kj(80 kcal),-39%,"5,2",-21%,"1,9",+90%,"4,3",-53%,"3,7",+64%,"2,9",-60%,0,-100%,0,-100%,-7,,A,,,,,,,,,,,,['Crous'],,,,,,,,,
545,Salade Piémontaise - Tout feu tout frais - 800g,3760039502070,,"['Tout feu tout frais', 'Brédial']","['Plats préparés', 'Salades', 'Salades composées']",['France'],"['Pomme de terre', 'tomate', 'mayonnaise [huile de colza', 'eau', 'moutarde de Dijon ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'acidifiant : E330', 'antioxygène : disulfite de potassium ', 'sulfites', 'jaune d’œuf', ""vinaigre d'alcool"", 'sel', 'saccharose', 'épaississants : gomme de guar ', 'E412', 'gomme xanthan ', 'E415', ' - amidon modifié de pommes de terre ', 'E1414', ']', 'œuf', 'cornichon ', 'origine France', 'sel de Guérande']","['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E14XX - Amidons modifiés', 'E1414 - Phosphate de diamidon acétylé']","['Œufs', 'Moutarde', 'Anhydride sulfureux et sulfites']","['Non végétalien', 'Végétarien']",4,17 g,en quantité modérée,1.4 g,en faible quantité,0.8 g,en faible quantité,1.1 g,en quantité modérée,803,+31%,192,+26%,803 kj(192 kcal),+27%,17,+90%,"1,4",+4%,"6,4",-37%,"0,8",-65%,"2,8",-49%,"1,1",+25%,"0,44",+25%,4,+163%,C,+163%,,,,,,,,"['Végétarien', 'Sans additifs', 'Sans conservateur artificiel', 'Sans colorants', 'Sans arômes ajoutés', 'Sans sulfites']","['FR 29.160.020 CE', 'Plabennec (Finistère, France)']",800g,,"['Frais', 'Barquette', 'Plastique']",,,,['Bretagne'],https://www.toutfeu-toutfrais.com/piemontaise-xml-469_471-7191.html,,,
546,Viande des Grisons au poivre 9 tranches - Casino - 70g,3222477074583,,['Casino'],"['Viandes', 'Bœuf', 'Préparations de viande', 'Préparations de viande bovine', 'Viandes séchées', 'Viande des grisons']",['France'],"['Viande bovine ', 'origine : ue', "" - sel - épices et extraits d'épice - dextrose - sucre - conservateur : nitrate de potassium - acidifiant : citrate de sodium - antioxydant : ascorbate de sodium - ferments"", ' enrobage : poivre 1% - gélatine de bœuf', ' traces de lait', 'fruits à coque', 'soja', 'œuf et moutarde']","['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium', 'E301 - Ascorbate de sodium', 'E428 - Gélatine']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,3.9 g,en quantité modérée,2.3 g,en quantité modérée,0.7 g,en faible quantité,4.7 g,en quantité élevée,838,+1%,198,+1%,838 kj(198 kcal),+2%,"3,9",+1%,"2,3",+49%,"0,8",-3%,"0,7",+16%,40,+2%,"4,7",-0%,"1,88",-0%,14,+9%,D,+9%,,,,,,,,,"['EMB 57032A', 'Ars-sur-Moselle (Moselle, France)']",70 g,['Casino'],,,"Viande des grisons, enrobage à base de poivre.",,,,,,
547,Riz long grain étuvé - La Vie Claire - 1kg,3266191107899,B,['La Vie Claire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz long grain']",['France'],"['Riz long* grain de qualité supérieure étuvé', ' ""ingrédient agricole Issu de l’Agriculture Biologique', "" Traces possibles d'amandes"", 'gluten', 'noisettes', 'sésame et soja']",,,[],1,0.3 g,en faible quantité,0 g,en faible quantité,0.3 g,en faible quantité,0.23 g,en faible quantité,?,,336,0%,1406 kj(336 kcal),-1%,"0,3",-72%,0,-100%,"81,3",+11%,"0,3",+4%,"7,4",+1%,"0,23",+1111%,"0,092",+1111%,1,,B,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,1 kg,['La Vie Claire'],"['Sachet', 'Plastique']",,,['Italie'],,,,,
548,Maggi So Juicy Garlic Chicken 30G,7613033910074,,['Maggi'],,['France'],"['vegetables ', 'potato', 'tomato', 'onion ', '8,5%', 'parsnip', 'garlic ', '24%', 'table salt', 'sugar', 'herbs and spices ', 'parsley ', '2,5%', 'black pepper', 'paprika', 'ginger', 'coriander', 'marjoram', 'cayenne chili pepper', 'maize starch', 'sunflower oil', 'vinegar', 'beetroot concentrate', 'lemon juice concentrate', 'flavouring', 'may contain traces of wheat', 'eggs', 'soya', 'milk', 'celery and mustard', 'carefully blended by us bag']",,,[],4,,,,,,,,,?,,79,,331 kj(79 kcal),,"0,5",,"0,1",,"8,5",,"1,9",,"9,8",,"0,27",,"0,108",,,,,,,,,,,,,,,,,,,,,,,,,
549,Sync protein bio -,3770009606141,,,,['France'],[],,,[],,,,,,,,,,?,,412,,1724 kj(412 kcal),,"5,7",,"0,8",,"6,7",,3,,"76,6",,"1,8",,"0,72",,,,,,,,,,,,,"['Bio', 'Bio européen', 'BE-BIO-01', 'Agriculture UE/Non UE']",,,,,,,,,,,,
550,Sandwich poulet - COOP,7610849921577,C,['COOP'],"['Sandwichs', 'Sandwichs à la volaille', 'Sandwichs au poulet']",['France'],[],,,[],,6.5 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,1.6 g,en quantité élevée,?,,214,-4%,895 kj(214 kcal),-4%,"6,5",-23%,0,-100%,25,-3%,0,-100%,13,+29%,"1,6",+32%,"0,64",+32%,4,+48%,C,+48%,74.5%,14.3%,4.5%,4.2%,2.0%,0.5%,58,,,,,,,,,,,,,
551,Huile de tournesol -,7230664000549,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Graines de tournesol et dérivés', 'Huiles de tournesol']",['France'],['huile de tournesol raffinée'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",2,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,76.7%,11.6%,3.7%,6.1%,1.8%,0.0%,49,,,,,,,,,,,,,
552,Salade de pomme de terre aux harengs -,3300842270294,C,,"['Plats préparés', 'Salades', 'Salades composées', 'Plats à base de pommes de terre', 'Salades de pommes de terre']",['France'],[],,,[],,9.7 g,en quantité modérée,1 g,en faible quantité,0.5 g,en faible quantité,0.9 g,en quantité modérée,?,,140,-7%,586 kj(140 kcal),-6%,"9,7",-8%,1,-8%,"9,9",+16%,"0,5",-44%,"3,4",-18%,"0,9",-10%,"0,36",-10%,2,-41%,B,-41%,72.8%,14.2%,6.7%,3.8%,2.0%,0.5%,58,,,,,,,,,,,,,
553,"Lipton Ice Tea, Lemon Flavoures",8712566226160,B,['Lipton'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés']",['France'],[],,,[],,,,,,,,,,?,,18,+100%,75 kj(18 kcal),+103%,"0,5",+692%,"0,1",+410%,"4,3",+146%,"4,2",+218%,"0,5",+196%,"0,03",+133%,"0,012",+133%,6,+52%,D,+52%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,
554,Rijstpudding,,,,,['France'],[],,,[],,,,,,,,,,?,,276,,1155 kj(276 kcal),,"10,1",,"5,9",,34,,"30,1",,"10,2",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,
555,Ravioles fraîches aux légumes - Bioverde,4000915105186,,['Bioverde'],"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioles']",['France'],[],,,[],,1.5 g,en faible quantité,0.4 g,en faible quantité,3.8 g,en faible quantité,1.6 g,en quantité élevée,?,,147,-42%,615 kj(147 kcal),-43%,"1,5",-85%,"0,4",-93%,26,-10%,"3,8",+130%,"6,2",-44%,"1,6",+22%,"0,64",+22%,5,-60%,C,-60%,,,,,,,,"['Bio', 'Bio européen', 'DE-ÖKO-001']",,,,,,,,,,,,
556,Volaille au cidre de Normandie - Pays gourmand,26078922,,['Pays gourmand'],"['Conserves', 'Viandes', 'Volailles']",['France'],"['Pilons de poulet 40% ', 'origine : UE', 'eau', 'champignons de Paris émincés', 'oignons', 'crème fraiche 4,5%', 'carottes', 'Cidre de Normandie IGP 3', '6%', 'poireaux', 'amidon de mais transformé', 'bouillon de poulet concentré leau', 'poulet ', 'os', 'viande', 'graisse', 'sel]', 'ail', 'sel', 'poivre']",,['Lait'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",3,4.6 g,en quantité modérée,1.6 g,en quantité modérée,0.7 g,en faible quantité,0.74 g,en quantité modérée,?,,94,-18%,393 kj(94 kcal),-16%,"4,6",-12%,"1,6",+38%,"2,9",-43%,"0,7",-63%,10,+24%,"0,74",-15%,"0,296",-15%,0,-100%,B,-100%,,,,,,,,,,,,,,,,,,,,
557,"0,5KG C6 Arome Pistache Sebalce",3506170088468,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,Mouchoirs caresse - Marque repère - 180,3564706516649,,['Marque repère'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,180,['Leclerc'],"['Boite carton', 'Etui en carton']",,Mouchoirs,,,,,,
559,"Taille ""S"" Herbal Infusion",3760249070123,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,Soupline,8718951191891,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,['Barquette'],,,,,,,,
561,Thé Bio  / Thé Rooïbos,8711138664058,,,,"['France', 'Pays-Bas']",[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'NL-BIO-01']",,,['Ekoplaza'],,,,,,,,,
562,100G the Vert Sencha - Celnat,3273120014227,,['Celnat'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
563,Tropi muesli extra - El Granero Integral,8422584048513,C,['El Granero Integral'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']","['France', 'Espagne']",[],,,[],,9.4 g,en quantité modérée,4.11 g,en quantité modérée,11.7 g,en quantité modérée,0.025 g,en faible quantité,?,,377,-6%,1577 kj(377 kcal),-6%,"9,4",+8%,"4,11",+87%,"57,4",-14%,"11,68",-30%,"9,99",+7%,"0,025",-93%,"0,01",-93%,5,-7%,C,-7%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,,,,,,,,
564,Heinz Chicken And Mushroom Soup 400G - 400g,5000157063236,,['Heinz'],,"['France', 'Royaume-Uni']",[],,,[],,,,,,,,,,?,,50,,209 kj(50 kcal),,"2,8",,"0,4",,"4,7",,"1,6",,"1,6",,"0,6",,"0,24",,,,,,,,,,,,,,,400 g,,,,,,,,,,
565,Poivrons verts piquants,20210427,,,,['France'],[],,,[],,,,,,,,,,?,,187,,782 kj(187 kcal),,"17,8",,"10,5",,"1,9",,"0,5",,"3,5",,"1,39",,"0,556",,,,,,,,,,,,,"['en:German Agricultural Society', ""Médaille d'or de la Société Allemande d'Agriculture"", ""Médaille d'or 2017 de la Société Allemande d'Agriculture""]",,,,,,,,,,,,
566,3600542085137,3600542085137,,,"['Non alimentaire', 'Open Beauty Facts']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,Jus D'orange à Base De Concentré cora,3257982142533,D,['Cora'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits à base de concentré', ""Jus d'orange"", ""Jus d'orange à base de concentré""]",['France'],[],,,[],,0.5 g,en faible quantité,0 g,en faible quantité,8.8 g,en quantité élevée,0.01 g,en faible quantité,?,,45,+5%,188 kj(45 kcal),+3%,"0,5",+163%,0,-100%,"9,8",+1%,"8,8",-3%,"0,6",-4%,"0,01",+21%,"0,004",+21%,3,0%,C,0%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,
568,3282770073706,3282770073706,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,Milka Choco Muffin,0202086025582,,['Milka'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,Crispy white - Deli Cata,5400113614418,E,['Deli Cata'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats blancs']","['Belgique', 'France']","['sucre', 'lait entier en poudre', 'beurre de cacao', 'farine de riz', 'farine de blé', 'émulsifiant ', 'lécithine de soja', 'farine de malt de blé', 'gluten de blé', 'dextrose', 'sel', 'arome naturel de vanille', ' Teneur en lait 29% minimum', ' Allergènes: contient gluten de blé', 'lactose', 'protéines du lait', 'soja', "" Peut contenir des traces d'oeuf"", 'fruits à coque']",['E322i - Lécithine'],"['Gluten', 'Lait', 'Soja']",['Non végétalien'],4,31 g,en quantité élevée,19 g,en quantité élevée,52 g,en quantité élevée,0.4 g,en quantité modérée,?,,545,-4%,2280 kj(545 kcal),-3%,31,-14%,19,-12%,58,+9%,52,+3%,8,+20%,"0,4",+56%,"0,16",+56%,27,+1%,E,+1%,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,"['Agriculture durable', 'en:UTZ Certified']",,,['Delhaize'],,,,,,,,,
571,Saucisse pour hot dog,3252831304094,,,,['France'],[],,,[],,,,,,,,,,?,,252,,1054 kj(252 kcal),,21,,"8,3",,3,,3,,13,,"2,6",,"1,04",,,,,,,,,,,,,,,,,,,,,,,,,
572,Kitkat -,3800020418338,,,,['France'],[],,,[],,,,,,,,,,?,,525,,2197 kj(525 kcal),,"27,7",,"14,9",,"62,3",,"52,1",,"5,9",,"0,24",,"0,096",,,,,,,,,,,,,['Cocoa-plan'],,,,,,,,,,,,
573,TABLETTE DE CHOCOLAT NOIR CEIBA 64% -  - 100g,3000000046135,D,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['France'],"['fèves de cacao', 'sucre de canne', 'beurre de cacao', 'émulsifiant : lécithine de soja']",['E322i - Lécithine'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,41.6 g,en quantité élevée,24.6 g,en quantité élevée,30 g,en quantité élevée,0.06 g,en faible quantité,2406,+6%,?,,2406 kj(575 kcal),+4%,"41,6",+6%,"24,6",+6%,"39,3",+2%,30,-5%,"7,4",-3%,"0,06",+28%,"0,024",+28%,23,+8%,E,+8%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,100 g,['La PART des ANGES'],['Carton'],,CHOCOLAT,['République dominicaine'],['Le MANS'],,,,
574,Juliette - Uberach - 50cl,3760036720064,C,['Uberach'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières aromatisées']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,50cl,,['Bouteille'],,,,,,,,
575,leka Cream,6111195017040,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,Mozarella rapé - Sans nom,0060383195830,D,"['Sans nom', 'No Name']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella']",['France'],[],,,[],,16.6 g,en quantité modérée,11.7 g,en quantité élevée,0 g,en faible quantité,0.6 g,en quantité modérée,?,,266,+2%,1113 kj(266 kcal),+3%,"16,65",-20%,"11,65",-17%,"3,33",+223%,0,-100%,"26,64",+59%,"0,6",-11%,"0,24",-11%,10,-2%,C,-2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,
577,Nectar de Litchi - Delhaize,5400113586418,,['Delhaize'],,"['Belgique', 'France']",[],,,[],,,,,,,,,,?,,44,,184 kj(44 kcal),,"0,5",,"0,1",,"10,6",,"10,6",,"0,2",,0,,0,,,,,,,,,,,,,,,,['Delhaize'],,,,,,,,,
578,Riz de camargue Long complet - Bongran - 500g,3261430001112,B,['Bongran'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz long grain', 'Riz de Camargue']",['France'],[],,,[],,3.4 g,en quantité modérée,0.8 g,en faible quantité,0.7 g,en faible quantité,0.02 g,en faible quantité,?,,350,-0%,1464 kj(350 kcal),-0%,"3,4",+84%,"0,8",+91%,"70,8",-6%,"0,7",+51%,"6,9",-8%,"0,02",+140%,"0,008",+140%,-4,,A,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'Fabriqué en France', 'IGP']",,500 g,,,,,,,,,,
579,Foie gras de canard entier du sud-ouest - Montfort,3104544019119,,['Montfort'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Point Vert'],"['FR 65.304.002 CE', 'Maubourguet (Hautes-Pyrénées, France)']",,,,,,,,,,,
580,Kiwi hayward france - Mourfues Fruits - 1kg,3476655080099,B,['Mourfues Fruits'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits frais', 'Kiwis', 'Kiwis frais']",['France'],['Kiwi Hayward calibre 55/70'],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,75.1%,0.0%,0.0%,11.4%,10.2%,3.4%,96,,,1 kg,['Carrefour'],"['Barquette plastique', 'Film plastique']",,,['France'],,,,,
581,Smarties mini 446g - Nestlé,7613036288552,,['Nestlé'],,['France'],[],,,[],,,,,,,,,,?,,478,,2000 kj(478 kcal),,"19,6",,"11,3",,"69,5",,64,,"5,3",,"0,14",,"0,056",,,,,,,,,,,,,,,,,,,,,,,,,
582,Käsetangen Gouda - Rossmann,4305615326467,,"['Rossmann', 'Ener Bio']",,['France'],[],,,[],,,,,,,,,,?,,569,,2381 kj(569 kcal),,"38,2",,"25,5",,"42,3",,0,,"13,3",,"3,3",,"1,32",,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
583,Yaourt brebis au lait entier miel -,3760014991721,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au miel', 'Yaourts au lait de brebis']",['France'],[],,,[],,6 g,en quantité modérée,4 g,en quantité modérée,19 g,en quantité élevée,0.1 g,en faible quantité,?,,144,+18%,602 kj(144 kcal),+18%,6,+13%,4,+23%,19,+28%,19,+34%,"4,7",+19%,"0,1",+1%,"0,04",+1%,6,+39%,C,+39%,,,,,,,,,"['FR 43.162.002 CE', 'Retournac (Haute-Loire, France)']",,,,,,,,,,,
584,Calissons d'Aix - Le Roy René,3102622700034,B,['Le Roy René'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Calissons', ""Calissons d'Aix""]",['France'],[],,,[],,18 g,en quantité modérée,1.6 g,en quantité modérée,54 g,en quantité élevée,0.03 g,en faible quantité,?,,445,-0%,1862 kj(445 kcal),-0%,18,+1%,"1,6",-8%,62,+0%,54,+8%,7,-8%,"0,03",-11%,"0,012",-11%,16,+11%,D,+11%,43.9%,29.6%,15.5%,7.5%,3.5%,0.0%,95,,,,,,,,,,,,,
585,Liqueur PUNCH antillaise ANANAS - Clément,3107460006652,,['Clément'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,Miel - fourneaux et fils apiculteur - 500g,3502190014005,A,['fourneaux et fils apiculteur'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",['France'],['miel'],,,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,500g,['Biocoop'],['pot en verre'],,,['France'],['saint nicolas d aliermont'],http://www.miel-fourneaux.fr,,,
587,Tanduay - 75cl,4800220503154,,['Tanduay'],"['Boissons', 'Boissons alcoolisées']",['France'],['rhum'],,,"['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Tanduay'],,75cl,,['75cl'],,,,,,,,
588,Pains burgers géants Jacquet - 4,02641423,,['Jacquet'],,['France'],"['Farine de blé ', '61%', 'eau', 'sucre', 'levure', 'huile de colza', 'graines de sésame ', '2,1%', 'gluten de blé', 'arôme ', 'contient alcool', 'sel', 'conservateur : propionate de calcium', 'farine de fève', ""extrait d'acérola"", ' Présence possible de : lait', 'oeufs', ' Une recette sans huile de palme pour des pains hamburgers moelleux']",['E282 - Propionate de calcium'],"['Œufs', 'Gluten', 'Graines de sésame']","['Sans huile de palme', 'Non végétalien']",4,,,,,,,,,?,,276,,1155 kj(276 kcal),,5,,"0,5",,47,,"6,3",,"9,3",,1,,"0,4",,,,,,,,,,,,,['en:palm-oil-free'],,4,['E. Leclerc'],['Paquet plastique'],,,"[""Farine de blés d'origine française""]",,http://www.painsjacquet.fr,,,
589,Sumac - Suntat,8690804025525,,['Suntat'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,Salted pretzels - By Sainsbury's,01138467,,"[""By Sainsbury's""]",,"['France', 'Royaume-Uni']",[],,,[],,,,,,,,,,?,,393,,1644 kj(393 kcal),,"4,2",,"0,5",,"76,7",,"1,8",,"10,3",,"1,5",,"0,6",,,,,,,,,,,,,,,,,['mixed plastic film-packet'],,,,,,,,
591,Fjord - Danone,3033490178550,,['Danone'],,['France'],[],,,[],,,,,,,,,,?,,612,,2561 kj(612 kcal),,"12,5",,"8,8",,"4,9",,"4,9",,"3,9",,"0,14",,"0,056",,,,,,,,,,,,,['Nutriscore'],,,,,,,,,,,,
592,3760119343067,3760119343067,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,Lamelles de dinde (saveur kebab),3378740373980,,,,['France'],[],,,[],,,,,,,,,,?,,125,,523 kj(125 kcal),,"5,4",,"1,6",,"1,1",,"0,6",,17,,"1,77",,"0,708",,,,,,,,,,,,,['Halal'],,,,,,,,,,,,
594,À Bicyclette 100% vegetal - 4x 100g,12533763,,,,['France'],"['Eau', 'framboise ', '10%', 'avoine complète ', '9,6%', 'sucre', 'extrait de noix de coco', 'farine de riz ', '1,1%', ""purée d'amande "", '1%', 'airelles rouges sucrées séchées', ""jus concentré d'airelles rouges"", 'jus concentré de citron', ""fibre d'avoine"", 'amidon', 'épaississants: pectines-agar-agar', 'jus concentré de carotte noire', 'concentré de raisin', 'arôme naturel', 'sel', 'antioxydant: extrait riche en tocophérols', 'phosphates de calcium', 'vitamine D', "" Peut contenir des traces d'autres céréales contenant du gluten""]","['E440 - Pectines', 'E306 - Extrait riche en tocophérols']",,[],4,,,,,,,,,?,,93,,389 kj(93 kcal),,"1,8",,"0,7",,17,,"9,7",,"1,3",,"0,1",,"0,04",,,,,,,,,,,,,,,4 x 100 g,,,,,,,,,,
