,name,bar_code,brand,labels,sales_countries,ingredients_list,allergens,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,categories,nova_score,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,generic_name,packaging,palm_ingredients,ingredients_origins,traceability_code,markets,manufacturing,link,producer_info
654,Oignons frits,3352397000581,,,['France'],[],,[],?,580,2427 kj(580 kcal),44,20,40,0,6,1,"0,4",,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Oignons et dérivés', 'Oignons frits']",,20 g,en quantité élevée,0 g,en faible quantité,1 g,en quantité modérée,,+2%,+2%,+4%,+10%,-0%,-100%,+2%,-9%,-9%,35.2%,59.0%,2.2%,1.7%,1.6%,0.3%,26,44 g,en quantité élevée,13,-4%,D,-4%,,,,,,"['EMB 47271A', 'Saint-Pierre-sur-Dropt (Lot-et-Garonne, France)']",,,,
655,Courgettes Origine ESPAGNE,3352397058018,,,['France'],[],,[],?,13,54 kj(13 kcal),"1,7","0,4","1,8","0,49","1,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,Courgettes filet,3352397059046,,,['France'],[],,[],?,13,54 kj(13 kcal),"1,7","0,4","1,8","0,49","1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,Potiron,3352397114042,,,['France'],[],,[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,Légumes Pot au Feu - Maître Jardinier - 1kg,3352397122047,['Maître Jardinier'],,['France'],"['Oignon', 'poireau', 'carotte', 'navet', 'thym', 'laurier', 'céleri']",['Céleri'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,1 kg,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Légumes frais']",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,Fruit 4 fit,3352399000046,['Fruit 4 Fit'],,['France'],"['Graine de tournesol ', 'raisin de Corinthe', 'fève de cacao ', 'pistache']",['Fruits à coque'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,508,2125 kj(508 kcal),37,10,32,23,14,"0,015","0,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,Cardio un coeur en forme - fruit4fit - 40g,3352399000077,['Fruit4fit'],,['France'],"['Cerneaux de noix', 'cassis ', 'cassis séché', 'concentré de jus de pomme', 'concentré de jus de citron,huile de tournesol', ' et gingembre moulu']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,615,2570 kj(615 kcal),"48,8","4,5","28,8",22,"11,2","0,025","0,01",40 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs']",3,4.5 g,en quantité modérée,22 g,en quantité élevée,0.025 g,en faible quantité,,+83%,+82%,+607%,+99%,-50%,-49%,+173%,-71%,-71%,,,,,,,,48.8 g,en quantité élevée,0,-100%,B,-100%,,,,,,,,,,
661,Form Up,3352399000190,,['Sans sucre ajouté'],['France'],[],,[],?,385,1611 kj(385 kcal),35,"13,6",10,"2,4",12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,Fruit 4 fit ig control,3352399000206,,['Sans sucre ajouté'],['France'],[],,[],?,385,1611 kj(385 kcal),26,"2,3",30,15,"10,5","0,011","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,Refuel - Fruit4fit,3352399000244,['Fruit4fit'],['Bio'],['France'],"['Graine de tournesol ', 'raisin de Corinthe ', 'raisin sec', 'huile végétale de tournesol', 'fève de cacao et pistache', "" Mélange élaboré en France à partir de fruits originaires de l'Union Européenne et de pays tiers"", ' Conservation A conserver dans un endroit frais ', 'température conseillée maxi 200C', ""sec et à l'abri de la lumière"", ' A consommer de préférence sous 20 jours après Ouverture', ' Pour conserver Vtoutes les qualités nutritionnelles et les bénéfices du mélange', 'pense à refermer le zip après chaque ouverture']",['Fruits à coque'],[],?,508,2125 kj(508 kcal),37,10,32,23,14,"0,015","0,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,Baie de Goji,3352399000299,,,['France'],[],,[],?,300,1255 kj(300 kcal),"1,5","0,3",55,50,11,"0,78","0,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,Cassis séché,3352399000305,,,['France'],[],,[],?,100,418 kj(100 kcal),"1,6","0,6",79,69,"1,1","0,035","0,014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,Graines de Chia,3352399000459,,,['France'],[],,[],?,466,1950 kj(466 kcal),"33,4",4,"4,9","0,7","20,3",0,0,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Chia']",,4 g,en quantité modérée,0.7 g,en faible quantité,0 g,en faible quantité,,+4%,+4%,+9%,+28%,-59%,+27%,+1%,-100%,-100%,88.0%,0.0%,4.6%,2.4%,3.1%,1.9%,35,33.4 g,en quantité élevée,3,+233%,C,+233%,,,,,,,,,,
667,Pignons de pin,3352399000664,,,['France'],[],,[],?,695,2908 kj(695 kcal),"65,4","4,6","5,6","3,6","13,7","0,02","0,008",,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Pignons de pin']",,4.6 g,en quantité modérée,3.6 g,en faible quantité,0.02 g,en faible quantité,,+2%,+2%,+4%,-13%,-39%,-3%,-22%,+33%,+33%,91.0%,1.7%,3.2%,2.0%,2.2%,0.0%,45,65.4 g,en quantité élevée,12,+17%,D,+17%,,,,,,,,,,
668,Mélange 4 Nuts,3352399000749,,,['France'],[],,[],?,648,2711 kj(648 kcal),"54,9",6,"17,3",5,"21,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,Tommette des alpes,3352400003363,,,['France'],[],,[],?,358,1498 kj(358 kcal),30,"22,2","0,1","0,1",22,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 38.159.001 CE', 'Eydoche (Isère, France)']",,,,
670,Reblochon - La Colombiere,3352430000127,['La Colombiere'],,['France'],"['lait de vache cru et entier ', '97% mini', 'sel', 'ferments ', 'contient lait', 'présure animale', 'caséine ', 'contient lait', 'colorant de croûte : rocou']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,328,1372 kj(328 kcal),"27,4","18,8","0,5","0,5","19,9","1,3","0,52",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons', 'en:aoc-cheeses', 'en:labeled-cheeses']",4,18.8 g,en quantité élevée,0.5 g,en faible quantité,1.3 g,en quantité modérée,,+1%,+2%,+2%,0%,+36%,+121%,-1%,-3%,-3%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,27.4 g,en quantité élevée,14,-2%,D,-2%,['E160b - Rocou'],,,,,,,,,
671,Reblochon. De Savoie - Le mutant,3352430000134,['Le mutant'],,['France'],[],,[],?,328,1372 kj(328 kcal),"27,4","18,8","0,4","0,4","19,9","1,3","0,52",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons', 'en:aoc-cheeses', 'en:labeled-cheeses']",,18.8 g,en quantité élevée,0.4 g,en faible quantité,1.3 g,en quantité modérée,,+1%,+2%,+2%,0%,+9%,+77%,-1%,-3%,-3%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,27.4 g,en quantité élevée,14,-2%,D,-2%,,,,,,,,,,
672,Reblochon de Savoie - Floralpes,3352430000141,['Floralpes'],['AOP'],['France'],"['Lait cru et entier ', '97% minimum', ' de vache', 'sel', 'ferments ', 'lait', 'présure animale', 'caséine ', 'lait', 'colorant de croûte : rocou']",['Lait'],"['Non végétalien', 'Non végétarien']",?,328,1372 kj(328 kcal),"27,4","18,8","< 0,5","< 0,1","19,9","1,3","0,52",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons', 'en:aoc-cheeses', 'en:labeled-cheeses']",4,18.8 g,en quantité élevée,0.1 g,en faible quantité,1.3 g,en quantité modérée,,+1%,+2%,+2%,0%,+36%,-56%,-1%,-3%,-3%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,27.4 g,en quantité élevée,14,-2%,D,-2%,['E160b - Rocou'],,,,,"['FR 74.128.050 CE', 'Fillinges (Haute-Savoie, France)']",['Grand frais'],['74250 Fillinges'],,
673,3352430000332,3352430000332,,,['France'],[],,[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,Tommette des Alpes - Verdannet,3352430003296,['Verdannet'],,['France'],[],,[],?,358,1498 kj(358 kcal),30,22,"0,1","0,1",22,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 38.159.001 CE', 'Eydoche (Isère, France)']",,,,
675,Abondance discount,3352430004002,,,['France'],[],,[],?,393,1644 kj(393 kcal),"30,3","20,1","3,7","0,1","26,6","1,3","0,52",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Abondance']",,20.1 g,en quantité élevée,0.1 g,en faible quantité,1.3 g,en quantité modérée,,-2%,-2%,-8%,-7%,+479%,-64%,+6%,-18%,-18%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,30.3 g,en quantité élevée,14,-11%,D,-11%,,,,,,,,,,
676,Fromage,3352430004064,,,['France'],[],,[],?,393,1644 kj(393 kcal),"30,3","20,1","3,7","0,1","26,6","1,3","0,52",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,20.1 g,en quantité élevée,0.1 g,en faible quantité,1.3 g,en quantité modérée,,+19%,+20%,+14%,+13%,+206%,-87%,+30%,0%,0%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,30.3 g,en quantité élevée,14,+2%,D,+2%,,,,,,,,,,
677,Fondue savoyarde - Verdannet - 1kg,3352430006075,['Verdannet'],,['France'],"['Cru des Alpes ', '85 % maximum', 'Abondance AOP ', '10% minimum', ' et Beaufort AOP ', '5% minimum', ' \\eabriqué à partir de fromages au LAIT cru ', 'origine : France', ' $±avec présence de CQ', "" '*Lysozyme d'ŒUF"", ' a At?ûver à + 80 C maxim t', ' v']","['Œufs', 'Lait']","['Non végétalien', 'Non végétarien']",?,412,1724 kj(412 kcal),"34,8","25,7","1,2","0,2","23,5","1,7","0,68",1 kg,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages râpés']",,25.7 g,en quantité élevée,0.2 g,en faible quantité,1.7 g,en quantité élevée,,+10%,+11%,+20%,+32%,+24%,-45%,-14%,+70%,+70%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,34.8 g,en quantité élevée,17,+32%,D,+32%,['E1105 - Lysozyme'],,['Frais'],,,"['FR 74.128.050 CE', 'Fillinges (Haute-Savoie, France)']",,,,
678,Sélection pour fondue - Verdannet - 800g,3352430006099,"['Verdannet', 'Fromagerie Verdannet']",,['France'],"['Lait cru des Alpes', 'Emmental', 'Abondance', 'autres fromages', 'fromages au lait cru', "" avec conservateur : lysozyme d'oeuf""]","['Œufs', 'Lait']","['Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,800 g,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",3,,,,,,,,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,['E1105 - Lysozyme'],,"['Plastique', 'Frais']",,,"['FR 74.128.050 CE', 'Fillinges (Haute-Savoie, France)']",,,,
679,Cru des Alpes,3352430006365,,,['France'],[],,[],?,412,1724 kj(412 kcal),"34,8","25,7","1,2","0,2","23,5","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 74.128.050 CE', 'Fillinges (Haute-Savoie, France)']",,,,
680,Reblochon de Savoir,3352431332647,,,['France'],[],,[],?,328,1372 kj(328 kcal),"27,4","18,8","0,5","0,1","19,9","1,3","0,52",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons', 'en:aoc-cheeses', 'en:labeled-cheeses']",,18.8 g,en quantité élevée,0.1 g,en faible quantité,1.3 g,en quantité modérée,,+1%,+2%,+2%,0%,+36%,-56%,-1%,-3%,-3%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,27.4 g,en quantité élevée,14,-2%,D,-2%,,,,,,,,,,
681,Prestige Muscadet Sèvre et Maine sur Lie - Chéreau-Carré - 75cl,3352590019816,['Chéreau-Carré'],"['AOP', 'Fabriqué en France', 'Contient des sulfites', 'Déconseillé aux femmes enceintes']",['France'],"['Vin blanc Muscadet Sèvre et Maine AOP', ' Contient des sulfites']",['Anhydride sulfureux et sulfites'],[],?,?,,?,,?,,?,,,75 cl,B,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Vins blancs', 'Muscadet-Sèvre et Maine']",,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,"['Verre', 'Bouteille']",,['France'],,['Leclerc'],['France'],,
682,Sirop de menthe,3352681115212,,,['France'],[],,[],?,?,,?,,?,,?,,,,B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de menthe']",,,,,,,,,,,,,,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,,,,,
683,Incroyable mousse au chocolat,3352745593758,,,['France'],[],,[],?,358,1498 kj(358 kcal),25,15,24,15,23,"0,11","0,044",,D,"['Desserts', 'Desserts au chocolat', 'Mousses au chocolat']",,15 g,en quantité élevée,15 g,en quantité élevée,0.11 g,en faible quantité,,+31%,+33%,+52%,+49%,+9%,-25%,+289%,-50%,-50%,86.6%,6.7%,1.9%,3.5%,1.0%,0.3%,35,25 g,en quantité élevée,17,+29%,D,+29%,,,,,,,,,,
684,Reglisse au miel - Auzier Chabernac,3352750200115,['Auzier Chabernac'],"['en:gluten-free', 'Sans colorants', 'Sans conservateurs']",['France'],[],,[],?,286,1197 kj(286 kcal),"0,002","0,001","49,7","49,1","1,3","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,Pâte de Réglisse - Auzier Chabernac,3352750200139,['Auzier Chabernac'],"['Végétarien', 'en:gluten-free', 'Végétalien', 'Sans colorants', 'Sans conservateurs']",['France'],[],,"['Végétalien', 'Végétarien']",?,282,1180 kj(282 kcal),0,0,"46,6","45,6","1,6","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,pastille au menthol,3352750200153,,"['en:gluten-free', 'Fabriqué en France']",['France'],[],,[],?,194,812 kj(194 kcal),"0,4","0,1","60,3","28,9",1,"0,001",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,Boules pure gomme,3352750220083,,,['France'],[],,[],?,194,812 kj(194 kcal),"0,4","0,1","60,3","28,9",1,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,La réglisse de Montpellier,3352750500017,,"['Fabriqué en France', 'Sans colorants']",['France'],[],,[],?,265,1109 kj(265 kcal),"0,1","0,1","48,6","44,81","1,2","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,Les reglisses de montpellier,3352750500031,,,['France'],[],,[],?,286,1197 kj(286 kcal),0,0,"49,7","49,1","1,3","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,Sujets a la réglisse - Auzier Chabernac,3352750600014,['Auzier Chabernac'],,['France'],[],,[],?,357,1494 kj(357 kcal),0,0,"88,9","62,8","0,3","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 34255B', 'Saint-Gély-du-Fesc (Hérault, France)']",,,,
691,Guimauve au caramel beurre salé d'isigny - Auzier Chabernac,3352750600069,['Auzier Chabernac'],,['France'],[],,[],?,344,1439 kj(344 kcal),0,0,"81,8",81,"4,2","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 34255B', 'Saint-Gély-du-Fesc (Hérault, France)']",,,,
692,Guimauve Fantaisie Aromatisée à la banane - Auzier Chabernac - 150g,3352750600113,['Auzier Chabernac'],"['Point Vert', 'Triman']",['France'],"['sirop de glucose de blé', 'sucre', 'sirop de sucre inverti', 'gélatine', 'amidon de blé', 'eau', 'amidon', 'arôme naturel de banane et autres arômes naturels']",['Gluten'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1462,?,1462 kj(349 kcal),0,0,"81,8",81,"4,2","0,02","0,008",150 g,B,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Guimauves']",4,0 g,en faible quantité,81 g,en quantité élevée,0.02 g,en faible quantité,-3%,,-1%,-100%,-100%,+7%,+26%,+16%,-65%,-65%,60.5%,21.9%,10.2%,5.2%,2.3%,0.0%,89,0 g,en faible quantité,14,-11%,D,-11%,['E428 - Gélatine'],Guimauve aromatisée à la banane,"['Plastique', 'Pot']",,,"['EMB 34255B', 'Saint-Gély-du-Fesc (Hérault, France)']",,['France'],,
693,Guimauve,3352750600175,,,['France'],[],,[],?,344,1439 kj(344 kcal),0,0,"81,8",81,"4,2","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,22 lanieres guimauve fantaisie,3352750700035,,,['France'],[],,[],?,344,1439 kj(344 kcal),0,0,"81,8",81,"4,2","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 34255B', 'Saint-Gély-du-Fesc (Hérault, France)']",,,,
695,Pate Vanillee a La Reglisse - Auzier chabernac - 250G,3352750700141,['Auzier chabernac'],"['Végétarien', 'en:gluten-free', 'Végétalien', 'Sans colorants']",['France'],['Sucdereglisse arôme'],,"['Végétalien', 'Végétarien']",?,265,1109 kj(265 kcal),"0,1",0,"48,6","44,81","1,2","0,05","0,02",250 G,,"['Snacks', 'Snacks sucrés', 'Confiseries']",,0 g,en faible quantité,44.8 g,en quantité élevée,0.05 g,en faible quantité,,-37%,-37%,-99%,-100%,-27%,-10%,-71%,-66%,-66%,,,,,,,,0.1 g,en faible quantité,7,-62%,C,-62%,,,['Bonbons'],,,,['Utile'],,,
696,Gommes secours aux extraits d'orange - Auzier Chabernac,3352751100018,['Auzier Chabernac'],"['Végétarien', 'en:gluten-free', 'Végétalien', 'Fabriqué en France']",['France'],[],,"['Végétalien', 'Végétarien']",?,194,812 kj(194 kcal),"0,4","0,1","60,3","28,9",1,"0,01","0,004",,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,0.1 g,en faible quantité,28.9 g,en quantité élevée,0.01 g,en faible quantité,,-46%,-46%,-78%,-91%,-28%,-50%,-53%,-92%,-92%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,0.4 g,en faible quantité,8,-44%,C,-44%,,,,,,,,,,
697,Canistrelli au fromage,3352771565422,,,['France'],[],,[],?,485,2029 kj(485 kcal),24,"5,5",57,"2,6",10,"2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,Canistrelli,3352772310434,,,['France'],[],,[],?,461,1929 kj(461 kcal),17,"7,5",69,33,"7,1","0,28","0,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,Pain 7 cereales - Biscuiterie Maniccia,3352773215622,['Biscuiterie Maniccia'],,['France'],"['farine de blé TSS', 'graines ', '46%', ' : tournesol', 'lin', 'brun', 'lin jaune', 'millet', 'sésame et pavot bleu', 'farine de céréales toastées ', 'mais et orge maltée', 'gluten vital de blé', 'germes de blé', 'farine de blé malté', 'eau', 'matières grasses végétales non hydrogénées ', 'lécithine de soja E322', 'levure', 'se\\', 'E-282 ', 'propionate de calcium', 'agent de traitement de la far\\ne s', "" acide ascorbique' enzymes"", 'hemicellulose et amylase sous atmOSPhère Protectrice*']",['Graines de sésame'],[],?,30,126 kj(30 kcal),"0,1","0,1",1,"0,1",0,"0,1","0,04",,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E322i - Lécithine', 'E282 - Propionate de calcium']",,,,,,,,,
700,Canistrelli chocolat,3352774216031,,,['France'],[],,[],?,461,1929 kj(461 kcal),17,5,69,33,"7,1","0,28","0,112",,,"['Snacks', 'Snacks sucrés']",,5 g,en quantité modérée,33 g,en quantité élevée,0.28 g,en faible quantité,,+3%,+3%,-16%,-50%,+20%,-7%,+19%,-27%,-27%,,,,,,,,17 g,en quantité modérée,17,-11%,D,-11%,,,,,,,,,,
701,Canistrelli nature,3352777124012,,,['France'],[],,[],?,463,1937 kj(463 kcal),16,"6,3",71,31,"7,3","0,31","0,124",,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs', 'Canistrelli']",,6.3 g,en quantité élevée,31 g,en quantité élevée,0.31 g,en quantité modérée,,-0%,-0%,-12%,+149%,+6%,+13%,+9%,-51%,-51%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,16 g,en quantité modérée,18,+22%,D,+22%,,,,,,,,,,
702,Confiture Cerise Noire Au Sucre De Canne - L'assiette Basque,3352900002569,"[""L'assiette Basque""]",,['France'],[],,[],?,174,728 kj(174 kcal),?,0,?,42,"0,8",0,0,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de cerises']",,0 g,en faible quantité,42 g,en quantité élevée,0 g,en faible quantité,,-22%,-22%,,-100%,,-19%,+25%,-100%,-100%,73.9%,8.9%,10.5%,4.6%,1.7%,0.4%,50,,,,,,,,,,,,,,,,
703,Confiture de cerise,3352900019222,,,['France'],[],,[],?,174,728 kj(174 kcal),"0,2",0,42,42,"0,8","0,1","0,04",,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de cerises']",,0 g,en faible quantité,42 g,en quantité élevée,0.1 g,en faible quantité,,-22%,-22%,-18%,-100%,-22%,-19%,+25%,+279%,+279%,73.9%,8.9%,10.5%,4.6%,1.7%,0.4%,50,0.2 g,en faible quantité,10,+1%,C,+1%,,,,,,,,,,
704,Confiture cerise noire au piment d ´Espelette,3352915600002,,,['France'],[],,[],?,174,728 kj(174 kcal),"0,2",0,42,42,"0,8","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,Cerise noire,3352917000008,,,['France'],[],,[],?,174,728 kj(174 kcal),"0,2","0,2",42,42,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,Confiture d'Orange - Loredi,3352917100005,['Loredi'],,['France'],"['Orange', 'sucre', 'citron', 'pectine']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,160,669 kj(160 kcal),"0,1",0,42,42,"0,7","0,05","0,02",,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'agrumes"", ""Confitures d'orange""]",4,0 g,en faible quantité,42 g,en quantité élevée,0.05 g,en faible quantité,,-26%,-25%,-57%,-100%,-20%,-17%,+42%,+92%,+92%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,0.1 g,en faible quantité,8,-15%,C,-15%,['E440 - Pectines'],,,,,,,,,
707,Confiture figue noire - LoReBio - 200g,3352920550002,['LoReBio'],,['France'],[],,[],?,167,699 kj(167 kcal),"0,2",0,42,42,"0,7","0,05","0,02",200 g,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de figues']",,0 g,en faible quantité,42 g,en quantité élevée,0.05 g,en faible quantité,,-28%,-28%,-56%,-100%,-24%,-21%,-5%,+169%,+169%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,0.2 g,en faible quantité,6,-37%,C,-37%,,,,,,,,,,
