,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,eco_score,generic_name,quantity,packaging,brand,categories,ingredients_origins,manufacturing,traceability_code,markets,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,labels,producer_info,brand_owner,palm_ingredients,link,origin_detail
151,Back Obladen - Puda - 100g,20046163,"['France', 'Suisse']",[],[],?,363,1519 kj(363 kcal),"1,1","0,5",78,2,9,E,,100 g,,['Puda'],"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', 'Saumons Atlantique fumés']",,,,,,,1.1 g,en faible quantité,0.5 g,en faible quantité,2 g,en faible quantité,10 g,en quantité élevée,,+92%,+92%,-90%,-77%,+14589%,+488%,-59%,10,+257%,4,+257%,14,+4%,D,+4%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,
152,Dés de cheddar,20053819,['France'],[],[],?,410,1715 kj(410 kcal),34,24,2,0,24,D,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages du Royaume-Uni', ""Fromages d'Angleterre"", 'Cheddars']",,,,,,,34 g,en quantité élevée,24 g,en quantité élevée,0 g,en faible quantité,1 g,en quantité modérée,,+4%,+3%,+3%,+14%,+45%,-100%,+2%,1,-44%,"0,4",-44%,14,-17%,D,-17%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,
153,Dés de Fromage Noix - Etoile D'or,20053826,['France'],[],[],?,362,1515 kj(362 kcal),30,22,"0,5","0,5",23,,,,,"[""Etoile D'or""]",,,,,,,,,,,,,,,,,,,,,,,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,
154,"Favorina Ostermischung, Schokolade",20076849,"['France', 'Espagne']",[],[],?,563,2356 kj(563 kcal),"37,3","22,6","53,5","49,3","6,3",,,,,['Favorina'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Aliments et boissons de Noël', 'Chocolats', 'Chocolats de Noël']",,,,,,,37.3 g,en quantité élevée,22.6 g,en quantité élevée,49.3 g,en quantité élevée,0.2 g,en faible quantité,,+4%,+4%,+18%,+16%,-5%,-9%,-3%,"0,2",+3%,"0,08",+3%,27,+3%,E,+3%,,,,,,,,,,,,,,
155,Snack Mit Pfiff Erdnüsse,20080433,['France'],"['cacahuètes', 'huiles végétales ', 'palme', 'tournesol', 'sel', '\rPeut contenir des traces de fruits a coque']","['Huile de palme', 'Végétalien', 'Végétarien']",?,619,2590 kj(619 kcal),"51,2","7,8",11,"5,2","24,4",,Cacahuètes grillées et salées,,,['Pfiff'],,,,,,['Arachides'],,,,,,,,,,,,,,,,,,1,,"0,4",,,,,,,,,,,,,,,,,['Huile de palme'],,
156,Original Curry Bockwurst - Alpen Fest - 220g,20082413,"['France', 'Allemagne', 'Espagne', 'Royaume-Uni']","['BO dans une sauce saucisse de porc dextrose', 'extraits ', 'double concentr % curry en pc avant de faire chi dans le film plast chaude frémiss']",[],?,224,937 kj(224 kcal),16,"6,5",13,12,7,,,220g,['Plastic'],['Alpen Fest'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses allemandes']",['Union européenne'],['Germamy'],['DE RP-03001 EG'],['Lidl'],,,16 g,en quantité modérée,6.5 g,en quantité élevée,12 g,en quantité modérée,1.6 g,en quantité élevée,,-15%,-15%,-28%,-23%,+1030%,+1504%,-50%,"1,6",-20%,"0,64",-20%,17,-10%,D,-10%,,,,,,,,,,,,,,
157,Mini krieltjes voorgekookt - Landfein - 200g,20086138,['France'],"['Voorgekokte minikrieltjes', ' ingredienten: voorgekookte aardappelen']",[],?,153,640 kj(153 kcal),"8,2","5,4","16,1","13,2","3,3",,,200 g,['Plastic'],['Landfein'],"['Desserts', 'Puddings']",,"['Neuburger Milchwerke GmbH', '86633 Neuburg', 'Deutschlad']",,,,,8.2 g,en quantité modérée,5.4 g,en quantité élevée,13.2 g,en quantité élevée,0.18 g,en faible quantité,,-1%,-0%,+114%,+137%,-33%,-6%,-5%,"0,18",+30%,"0,072",+30%,6,+38%,C,+38%,,,,,,,,,,,,,,
158,Chair de tomates bio - Bio Sonne,20088651,['France'],"['riculture biologique • 99,4%', ""sel marin 'Issu de l'agriculture s"", ' de lofi1ate5 de Guérande', ' de préférence avan Poids nettotaè']",[],?,33,138 kj(33 kcal),"0,3","0,1","4,8","4,8","1,5",A,,,"['boîte', 'Bocal en verre']",['Bio Sonne'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Tomates et dérivés', 'Tomates', 'Tomates en conserve', 'Tomates pelées', 'Chair de tomates']",,,,,,,0.3 g,en faible quantité,0.1 g,en faible quantité,4.8 g,en faible quantité,0.5 g,en quantité modérée,,-21%,-10%,-38%,+6%,-14%,+3%,+13%,"0,5",-4%,"0,2",-4%,-4,,A,,67.0%,0.0%,0.0%,15.7%,13.1%,4.3%,97,,['Bio'],,,,,
159,"Landfein Milchreis, Zimt - 200g",20090173,"['République tchèque', 'France', 'Allemagne']","['70% Vollmilch', '15% Zimtzubereitung ', 'Waser', 'Zucker', 'modifizierte Stärke', 'Zimt [0,2%]', 'Verdickungsmittel: Natriumalginat', 'Guarkernmehl', ' Säureregulatoren: Citronensäure', 'Calciumcitrat', ' Aroma', '9% Rundkomreis', 'Zucker', 'Speisesatz', 'Verdickungsmittel: Carrageen', ' Aroma']",['Non végétalien'],?,128,536 kj(128 kcal),"2,5","1,7","23,1","15,2",3,B,,200 g,"['PP05', 'Plastik']",['Landfein'],"['Desserts', 'Puddings', 'Riz au lait']",['Allemagne'],"['D89231 Neu-Ulm', 'Deutschland']",['DE BY77704 EG'],['Norma'],['Lait'],4,2.5 g,en faible quantité,1.7 g,en quantité modérée,15.2 g,en quantité élevée,0.2 g,en faible quantité,,-12%,-11%,-33%,-25%,+2%,+13%,-12%,"0,2",+55%,"0,08",+55%,4,-1%,C,-1%,63.9%,15.4%,7.4%,8.1%,4.1%,1.1%,87,"['E14XX - Amidons modifiés', 'E401 - Alginate de sodium', 'E412 - Gomme de guar', 'E330 - Acide citrique', 'E333 - Citrates de calcium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","['en:German Agricultural Society', ""Médaille d'or de la Société Allemande d'Agriculture"", ""Médaille d'or 2019 de la Société Allemande d'Agriculture"", 'Fabriqué en Allemagne']",,,,,
160,Froze Skyr - Gelatelli - 62g,20092030,['France'],[],[],?,231,967 kj(231 kcal),"9,3",8,31,26,"5,5",,,62 g,,['Gelatelli'],,,,,,,,,,,,,,,,,,,,,,,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,
161,"Excelsior Knusprige Kokos Schnitte, Kokos - Norma - 1000g",20092801,"['France', 'Slovénie']","['sucre', 'huile de palme', 'farine de blé', 'noix de coco râpée ', '9,6 %', 'lactosérum en poudre ', 'lait', 'poudre de lait écrémé', 'amandes', 'cacao maigre ', '17%', 'lait de coco en poudre ', 'amande en pâte', 'émulsifiant : lécithine de soja', ' amidon de blé', 'arôme', 'sel', 'poudre à lever : carbonate acide de sodium', "" Peut contenir des traces d'œuf"", ""d'arachides"", ""d'autres fruits à coque et de graines de sésame""]",[],?,88,368 kj(88 kcal),"2,5","0,2","14,7","3,7","1,6",,,1000 g,['PP'],"['Norma', 'Vitakrone']","['sl:Krompirjeva solata', 'sl:Solata']",,"['Arcole', 'Italija']",,['Lidl'],,4,2.5 g,en faible quantité,0.2 g,en faible quantité,3.7 g,en faible quantité,1.65 g,en quantité élevée,,,,,,,,,"1,65",,"0,66",,8,,C,,,,,,,,,"['E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E330 - Acide citrique']",,,,,,
162,Mayonaise - Lidl,20096441,"['France', 'en:Allemagne']",[],[],?,644,2694 kj(644 kcal),"70,5","8,6","1,1","0,8","1,3",D,Mayonnaise,,"['Tibe', 'métal', 'Plastique']",['Lidl'],"['Epicerie', 'Sauces', 'Mayonnaises', 'en:Epicerie']",,,,['Lidl'],,,70.5 g,en quantité élevée,8.6 g,en quantité élevée,0.8 g,en faible quantité,0.94 g,en quantité modérée,,+134%,+136%,+231%,+274%,-90%,-89%,-35%,"0,94",-67%,"0,376",-67%,20,+54%,E,+54%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,
163,Light Cream Cheese Spread - Milbona - 200g,20096502,"['France', 'Allemagne', 'Portugal']",[],[],?,170,711 kj(170 kcal),10,"6,9",7,7,13,,,200g,,['Milbona'],,,,,['Lidl'],,,,,,,,,,,,,,,,,,,"2,63",,"1,052",,,,,,,,,,,,,,,,,,,
164,Bayrische Gelbwurst,20097974,['France'],[],[],?,245,1025 kj(245 kcal),"21,5",9,1,"0,5","11,5",,,,,,,,,['DE BY-40402 EG'],,,,,,,,,,,,,,,,,,,,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,
165,Baguette - Match,2011000022921,['France'],"['Farine de BLE', 'céréales contenant du de BLE', 'farine de fèves', 'farine de BLE malté levure désactivée agent de traitement de la farine : E300 ', 'eau', ' levure : Sel', 'améliorant : farine de BLE', ""émulsifiant mono et diglycérides d'acides gras"", 'agent de fraitement de la farine : acide ascorbique E300', 'huile de tournesol']","[""Pourrait contenir de l'huile de palme""]",?,286,1197 kj(286 kcal),"1,47","0,16","56,6","2,12","9,33",,,,,['Match'],,,,,,['Gluten'],4,,,,,,,,,,,,,,,,,"0,675",,"0,27",,,,,,,,,,,,,"['E300 - Acide ascorbique', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",,,,,,
166,Gemengde drop zout,2013972199991,['France'],[],[],?,313,1310 kj(313 kcal),"0,2","0,2",74,"38,4","3,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,25",,"0,1",,,,,,,,,,,,,,,,,,,
167,Yaourt poire - Milbona,20109639,['France'],[],[],?,88,368 kj(88 kcal),"1,3","0,9","14,8","13,9","3,4",,,,,['Milbona'],,,,,,,,,,,,,,,,,,,,,,,,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,
168,Bacon - Dulano,20113766,"['France', 'Allemagne']",[],[],?,303,1268 kj(303 kcal),25,"8,8","0,5","0,5",19,,,,,['Dulano'],"['Viandes', 'Porc', 'Bacon']",,,['DE NI-10921 EG'],,,,25 g,en quantité élevée,8.8 g,en quantité élevée,0.5 g,en faible quantité,2.5 g,en quantité élevée,,+91%,+94%,+291%,+258%,-34%,-17%,-12%,"2,5",-7%,1,-7%,21,+67%,E,+67%,,,,,,,,,,,,,,
169,Tarallini 14% olio d'oliva - Italiamo - 500g,20114794,['France'],"['Farine de blé', ""14% huile d'olive"", 'vin blanc ', 'sulfites', 'sel de cuisine', '1,4% graines de fenouil', ""huile d'olive vierge extra"", 'levure']",['Sans huile de palme'],1871,447,1871 kj(447 kcal),"13,5",2,"72,2","3,2","8,5",B,Tarallini,500 g,['Plastique'],['Italiamo'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",['Italie'],,,['Lidl'],"['Gluten', 'Anhydride sulfureux et sulfites']",3,13.5 g,en quantité modérée,2 g,en quantité modérée,3.2 g,en faible quantité,2.33 g,en quantité élevée,-6%,-4%,-5%,-32%,-63%,+22%,-18%,-14%,"2,325",+16%,"0,93",+16%,16,+4%,D,+4%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,"['Fabriqué en Italie', 'Spécialité Italienne']",,,,,
170,Viande de grison - Compagnie Du Saloir,20116057,['France'],"['Viande de boeuf/ sel', 'épices et plantes aromatiques dextrose', 'sucre', 'conservateur : nitrate de potassium', 'régulateur diacidité : citrate de sodium', 'antioxydafft : ascorbate de sodium', 'ferments', ' Traces éventuelles de lait', 'fruits,àaque', 'soja', 'oeuf,', ""moutardew Fabriqué en Suisse à pirti'rdè&boèuf d'origine UE ét/ou Amérique du Sud À conserversentre OOC et Conditionné sous atmosbhère protectriceg A consommer râpidement après oüveltute""]","['Non végétalien', 'Non végétarien']",?,197,824 kj(197 kcal),"4,2","1,9","0,5","0,5",39,,,,,['Compagnie Du Saloir'],"['Viandes', 'Bœuf', 'Préparations de viande', 'Préparations de viande bovine', 'Viandes séchées', 'Viande des grisons']",,,"['EMB 57032A', 'Ars-sur-Moselle (Moselle, France)', 'FR 57.032.001 CE', 'Ars-sur-Moselle (Moselle, France)']",,,3,4.2 g,en quantité modérée,1.9 g,en quantité modérée,0.5 g,en faible quantité,4.6 g,en quantité élevée,,0%,0%,+9%,+23%,-39%,-17%,-1%,"4,6",-3%,"1,84",-3%,13,+2%,D,+2%,,,,,,,,"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium', 'E301 - Ascorbate de sodium']",['Fabriqué en Suisse'],,,,,
171,Thon - Fjord Krone - 195g,20117122,"['Autriche', 'France', 'Allemagne']","['Filets de pangas', 'eau de glaçage']",[],?,118,494 kj(118 kcal),"1,5","0,8",0,0,26,,,195g,"['Surgelé', 'Carton', 'Dose(n)']",['Fjord Krone'],"['Produits de la mer', 'Poissons', 'Surgelés', 'Filets de poissons', 'Fruits de mer surgelés', 'Poissons surgelés', 'Filets de pangas', 'Pangas']","['Viêt Nam', 'FAO 4']",,['DE NI-10670 EG'],['Norma'],,,1.5 g,en faible quantité,0.8 g,en faible quantité,0 g,en faible quantité,1.2 g,en quantité modérée,,+107%,+104%,+68%,+152%,-100%,-100%,+139%,"1,2",+43%,"0,48",+43%,1,,B,,,,,,,,,,"['Pêche durable', 'Pêche durable MSC']",,,,,
172,Paprica patatine rigate - Les bons délices patissiers de Maitre Cornwall - 400g,20119256,['France'],"['noix de coco 31%', 'sucre', 'sirop de glucose', ""blanc d'œuf"", 'dextrose', 'farine de riz']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,540,2259 kj(540 kcal),34,"2,7","50,5","2,1",6,,,400 g,['Plastique'],['Les bons délices patissiers de Maitre Cornwall'],"['Biscuits et gâteaux', 'Pâtisseries']",,['B-7780 Comines'],,['Norma'],['Œufs'],4,34 g,en quantité élevée,2.7 g,en quantité modérée,2.1 g,en faible quantité,1.3 g,en quantité modérée,,+43%,+44%,+102%,-67%,+5%,-93%,+12%,"1,3",+214%,"0,52",+214%,8,-53%,C,-53%,,,,,,,,,,,,,,
173,bio apfelessig naturtrüb,20121747,['France'],[],[],?,17,71 kj(17 kcal),0,0,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
174,Gratin de Pommes de Terre & Brocolis Express - Chef Select - 400g,20124571,"['France', 'Allemagne', 'Suède']","['30 % pommes de terre ', 'contient sulfites', '20 % brocolis', 'lait entier', '10 % jambon cuit ', 'viande de porc ', 'origine Union européenne', 'sel', 'dextrose', 'fromage ', 'lait', 'huiles végétales ', 'colza', 'palme', 'crème ', 'lait', 'oignons', 'amidon modifié de maïs', 'sel', 'lactose', 'protéines de lait', 'lait écrémé en poudre', 'farine de blé', ""blanc d'oeuf"", 'épices ', 'contient moutarde', 'céleri']",['Non végétalien'],473,114,473 kj(114 kcal),"6,7","2,7","7,6","1,4",5,B,"Gratin de pommes de terre et brocolis au jambon, pasteurisé",400 g,"['21 PAP', '01 PET']","['Chef Select', 'Lidl']","['Plats préparés', 'Gratins', 'Gratins de pomme de terre', 'Gratins de légumes', 'de:Broccoli-Gratin']","['Union européenne', 'sv:Icke-Europeiska unionen']",['Germany'],,['Lidl'],"['Céleri', 'Œufs', 'Gluten', 'Lait', 'Moutarde', 'Anhydride sulfureux et sulfites']",4,6.7 g,en quantité modérée,2.7 g,en quantité modérée,1.4 g,en faible quantité,1.18 g,en quantité modérée,+12%,+5%,+4%,-2%,-22%,+27%,-52%,+29%,"1,18",+92%,"0,472",+92%,5,+88%,C,+88%,71.1%,12.3%,5.4%,6.1%,3.0%,2.1%,76,['E14XX - Amidons modifiés'],,,,,,
175,Bio-Brotaufstrich - Bio Sonne - 180g,20130206,['France'],"['Wasser', 'Tomatenmark 22%', 'Sonnenblumenöl', 'Reismehl', 'Zwiebeln', 'Basilikum 3', '5%', 'Roter Paprika', 'Rohrohrzucker', 'Meersalz', 'Gewürze', 'Kräuter', 'Verdickungsmittel: Johannesbrotkernmehl', 'Guarkernmehl']","['Végétalien', 'Végétarien']",?,139,582 kj(139 kcal),"7,2","0,8","15,3","8,3","2,8",,,180 g,,['Bio Sonne'],['Produits à tartiner'],,['Germany'],,,,4,7.2 g,en quantité modérée,0.8 g,en faible quantité,8.3 g,en quantité modérée,1.9 g,en quantité élevée,,-57%,-57%,-60%,-85%,-51%,-70%,-35%,"1,9",+261%,"0,76",+261%,9,-28%,C,-28%,,,,,,,,['E412 - Gomme de guar'],"['en:German Agricultural Society', 'Bio', 'Végétarien', 'Bio européen', ""Médaille d'or de la Société Allemande d'Agriculture"", 'Végétalien', ""Médaille d'or 2017 de la Société Allemande d'Agriculture"", 'DE-ÖKO-013', 'Fabriqué en Allemagne']",,,,,
176,Rapsöl - Penny - 1L,20146542,"['France', 'Allemagne']",['Rapsöl'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,828,3464 kj(828 kcal),92,"6,5",0,0,0,,,1 L,['Flasche'],['Penny'],,,,,['Lidl'],,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
177,Mousse Fondante sur lit de fruits pêche et jus de fruit de la passion - ENVIA - 125g,20155605,"['France', 'Hongrie']","['52% fromage frais ', 'lait', ',20% lait fermenté', 'sucre', '7,4% pêches', '33% jus de pêche à base de concentré', '1% jus de fruit de la passion à base de concentré', 'amidons modifiés ', 'maïs', 'tapioca', 'sirop de glucose-fructose', 'gélatine', 'épaississants : pectines', 'gomme guar', 'farine de graines de caroube ', ' denrée alimentaire à propriété colorante ', 'concentré de carthame', 'arôme naturel']","['Non végétalien', 'Non végétarien']",?,115,481 kj(115 kcal),"4,2","2,8",15,14,"4,2",C,,125 g,"['Pot', 'Plastique']","['ENVIA', 'Pilos']","['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Mousses sucrées', 'Mousses aux fruits']",,['Allemagne'],['DE BY-77727 EG'],['LIDL'],['Lait'],4,4.2 g,en quantité modérée,2.8 g,en quantité modérée,14 g,en quantité élevée,0.1 g,en faible quantité,,-13%,-12%,-28%,-23%,+5%,+9%,-3%,"0,1",+15%,"0,04",+15%,4,-12%,C,-12%,76.8%,11.4%,3.6%,5.7%,2.0%,0.5%,58,"['E14XX - Amidons modifiés', 'E428 - Gélatine', 'E440 - Pectines', 'E412 - Gomme de guar', 'E410 - Gomme de caroube']",,,,,,
178,Wurstel di pollo e di tacchino con suino - Norma,20161880,['France'],"['tomates 85%', 'eau', ""huile d'olive 2%"", 'amidon modifié de mais', 'sucre', 'sel', 'ail', 'persil', 'piments 0,2%', 'acidifiant : acide citrique ', ' épices']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,240,1004 kj(240 kcal),20,"6,28",0,0,15,,,,['Bouteille'],"['Norma', 'Villa Gusto']",,,,,,,4,,,,,,,,,,,,,,,,,"2,98",,"1,192",,,,,,,,,,,,,"['E14XX - Amidons modifiés', 'E330 - Acide citrique']",,,,,,
179,Thunfisch,20167752,['France'],[],[],?,100,418 kj(100 kcal),"21,6",0,0,0,"19,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,88",,"0,352",,,,,,,,,,,,,,,,,,,
180,Kokosraspeln - zauberhaft Backen - 200g,20170769,['France'],[],[],2642,642,2642 kj(642 kcal),61,57,"8,4","5,5","5,9",,,200g,['Tüte'],['zauberhaft Backen'],['de:kokosraspeln'],,,,['Norma'],,,61 g,en quantité élevée,57 g,en quantité élevée,5.5 g,en quantité modérée,0 g,en faible quantité,,,,,,,,,0,,0,,13,,D,,,,,,,,,,"['en:German Agricultural Society', ""Médaille d'or de la Société Allemande d'Agriculture"", ""Médaille d'or 2020 de la Société Allemande d'Agriculture""]",,,,,
181,Bio-dinkelvollkorn kräuselspätzle - Bio Sonne - 500g,20182953,"['France', 'Allemagne']","[""farine d'épeautre complet issue de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",1473,348,1473 kj(348 kcal),"1,9","0,4","65,1","2,8","12,9",,,500g,"['Tüte', '05', 'PP', 'Plastik']",['Bio Sonne'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Spätzle', 'de:Dinkelnudeln', 'de:Dinkelspätzle']",,,,['Norma'],,1,1.9 g,en faible quantité,0.4 g,en faible quantité,2.8 g,en faible quantité,0 g,en faible quantité,+49%,+44%,+48%,-53%,-55%,+64%,+94%,+42%,0,-100%,0,-100%,-6,-1134%,A,-1134%,,,,,,,,,"['en:German Agricultural Society', 'Bio', 'Bio européen', ""Médaille d'or de la Société Allemande d'Agriculture"", ""Médaille d'or 2020 de la Société Allemande d'Agriculture"", 'DE-ÖKO-001', 'Agriculture UE']",,,,,
182,Bio-riegel kokos - BioSonne von Norma - 4Riegel,20183370,['France'],"['eau', '38% huile de colza', 'dextrose', ""3,470 d'oeuf issu d'oeufs de poules élevées en plein air"", ""vinaigre d'alcool"", 'amidon modifié de maïs', 'poudre de lait I écrémé', '2% moutarde de Dijon ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", ' sel', 'acidifiant: acide citrique', 'sel', 'acidifiants : acide citrique', 'acidetartrique ', ' épaississant : gomme xanthane ', 'jusde citron concentré', 'arôme', 'conservateur : sorbate de potassium ', ' colorants : lutéine', 'extrait de paprika', ' Non ouvert', 'se conserve à température ambiante', "" Àpj'ès ouverture,""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,522,2184 kj(522 kcal),"38,5",33,"36,2","25,5","3,5",D,,4 Riegel,"['Bocal', 'Verre']",['BioSonne von Norma'],"['Epicerie', 'Sauces', 'Mayonnaises', 'Mayonnaises de Dijon', 'Mayonnaises allégées']",,,,,,1,38.5 g,en quantité élevée,33 g,en quantité élevée,25.5 g,en quantité élevée,0.06 g,en faible quantité,,+72%,+73%,+32%,+873%,+351%,+584%,+259%,"0,06",-97%,"0,024",-97%,20,+46%,E,+46%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,
183,Nuggets de pechuga de pollo - Porto Master - 260g,20191443,"['France', 'Allemagne']","['pommes de te-rre', 'huile de tournesol 7 0%', 'sel iodé ', 'sel', 'iodate potassium', 'oignons grillés', 'épices', 'dextrose', ' @ Rüiky?rôsti""', 'pFedpeëené', 'zmraiené Sloieni: Brambory', 'slunetnicovy olej 7 %', 'jodizované Sül ', 'sül', 'jodiënan drask sma2enà cibule', 'koieni', 'dextréza', ""Hergestellt in Deutschland für / NORMA' Fabriqué en Allemagne pour / RVyrobeno v Némecku prcY""]",[],?,174,728 kj(174 kcal),"3,9","0,7","20,1","0,7","13,7",B,,260 g,['Produkt'],['Porto Master'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Surgelés', 'Plats préparés', 'Pommes de terre préfrites surgelées', 'Préparations à base de pommes de terre', 'Légumes préparés', 'Rostis', 'Röstis de pommes de terre surgelés']",,,,,,4,3.9 g,en quantité modérée,0.7 g,en faible quantité,0.7 g,en faible quantité,1.1 g,en quantité modérée,,+5%,+7%,-47%,-47%,+5%,-11%,+338%,"1,1",+12%,"0,44",+12%,-2,-159%,A,-159%,40.8%,16.8%,10.8%,9.2%,4.7%,17.7%,91,,['Sans gluten'],,,,,
184,Mcennedy Jelly Beans - 250g,20192716,"['France', 'Allemagne']",[],[],?,355,1485 kj(355 kcal),"0,1","0,1","88,7","70,3",0,E,,250 g,"['tüte(n)', 'Plastic']",['Mcennedy'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés', 'Jelly beans']",,,,,,,0.1 g,en faible quantité,0.1 g,en faible quantité,70.3 g,en quantité élevée,0.1 g,en faible quantité,,+2%,+2%,-13%,+73%,+3%,+14%,-100%,"0,1",+20%,"0,04",+20%,14,+1%,D,+1%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,
185,Tarta de manzana - Confiserie firenze,20193447,['France'],[],[],?,227,950 kj(227 kcal),"7,3","3,8",36,17,"3,1",,,,,['Confiserie firenze'],,,,,,,,,,,,,,,,,,,,,,,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,
186,Mortadella Metzgerfrisch - 125g,20196646,['France'],[],[],?,253,1059 kj(253 kcal),22,"9,2",1,"0,5","12,4",,,125 g,,['Metzgerfrisch'],,,,['DE BY-40402 EG'],,,,,,,,,,,,,,,,,,,,2,,"0,8",,,,,,,,,,,,,,,,,,,
187,Excellent Buffet Mit Gurke Delikatess Fleischsalat,20201128,['France'],"['il oo Delikatess FleischsalatmitGurke Zutaten: 34% Fleischsalatgrundlage$cliweinefleisdv: Speck', 'Trinkwasserj Speisesalz', 'Kartoffelstarkec Gewuczer Dextrose', 'Farbstoff: Echtes Karmin', ' Antioxjda', 'ionsmitteltl:: Natriumisoascorbat', 'Rapsôl', 'Zucker', 'Eigelb**', 'Maisstârke', 'Branntwéinessigl', 'AIltWQinS: geistessig', 'Glukosesirup', 'Speisesalz', 'Senfsaaten,S4uigàs regulator: Natriumacetate', ' VerdickungsmittelFXaiitliòtïÈ Guarkernmehl', ' Gewürze', 'Sellerie', "" **aus 'Bodenlialtuiq Unqeôffnet bei +20C bis +70C siefie Aufdruck Becherrand"", ' Hergestellt in Deutschland für NORMA FÜngersFeinkostGmbH&Co', 'KG', 'Einsteinstr', ' 132-140', 'D-06785 Oranienbàun 400 g e']",[],?,337,1410 kj(337 kcal),"32,5","5,6","6,7",5,"3,9",,,,,['Excellent Buffet'],,,,,,,,,,,,,,,,,,,,,,,,"1,375",,"0,55",,,,,,,,,,,,,,['Fabriqué en Allemagne'],,,,,
188,"Kania Salat Dressing, Gartenkräuter - 10g",20204747,['France'],[],[],?,292,1222 kj(292 kcal),"2,6","0,3","54,5","40,9","5,5",,,10g,,['Kania'],,,,,,,,,,,,,,,,,,,,,,,,"21,75",,"8,7",,,,,,,,,,,,,,,,,,,
189,Nulacta -,20211622,['France'],"['sucre', 'huile végétale ', 'palme', 'noisettes 13%', 'cacao maigre en poudre 7%', 'lait écrémé en poudre', 'lactosérum en poudre', 'lactose', 'émulsifiant : lécithine de tournesol', 'arôme naturel de vanille']","['Huile de palme', 'Non végétalien']",?,528,2209 kj(528 kcal),"29,2",10,"58,4",57,"6,1",,,,,,,,,,,"['Lait', 'Fruits à coque']",4,,,,,,,,,,,,,,,,,"0,13",,"0,052",,,,,,,,,,,,,['E322i - Lécithine'],,,,['Huile de palme'],,
