,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,traceability_code,link,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,markets,palm_ingredients,brand_owner,producer_info,origin_detail
247,Les aromatisées - Chips saveur poulet braise - Bret's - 25g,3497911101020,B,Chips de pommes de terre saveur Poulet Braisé,25g,"['Sachet plastique', 'Sous atmosphère protectrice']","[""Bret's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées', ""Chips de pommes de terre à l'huile de tournesol"", 'Chips au poulet']","['Sans exhausteur de goût', 'Fabriqué en France', 'Arômes naturels', 'Sans colorants artificiels', 'en:produced-in-bretagne', 'Entrepreneurs + Engagés']",['France'],"['Saint-Gérand', 'Morbihan', 'France']","['EMB 56213D', 'Saint-Gérand (Morbihan, France)']",http://www.brets.fr/poulet-braise-brets/,['France'],"['Pommes de terre ', 'France', ' ', '59%', 'huile de tournesol ', '34%', 'arôme ', 'blé', 'sel', 'viande de poulet en poudre']",['Gluten'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,34 g,en quantité élevée,3.1 g,en quantité modérée,2 g,en faible quantité,1.4 g,en quantité modérée,?,,542,+2%,2268 kj(542 kcal),+2%,34,+4%,"3,1",+6%,50,-2%,2,+10%,"6,4",+3%,"1,4",-3%,"0,56",-3%,10,-9%,C,-9%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,
248,Chips Bret's Classique - 125g,3497917001874,B,Chips de pommes de terre Classique,125g,"['Sachet plastique', 'Sous atmosphère protectrice']","[""Bret's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', ""Chips de pommes de terre à l'huile de tournesol""]","['Végétarien', 'en:gluten-free', 'Fabriqué en France', 'en:produced-in-bretagne', 'Entrepreneurs + Engagés']",['France'],"['Saint-Gérand', 'Morbihan', 'Bretagne', 'France']","['EMB 56213D', 'Saint-Gérand (Morbihan, France)']",http://www.brets.fr/classique-brets/,['France'],"['Pommes de terre ', 'France', ' ', '65%', 'huile de tournesol ', '34%', 'sel de Guérande ', '1,0%']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,34 g,en quantité élevée,3.1 g,en quantité modérée,0.5 g,en faible quantité,1 g,en quantité modérée,?,,544,+2%,2276 kj(544 kcal),+2%,34,+2%,"3,1",+4%,51,+0%,"0,5",-61%,6,+2%,1,-24%,"0,4",-24%,8,-27%,C,-27%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,
249,Têtes Brûlées Star effet Rose à lèvres - Verquin - 100g,3501271120024,E,Confiserie acide goût framboise à fourrage acide,100 g,"['Sachet', 'Plastique']",['Verquin'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['Ne convient pas aux enfants de moins de 6 ans'],,,,,['France'],"['Sirop de glucose', 'sucre', 'acidifiants : acide malique', 'acide citrique', ""correcteur d'acidité : malates de sodium"", ""agent d'enrobage : cire de carnauba"", ""cire d'abeille"", 'E464', 'colorants : carmins', 'anthocyanes', 'E171', 'arôme']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,62.4 g,en quantité élevée,0.38 g,en quantité modérée,?,,370,+4%,1548 kj(370 kcal),+3%,0,-100%,0,-100%,"88,8",+7%,"62,4",+8%,0,-100%,"0,38",+214%,"0,152",+214%,15,+4%,D,+4%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,"['E296 - Acide malique', 'E330 - Acide citrique', 'E350 - Malates de sodium', 'E903 - Cire de carnauba', ""E901 - Cire d'abeille"", 'E464 - Hydroxypropylméthylcellulose', 'E120 - Acide carminique', 'E163 - Anthocyanes', 'E171 - Oxyde de titane']","['Carrefour', 'Magasins U']",,,,
250,Pâte à Tartiner véritable Chocolat au Lait et Noisettes - Bovetti - 200g,3501940000206,D,,200 g,"['Plastique', 'Pot']",['Bovetti'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']","['en:gluten-free', 'en:palm-oil-free']",,['France'],,,['France'],"['NOISETTES', 'chocolat au lait à 38 % de cacao ', 'sucre', 'beurre de cacao', 'poudre de LAIT entier', 'masse de cacao', 'extrait de vanille', 'sucre', 'huile de colza']","['Lait', 'Fruits à coque']","['Sans huile de palme', 'Non végétalien']",3,50 g,en quantité élevée,9.9 g,en quantité élevée,34 g,en quantité élevée,0.05 g,en faible quantité,?,,633,+15%,2648 kj(633 kcal),+15%,50,+47%,"9,9",+29%,35,-32%,34,-29%,"8,1",+19%,"0,05",-51%,"0,02",-51%,23,+11%,E,+11%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,,,,,,
251,Pâte à Tartiner Bio Chocolat au Lait - Noisettes - Bovetti - 200g,3501940367002,C,Pâte à tartiner au chocolat au lait et aux noisettes,200 g,"['Verre', 'Bocal']",['Bovetti'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']","['Bio', 'Bio européen', 'en:gluten-free', 'Agriculture UE/Non UE', 'FR-BIO-01', 'en:palm-oil-free']",,['France'],,http://www.bovetti.com/fr/produits-chocolats.html,['France'],"['Noisettes', 'chocolat au lait à 38% de cacao ', 'sucre de canne brut', 'beurre de cacao', 'poudre de lait entier', 'masse de cacao', 'poudre de vanille', 'sucre de canne roux', 'huile de colza']","['Lait', 'Fruits à coque']","['Sans huile de palme', 'Non végétalien']",3,50 g,en quantité élevée,10 g,en quantité élevée,32 g,en quantité élevée,0.03 g,en faible quantité,?,,625,+14%,2615 kj(625 kcal),+14%,50,+47%,10,+30%,34,-34%,32,-33%,"7,5",+10%,"0,03",-71%,"0,012",-71%,23,+11%,E,+11%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,,['Biocoop'],,,,
252,Tropicana Pure premium orange avec pulpe 1 L - 1000ml,3502110007735,D,Jus d'orange avec pulpe,1000 ml,"['Bouteille', 'Verre', 'métal']",['Tropicana'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", 'Jus de fruits pur jus', ""Jus d'orange pur jus""]","['Point Vert', 'Pur jus', 'Triman']",['Brésil'],"['France', 'Belgique']",,,['France'],"[""Jus d'orange avec pulpe""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,8.6 g,en quantité élevée,0 g,en faible quantité,179,-2%,42,-2%,179 kj(42 kcal),-2%,0,-100%,0,-100%,"8,6",-11%,"8,6",-6%,"0,8",+27%,0,-100%,0,-100%,2,-33%,C,-33%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,['Magasins U'],,,,
253,Cacahuètes Grillées A Sec - Leader Price - 500g,3502490003976,D,,500 g,"['Sachet', 'Plastique']","['Leader Price', 'Domino']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Fruits à coques et dérivés', 'Fruits à coques', 'Cacahuètes', 'en:shelled-peanuts']",['Point Vert'],"['Chine', 'Égypte']",,,,['France'],['Arachides coques grillées à sec'],['Arachides'],[],,50 g,en quantité élevée,8.7 g,en quantité élevée,4.7 g,en faible quantité,0.1 g,en faible quantité,?,,615,+3%,2573 kj(615 kcal),+4%,50,+8%,"8,7",+20%,"6,1",-61%,"4,7",-19%,30,+23%,"0,1",-89%,"0,04",-89%,6,0%,C,0%,91.0%,1.7%,3.2%,2.0%,2.2%,0.0%,45,,['Leader Price'],,,,
254,Raisins Secs Sultanines - Maître Prunille - 500g e,3502490164356,D,,500 g e,"['Sachet', 'Plastique']",['Maître Prunille'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Raisins secs', 'Raisins secs Sultanines']",['Point Vert'],['Turquie'],['France'],,,['France'],"['Raisins secs', 'huile végétale non hydrogénée de coton']",,[],1,0.8 g,en faible quantité,0.2 g,en faible quantité,60 g,en quantité élevée,0.1 g,en faible quantité,?,,337,+9%,1410 kj(337 kcal),+8%,"0,8",+45%,"0,2",+52%,74,+4%,60,-5%,"2,6",-7%,"0,1",+73%,"0,04",+73%,8,+54%,C,+54%,37.4%,55.6%,3.3%,1.3%,2.3%,0.0%,44,,,,,,
255,Melange bio - Maitre prunille - 150g,3502490198511,,,150g,,['Maitre prunille'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,['France'],"['Raisins secs 50% ', 'raisins secs*', 'huile végétale de tournesol*', 'cranberries déshydratées sucrées 20% ', 'cranberries*', 'sucre* 37%', 'huile végétale de tournesol*', 'AMANDES décortiquées* 20%', 'NOIX DE CAJOU décortiquées* 10%', ""*ingrédients issus de l'agriculture biologique Matières premières d'importation"", "" Fabriqué et/ou conditionné dans un atelier contenant d'autres fruits à coques"", 'sésame', 'arachides', 'soja', 'sulfites et gluten', ' Ne convient pas aux enfants de moins de 36 mois', ' Peut contenir de petits fragments de coques']","['Gluten', 'Fruits à coque', 'Arachides', 'Graines de sésame', 'Soja', 'Anhydride sulfureux et sulfites']",[],4,,,,,,,,,?,,449,,1879 kj(449 kcal),,21,,"2,6",,51,,40,,"9,5",,"0,04",,"0,016",,,,,,,,,,,,,,,,,,
256,Jus de Litchi - Granini - 25cl,3503780004154,C,,25 cl,,['Granini'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars']",,,,,,['France'],[],,[],,0.1 g,en faible quantité,0.1 g,en faible quantité,12.4 g,en quantité élevée,0 g,en faible quantité,?,,51,+11%,213 kj(51 kcal),+12%,"0,1",-42%,"0,1",+252%,"12,4",+18%,"12,4",+28%,"0,5",+30%,0,-100%,0,-100%,17,+209%,E,+209%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,,,,,
257,Confiture 4 fruits rouges - Baptistin Féraud - 375g,3504231100166,C,,375g,['pot en verre'],"['Baptistin Féraud', ""Marius l'epicerie inspirée""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges']",['Confiture inspirée'],,['France'],,http://CA-MINISPIRE@ATELIER-MARIUS.com,['France'],"['Fraises', 'griottes', 'groseilles', 'framboises', 'sucre de canne', '?']",,[],3,0.5 g,en faible quantité,0.1 g,en faible quantité,61.4 g,en quantité élevée,0.14 g,en faible quantité,?,,265,+20%,1109 kj(265 kcal),+20%,"0,5",+95%,"0,1",+114%,"64,4",+21%,"61,4",+20%,"0,55",+8%,"0,14",+545%,"0,056",+545%,8,-11%,C,-11%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,['carrefour market'],,,,
258,Huile d'olive non filtrée - Robert - 75cl,3505130051177,,Huile d'olive vierge extra bio non filtrée,75 cl,['Bouteille verre'],['Robert'],['Matières grasses'],"['Bio', 'Bio européen', 'FR-BIO-01']",,"[""Huiles d'olives Robert"", '30300', 'Beaucaire', 'France']","['EMB 30032A', 'Beaucaire (Gard, France)']",,['France'],"[""huile d'olive vierge extra bio non filtrée""]",,[],,91.5 g,en quantité élevée,12.6 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,824,+2%,3448 kj(824 kcal),+3%,"91,5",+3%,"12,6",-45%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,11,-3%,D,-3%,,,,,,,,,,,,,
259,Sablé chocolat - Le Croquet Gourmet,3505340050328,,,,,['Le Croquet Gourmet'],,,,,,,['France'],[],,[],,,,,,,,,,?,,486,,2033 kj(486 kcal),,22,,11,,63,,36,,"7,6",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,
260,Jambon cuit supérieur - Rostain - 180g,3507170902105,C,,180 g,"['Barquette', 'Plastique', 'Sous-vide']",['Rostain'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Qualité supérieure', 'Sans nitrate ajouté', 'Sans nitrite ajouté']",,,"['FR 05.092.001 CE', 'Neffes (Hautes-Alpes, France)', 'FR 05.082.001 CE', 'Mont-Dauphin (Hautes-Alpes, France)']",,['France'],"['*JAMBON DE PORC ', '88% - ORIGINE FRANCE', '*DECOCTION ', ""*POUDRE D'ALGUE"", '*OIGNONS', '*POUDRE DE BETTERAVE', '*AIL', '#ROMARIN', '*POIVRE', '*CORIANDRE', 'SEL DE MER', '*DEXTROSE', '*SUCRE DE CANNE', 'ARÔME NATUREL', 'FERMENT']",,"['Non végétalien', 'Non végétarien']",4,3.3 g,en quantité modérée,1.1 g,en faible quantité,0.5 g,en faible quantité,1.8 g,en quantité élevée,?,,116,-12%,485 kj(116 kcal),-11%,"3,3",-31%,"1,1",-40%,"0,5",-25%,"0,5",-16%,22,+4%,"1,8",-4%,"0,72",-4%,4,-43%,C,-43%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,
261,Puree de myrtilles sauvages - La Monediere - 280g,3510330000146,,,280g,['pot en verre'],['La Monediere'],,['Bio'],,,,,['France'],"['Myrtilles sauvages*', "" *ingrédients agricoles issus de l'agriculture biologique""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,,?,,60.6,,254 kj(60 kcal),,0,,0,,"9,78",,"7,99",,0,,0,,0,,,,,,,,,,,,,,['Biocoop'],,,,
262,Saveur'Délice Volaille - Isla Délice - 500g,3512690000118,,Saveur'délice nature 500g,500 g,['Plastique'],['Isla Délice'],"['Viandes', 'Charcuteries', 'Charcuteries cuites']","['Halal', 'Association Rituelle de la Grande Mosquée de Lyon']",,,"['FR 42.156.006 CE', 'Neulise (Loire, France)', 'FR 21.560.006 CE', ""Saint-Martin-de-la-Mer (Côte-d'Or, France)""]",,['France'],"['Viande séparée mécaniquement de dinde halal 53%', 'eau', 'fécule de pomme de terre', 'viande de dinde', 'viande de poulet', 'sel', 'arômes', 'stabilisants ', 'E451', 'E450', 'dextrose', 'sirop de glucose', 'PROTEINES DE SOJA', ""épices et extrait d'épices"", 'exhausteur de goût ', 'E621', 'conservateurs ', 'E250', 'E262', 'antioxydants ', 'E300', 'E301', 'E316', 'E331', 'colorant ', 'caramel E150a', ' Traces éventuelle de PRODUITS LAITIERS et SULFITES']",['Soja'],"['Non végétalien', 'Non végétarien']",4,10.8 g,en quantité modérée,3.9 g,en quantité modérée,0.5 g,en faible quantité,2 g,en quantité élevée,716,+16%,172,+3%,716 kj(172 kcal),+6%,"10,8",+28%,"3,9",+21%,"9,5",+588%,"0,5",-31%,"9,1",-51%,2,+5%,"0,8",+5%,13,+36%,D,+36%,,,,,,,,"['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E262 - Acétates de sodium', 'E300 - Acide ascorbique', 'E301 - Ascorbate de sodium', 'E316 - Érythorbate de sodium', 'E331 - Citrates de sodium', 'E150a - Caramel E150a']",['Magasins U'],,,,
263,Isla délice dinde olive - 120g,3512690004376,D,Delice de dinde aux olives 4 tranches 120g,120 g,,['Isla Délice'],"['Viandes', 'Charcuteries', 'Volailles', 'Dindes', 'Charcuteries cuites', 'Blancs de volaille en tranches']","['Halal', 'Association Rituelle de la Grande Mosquée de Lyon']",,,,,['France'],"['Cuisse de dinde halal 67%', 'eau', 'olives vertes 4,5%', 'fécule de pomme de terre', 'sirop de glucose', 'sel', ""correcteurs d'acidité "", 'E331 E262', 'stabilisants ', 'E450 E451', 'protéines de SOJA', 'antioxydant ', 'E316', 'conservateur ', 'E250', 'arômes naturels', ""extrait d'épices"", ' Traces éventuelles de PRODUITS LAITIERS', 'FRUITS A COQUES', 'SULFITES', 'SOJA""']",['Soja'],[],4,3.6 g,en quantité modérée,1.2 g,en faible quantité,3.5 g,en faible quantité,3.4 g,en quantité élevée,432,-3%,103,-5%,432 kj(103 kcal),-4%,"3,6",+64%,"1,2",+84%,"4,9",+260%,"3,5",+299%,14,-30%,"3,4",+80%,"1,36",+80%,12,+149%,D,+149%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"['E331 - Citrates de sodium', 'E262 - Acétates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['Magasins U'],,,,
264,Chocolat noir 70% de cacao - Marcel &fils,3514280104893,D,,,,['Marcel &fils'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,['France'],[],,[],,41 g,en quantité élevée,27 g,en quantité élevée,30 g,en quantité élevée,0.1 g,en faible quantité,?,,544,-2%,2276 kj(544 kcal),-2%,41,+4%,27,+17%,36,-7%,30,-5%,7,-9%,"0,1",+114%,"0,04",+114%,17,-20%,D,-20%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,
265,Américan sandwich - L'americain - 675g,3514766020211,B,,675g,,"[""L'americain""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie']",,,,,,['France'],"['Pain de mie moelleux Ingrédients Farine de blé', 'eau', 'glucose-fructose', 'levure', 'sel', 'huile végétale ', 'canola ou soja', 'farine de soja', ' Emulsifiants : E481', 'E472e', ""monoglycérides d'acides gras "", 'canola ou soja', ' Conservateur : E282', ' Ce produit peut contenir des traces de graines de sésame']","['Graines de sésame', 'Soja']","[""Pourrait contenir de l'huile de palme""]",4,2.5 g,en faible quantité,0.5 g,en faible quantité,5 g,en quantité modérée,0.5 g,en quantité modérée,?,,250,-6%,1046 kj(250 kcal),-7%,"2,5",-44%,"0,5",-23%,48,+5%,5,-4%,"7,5",-11%,"0,5",-56%,"0,2",-56%,0,-100%,B,-100%,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,"['E481 - Stéaroyl-2-lactylate de sodium', '', 'Risque élevé de sur-exposition', ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E282 - Propionate de calcium']",['CARREFOUR'],,,,
266,Gelée Royale - Ginseng - Acérola - 20 Ampoules ? - api conseils - 20ampoules de 10ml,3515457880329,,,20 ampoules de 10 ml,['Ampoule'],['api conseils'],"['Compléments alimentaires', 'Vitamines']",,,,,,['France'],"['Ingredients Eau', 'miel liquide', ""jus d'acerola "", 'Malpighia punicifolia', 'extrait de ginseng ', 'Panax ginseng CA Meyer', "" Le dépôt dans l'ampoule est naturel"", "" ré d'oranges"", 'gelée royale', ""extrait t Agiter avant emploi Laboratoires YVES PONROY Parc d'activités Sud Loire WESPONROY612 MONTAIGU France www"", 'ponroy', 'com']",,['Non végétalien'],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
267,Jus de raisin - Spring Valley,3516130000508,,,,,['Spring Valley'],"['en:Aliments et boissons à base de végétaux', 'en:Boissons', 'en:Boissons aux fruits', 'en:Boissons à base de végétaux', 'en:Jus de fruits', 'en:Jus de raisin', 'en:Jus et nectars']",,,,,,['France'],[],,[],,5 g,en quantité modérée,1 g,en faible quantité,15 g,en quantité élevée,1 g,en quantité modérée,?,,65,+38%,272 kj(65 kcal),+39%,5,+1567%,1,+1472%,16,+50%,15,+46%,5,+882%,1,+21878%,"0,4",+21878%,4,+176%,C,+176%,,,,,,,,,,,,,
268,Moelleux Au Chocolat - France cake tradition - 250g,3517472125102,D,,250 g,"['Carton', 'Plastique']",['France cake tradition'],"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Moelleux au chocolat']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Point Vert', 'AB Agriculture Biologique', 'Triman', 'en:ab-bio-250']",,['Tourcoing'],,,['France'],"['sucre de canne* blond', 'chocolat* 22 % ', 'sucre de canne* blond', 'pâte de cacao', 'beurre de cacao', 'extrait de vanille*', 'œufs entiers', 'huile de colza* désodorisée', 'farine de blé* T80 ', 'gluten', 'jaunes d’œufs* en poudre réhydratés', 'sirop de sucre de canne inverti', ""gomme d'acacia*"", 'rhum', 'cacao en poudre*', 'poudres à lever : tartrates de potassium', 'carbonates de sodium ', ' sel marin']","['Œufs', 'Gluten']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,24 g,en quantité élevée,5.5 g,en quantité élevée,44 g,en quantité élevée,0.4 g,en quantité modérée,?,,449,+5%,1879 kj(449 kcal),+6%,24,-2%,"5,5",-43%,"49,6",+15%,44,+40%,"8,6",+41%,"0,4",+10%,"0,16",+10%,20,+4%,E,+4%,83.9%,9.8%,1.9%,2.9%,1.1%,0.3%,36,"[""E414 - Gomme d'acacia"", 'E336 - Tartrates de potassium', 'E500 - Carbonates de sodium']",,,,,
269,Céréales bio - Physiolac - 200g,3518646124051,B,,200 g,,['Physiolac'],"['Aliments pour bébé', 'Laits pour bébé']","['Bio', 'Bio européen', 'en:gluten-free', 'BE-BIO-01', 'Agriculture UE/Non UE', 'Sans colorants', 'Sans conservateurs']",,,,,['France'],"['Céréales ', '97% : farine de riz partiellement hydrolysée', 'farine de millet', 'farine de quinoa', 'vitamine B1']",,[],3,,,,,,,,,?,,382,+64%,1598 kj(382 kcal),+69%,"1,1",-89%,"0,4",-88%,85,+220%,11,-36%,"7,9",+65%,"0,01",-94%,"0,004",-94%,,,,,71.8%,1.0%,10.1%,9.4%,6.0%,1.7%,94,,,,,,
270,Miel D'oranger - côté miel - 375g,3520059910015,B,,375g,,['côté miel'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'agrumes"", ""Miels d'oranger""]",,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,
271,Pâte feuilletée - Natur' Avenir,3520837620013,D,Pâte Feuilletée avec de la matière grasse végétale,,,"[""Natur' Avenir""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes à tarte', 'Pâtes feuilletées']",['Bio'],,,,,['France'],"['farine de blé T65*', 'eau', 'matières grasses végétales non hydrogénées* ', 'palme* et tournesol*', 'Sel de Guérande', 'jus de citron concentré*', "" *Ingrédients issus de l'Agriculture Biologique Farine origine France Peut contenir des traces de lait""]",['Lait'],[],3,19.7 g,en quantité modérée,9.3 g,en quantité élevée,0.3 g,en faible quantité,1 g,en quantité modérée,?,,366,-4%,1531 kj(366 kcal),-4%,"19,7",-9%,"9,3",-18%,"41,3",+7%,"0,3",-80%,"6,5",+12%,1,-1%,"0,4",-1%,15,-9%,D,-9%,75.8%,9.6%,3.8%,2.8%,1.7%,6.3%,51,,,['Huile de palme'],,,
