,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,brand,quantity,traceability_code,ingredients_origins,packaging,markets,additives,allergens,nova_score,generic_name,link,manufacturing,brand_owner,palm_ingredients
497,Carrefour - 300g,8012666011476,,,"['France', 'Italie']",[],[],,,,,,,,,?,,428,,1791 kj(428 kcal),,12,,6,,67,,"2,3",,10,,"2,3",,"0,92",,,,,,,,,,,,,,['Carrefour'],300 g,,,,['Carrefour'],,['Gluten'],,,,,,
498,Rhodiola,0733739047540,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,Creme fraiche liquide - La Ferme des Loges,3760204420123,C,"['Produits laitiers', 'Crèmes', 'Crèmes fraîches', 'Crèmes liquides']",['France'],['Crème pasteurisée'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,['La Ferme des Loges'],,"['FR 62.085.009 CE', 'Basseux (Pas-de-Calais, France)']",,,,,,1,,,,,
500,Creme fraiche liquide - La Ferme des Loges,3760204420123,C,"['Produits laitiers', 'Crèmes', 'Crèmes fraîches', 'Crèmes liquides']",['France'],['Crème pasteurisée'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,['La Ferme des Loges'],,"['FR 62.085.009 CE', 'Basseux (Pas-de-Calais, France)']",,,,,,1,,,,,
501,Gateau de lune aux haricots rouges - 180g,3364698366396,,,['France'],[],[],,,,,,,,,?,,371,,1552 kj(371 kcal),,"9,5",,"0,76",,"65,8",,"32,9",,"4,8",,"0,04",,"0,016",,,,,,,,,,,,,,,180 g,,,,,,,,,,,,
502,5438456474277,5438456474277,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,King Coconut water - Naturaplan - 350ml,7613379869340,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,19,,79 kj(19 kcal),,0,,0,,"4,8",,"4,3",,0,,"0,02",,"0,008",,,,,,,,,,,,,"['Végétarien', 'Végétalien']",['Naturaplan'],350ml,,,,,,,,,,,,
504,Praliné - Metro Chef - 5kg,3439495108088,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux amandes']",['France'],"['Fruits secs ', 'amandes 25%', 'noisettes 25 %', 'sucre', ""huile d'amande raffinée"", 'émulsifiant: lécithine de soja', 'arôme naturel de vanille']",[],31.4 g,en quantité élevée,2.3 g,en quantité modérée,49.3 g,en quantité élevée,0.5 g,en quantité modérée,?,,546,+1%,2284 kj(546 kcal),+4%,"31,4",-15%,"2,3",-65%,"53,6",+44%,"49,3",+59%,"9,5",-10%,"0,5",+155%,"0,2",+155%,19,+31%,E,+31%,,,,,,,,"['Fabriqué en France', 'Produits destinés aux professionnels']","['Metro Chef', 'Metro']",5 kg,"['EMB 88090', 'Charmes (Vosges, France)']",,"['Seau', 'Plastique']",['Metro'],['E322i - Lécithine'],['Fruits à coque'],4,Praliné Amandes Noisettes,,['France'],,
505,Pain suisse,0209522016401,,,['France'],[],[],,,,,,,,,?,,446,,1866 kj(446 kcal),,20,,13,,56,,24,,"7,7",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,
506,Quartier d'orange au chocolat noir,3760052690341,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,"['EMB 47020', 'Baleyssagues (Lot-et-Garonne, France)']",,,,,,,,,,,
507,Foie gras de canard entier - Terres Paysannes - 180g,3067163632834,B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers']",['France'],"['Foie Gras de Canard ', 'Origine: France', 'sel', 'poivre', 'conservateur : nitrite de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",56 g,en quantité élevée,24 g,en quantité élevée,0.9 g,en faible quantité,1.3 g,en quantité modérée,?,,544,+3%,2276 kj(544 kcal),+3%,56,+3%,24,+4%,"2,2",-9%,"0,9",-33%,"7,5",-1%,"1,3",+8%,"0,52",+8%,21,+1%,E,+1%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,['Terres Paysannes'],180 g,,,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,3,,,,,
508,Le chèvre Typé & Crémeux - Soignon,06911433,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Soignon'],,,,,,,,,,,,,
509,Poitevine fumée à cuire,2643340025913,,,['France'],[],[],,,,,,,,,?,,323,,1351 kj(323 kcal),,"28,1",,"10,5",,"0,6",,"0,6",,"16,8",,"3,6",,"1,44",,,,,,,,,,,,,,,,,,,,,,,,,,,
510,"Nimm2 Soft Brause, Zitrone, Orange, Kirsche, Apfel",22128843,,,['France'],[],[],,,,,,,,,?,,382,,1598 kj(382 kcal),,"3,8",,"2,2",,"84,2",,"65,6",,"0,1",,"1,2",,"0,48",,,,,,,,,,,,,['Fabriqué en Allemagne'],['Nimm2'],,,,,,,,,,,,,
511,Alto el sol 65%,3073419306077,,,['France'],[],[],,,,,,,,,?,,150,,628 kj(150 kcal),,12,,7,,16,,10,,2,,0,,0,,,,,,,,,,,,,"['Bio', 'Bio européen', 'BE-BIO-01', 'Agriculture UE/Non UE']",,,,,,,,,,,,,,
512,Longaniza de Pascua Extra,2120098002002,,,['France'],[],[],,,,,,,,,?,,521,,2180 kj(521 kcal),,"44,5",,"18,4",,"5,4",,"2,9",,"24,7",,"4,7",,"1,88",,,,,,,,,,,,,,,,,,,,,,,,,,,
513,Garnicia Cambogia - Hyleys - 25,4791045014881,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Hyleys'],25,,,,,,,,,,,,
514,Le lait côte d'Ivoire,2010051420014,,,['France'],[],['Sans huile de palme'],,,,,,,,,?,,168,,703 kj(168 kcal),,"10,9",,"6,5",,"15,2",,"14,9",,"2,1",,"0,024",,"0,01",,,,,,,,,,,,,"['en:gluten-free', 'Fabriqué en France', 'en:palm-oil-free']",,,,,,,,,,,,,,
515,0205904020011,0205904020011,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,Tenuta Arcamone Olio Extra Vergine di Oliva Biologico Tera di Bari - De Carlo - 500ml,8007821010050,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]","['France', 'États-Unis']","[""Huile d'olive vierge extra""]",[],93.3 g,en quantité élevée,13.3 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,800,-7%,3347 kj(800 kcal),-7%,"93,33",-2%,"13,33",-5%,0,,0,,0,,0,-100%,0,-100%,5,-19%,C,-19%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,"['Bio', 'AOP']",['De Carlo'],500 ml,,,"['Verre', 'Bouteille']",,,,,Tenuta Arcamone Huile d'Olive Vierge Extra Biologique Tera di Bari - Tenuta Arcamone Olio Extra Vergine di Oliva Tera di Bari,,['Italie'],Azienda Agricola De Carlo S.S.A.,
517,3330256020123,3330256020123,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,Ready To Eat Mixed Grains,5018095185590,,,['France'],[],[],,,,,,,,,?,,204,,854 kj(204 kcal),,"7,6",,"1,3",,"23,7",,"0,8",,8,,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,
519,Pellas Nature: Infused Olive Oil Garlic - 250ML,5200123740103,,,['France'],[],[],,,,,,,,,?,,893,,3736 kj(893 kcal),,"99,2",,14,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,5 pains libanais - 240g,3770000186185,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,240 g,"['EMB 93057E', 'Pavillons-sous-Bois (Seine-Saint-Denis, France)']",,,,,,,,,,,
521,Super Seeds,5018095004242,,,['France'],[],[],,,,,,,,,?,,219,,916 kj(219 kcal),,"9,8",,"1,4",,"21,8",,"1,3",,"7,8",,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,
522,Tulem,3348630003426,,,['France'],[],[],,,,,,,,,?,,40,,167 kj(40 kcal),,0,,0,,"9,7",,"9,7",,0,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,
523,Figuritas de Mazapan - 400g,8412704010735,,,['France'],[],[],,,,,,,,,?,,465,,1946 kj(465 kcal),,25,,2,,50,,47,,11,,0,,0,,,,,,,,,,,,,,,400 g,,,,,,,,,,,,
524,Organic Chlorella Powder - MyProtein,5055936817371,,,"['France', 'Royaume-Uni']",[],[],,,,,,,,,?,,402,,1682 kj(402 kcal),,13,,1,,"5,2",,"1,2",,59,,"0,13",,"0,052",,,,,,,,,,,,,,['MyProtein'],,,,,,,,,,,,,
525,écoutons salade - bouton d'or - 60g,05578184,,,['France'],"['Farine de blé', 'huile de tourmesol', 'lactose', ""oróme naturel d'ail 2,5%"", 'sel', 'sucre', 'extrait de mat dorge', 'persil déshydraté ', '1%', 'levure', 'protéines de lait', 'cboulete deshydratée ', '0,03%', ' INFORMATIONS:']",['Non végétalien'],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"[""bouton d'or""]",60g,"['EMB 14514', ""Pont-l'Évêque (Calvados, France)""]",,,,,"['Gluten', 'Lait']",4,,,,,
526,0818534023743,0818534023743,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,Le Pâté du Vendangeur,3760082241971,,,['France'],[],[],,,,,,,,,?,,197,,824 kj(197 kcal),,14,,"4,9",,2,,0,,16,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Chocolat noir aéré - Laima,4750001951165,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Laima'],,,,,,,,,,,,,
529,Matcha,3760249072189,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,,,,,,,,,,
530,Pâte olive noire et figue séchée,3547130072462,,,['France'],[],[],,,,,,,,,?,,281,,1176 kj(281 kcal),,23,,"3,3",,13,,10,,"2,1",,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,
531,Yaourt Sterilgarda,80506027,,,['France'],[],[],,,,,,,,,?,,102,,427 kj(102 kcal),,"3,4",,"2,4",,14,,12,,"4,4",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,
532,Huile D'olive De Kabylie,3760069442582,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,2693026066785,2693026066785,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,"['FR 12.301.002 CE', 'Villeneuve (Aveyron, France)']",,,,,,,,,,,
534,Délice café,3781402005905,,,['France'],[],[],,,,,,,,,?,,378,,1582 kj(378 kcal),,11,,"1,7",,24,,"3,2",,37,,"2,5",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,Magret de canard fermié des Landes,2468679065863,E,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Magrets de canard']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,,,,,,,
536,8026700003020,8026700003020,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,Aiguillette de poulet,0244817029124,D,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,
538,Risotto aux herbes du maquis,3760176992321,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,
539,Arizona  saveur cocktail de fruits,77582751,,,['France'],[],[],,,,,,,,,?,,35,,146 kj(35 kcal),,0,,0,,"8,9",,"8,4",,0,,"0,01",,"0,004",,,,,,,,,,,,,,['Arizona'],,,,,,,,,,,,,
540,milk-shake au chocolat - MILICAL - 220g,02428914,D,"['Boissons', 'Produits laitiers', 'Boissons lactées', 'Laits aromatisés', 'Milkshakes']",['France'],"['Selenium 19,3 p 61,6 pg lode NGREDIENTS Maltodextrine', 'protéines de lait', 'lait écrémé en poudre', 'chocolat en oudre 9,1% ', 'cacao maigre en poudre 7%', 'sucre', 'inuline', 'huile de ournesol', 'protéines de blé hydrolysées', 'huile de soja entièrement ffinée', 'potassium', 'sirop de glucose', 'épaississant: carboxyméthyl ellulose sodique', 'minéraux ', 'sodium', 'magnésium', 'fer', 'zinc', 'iode ivre', 'sélénium', 'manganèse', 'arômes ', 'colorant: caram mmoniacal', 'édulcorants ', 'acésulfame-k et sucralose', ""émulsifia sters citriques des mono et diglycérides d'acides gras"", ""antioxydar sters d'acides gras de l'acide ascorbique"", 'extrait riche en tocophér acide ascorbique', 'vitamines ', 'C', 'E,A', 'D', 'B1', 'B2', 'PP', 'B5', 'B6', 'B9', 'B12 riqué dans un atelier qui utilise des ceufs et du soja', ' A consommer ditionné sous atmosphère protectrice', ' A conserver dans un endroit']",['Non végétalien'],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,71.6%,1.7%,9.9%,9.5%,5.7%,1.5%,49,,['MILICAL'],220g,,,,,"['E950 - Acésulfame K', 'E955 - Sucralose']",['Lait'],4,,,,,
541,Sopa de hortaliça,8722700066354,,,['France'],[],[],,,,,,,,,?,,28,,117 kj(28 kcal),,"0,7",,"0,3",,"4,4",,"0,9",,"0,9",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,
542,"Brie meaux aop lc 21% 1/2 aff. - Super U - 0,198kg",0202704016862,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Super U'],"0,198kg",,,,,,,,,,,,
543,2884113036082,2884113036082,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,Pépites de courge grillées salées origine Chine,3700193038848,,,['France'],[],[],,,,,,,,,?,,567,,2372 kj(567 kcal),,50,,12,,10,,"1,3",,30,,7,,"2,8",,,,,,,,,,,,,,,,,,,,,,,,,,,
545,Orange juice,5290074002221,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange""]",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,8.8 g,en quantité élevée,0.01 g,en faible quantité,?,,51,+19%,213 kj(51 kcal),+17%,0,-100%,0,-100%,"10,8",+11%,"8,8",-3%,"0,5",-20%,"0,01",+17%,"0,004",+17%,4,+33%,C,+33%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,,,
546,Propolis,0090800000119,,"['Produits de la ruche', 'Propolis']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,,
547,Cornflakes vitawell -,4008713705362,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Céréales extrudées', 'Flocons extrudés', 'Corn-flakes']",['France'],"['riso ', '40%', 'zucchero', 'uva sultanina ', '13%', 'frumento integrale ', '10%', 'chips di banana ', '4%', ' ', 'banane', 'olio di cocco', 'zucchero', 'ananas disidrata e zuccherata in pezzi ', '4%', ' ', 'zucchero', 'ananas', 'acidificanti: acido citrico', 'glutici humento', ""estratto di malto d'o "", 'noce di disidrata in zA1%', 'farina di frumento', 'lätte scremato in polvere', 'sale', 'germe di frumento', 'vitamine ', 'niacina', 'vitamina E', 'acido pantoteni - co', 'vitamina B6', 'riboflavina', 'tiammina', 'acido folico', 'vitamina B12', 'difosfato ferrico', ' di cocco ', '1%', ' ucchero', 'mela']",[],3 g,en quantité modérée,2.3 g,en quantité modérée,3 g,en faible quantité,1 g,en quantité modérée,?,,371,-2%,1552 kj(371 kcal),-2%,3,+175%,"2,3",+707%,"5,7",-93%,3,-72%,9,+25%,1,-17%,"0,4",-17%,5,-33%,C,-33%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,,,,,,,,,,
548,Chicken breast bonelees kiev tomato & mozzarella - Coles,9310645231730,,,['France'],[],[],,,,,,,,,?,,207,,866 kj(207 kcal),,"11,3",,3,,"2,4",,"2,4",,"18,2",,70,,28,,,,,,,,,,,,,['Fabriqué en Australie'],['Coles'],,,,,,,,,,,,,
549,Le thé vert parfumé lovely jasmin - Lipton,8712566087426,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Lipton'],,,,,,,,,,,,,
550,Ballotine de saumon,3503651131095,,,['France'],[],[],,,,,,,,,?,,160,,669 kj(160 kcal),,10,,4,,3,,"0,6",,14,,"0,66",,"0,264",,,,,,,,,,,,,,,,"['EMB 85288A', 'Talmont-Saint-Hilaire (Vendée, France)', 'FR 85.288.005 CE', 'Talmont-Saint-Hilaire (Vendée, France)']",,,,,,,,,,,
551,Beardilizer Accélérateur Pousse Barbe Produit Homme -,3401566596971,,['Compléments alimentaires'],['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,B,-100%,,,,,,,,['Point Vert'],,,,,['Plastique'],,,,,,,,,
552,Filet de maquereau - 90g,5600361743339,D,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux']",['France'],[],[],16 g,en quantité modérée,2.7 g,en quantité modérée,0 g,en faible quantité,1.5 g,en quantité modérée,?,,239,+8%,1000 kj(239 kcal),+8%,16,-2%,"2,7",-27%,"0,4",-63%,0,-100%,24,+46%,"1,5",+35%,"0,6",+35%,5,-20%,C,-20%,39.4%,14.2%,30.5%,14.0%,0.9%,0.9%,45,,,90 g,,,,,,,,,,,,
553,Jus d'orange,0206494018693,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange""]",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,"['Sans additifs', 'Sans conservateurs']",,,,,,,,,,,,,,
554,Pain 6 céréales,0291239010827,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,Melange du verger,3234750017262,,,['France'],[],[],,,,,,,,,?,,241,,1008 kj(241 kcal),,"0,4",,"0,03",,54,,51,,"2,1",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,
556,Beurre cacahuète,8906078770000,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de fruits à coques', 'Beurres de cacahuètes']",['France'],[],[],48 g,en quantité élevée,10 g,en quantité élevée,9 g,en quantité modérée,3.42 g,en quantité élevée,?,,562,-6%,2351 kj(562 kcal),-6%,48,-0%,10,+20%,18,+25%,9,+42%,24,-2%,"3,42",+542%,"1,368",+542%,27,+145%,E,+145%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,,,,,,,,,,,,,,
557,280g,05974153,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,280 g,,,,,,,,,,,,
558,Confiture figues citrons,3480600130036,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de figues']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,56 g,en quantité élevée,0 g,en faible quantité,?,,257,+11%,1075 kj(257 kcal),+11%,0,-100%,0,-100%,63,+14%,56,+5%,"0,5",-32%,0,-100%,0,-100%,8,-16%,C,-16%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,['Fabriqué en France'],,,,,,,,,,,,,,
559,Arôme amande amère - Sainte Lucie,3162050035184,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],['Sainte Lucie'],,,,,,,,,,,,,
560,Quatre fruits 100 % issu de fruits - St. Dalfour,3492390018203,,,['France'],[],[],,,,,,,,,?,,216,,904 kj(216 kcal),,"0,8",,"0,01",,52,,"45,5",,"0,5",,"0,03",,"0,012",,,,,,,,,,,,,,['St. Dalfour'],,,,,,,,,,,,,
561,Pain au chocolat Aop x 2,3072110000000,D,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,,,,,,,,,,,,,
562,Sportdej,3700153150337,,,['France'],[],[],,,,,,,,,?,,394,,1648 kj(394 kcal),,"3,5",,"0,4",,78,,20,,12,,"0,82",,"0,328",,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,,
563,Pain à la farine de mais -,0200847014639,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains au maïs']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,il biscotto,15867384,,,['France'],[],['Sans huile de palme'],,,,,,,,,?,,483,,2021 kj(483 kcal),,"20,5",,"7,8",,65,,"23,5",,"7,5",,"0,475",,"0,19",,,,,,,,,,,,,['en:palm-oil-free'],,,,,,,,,,,,,,
565,Entremet Déshydraté Pour Flan Au Café,8712566412792,,,['France'],[],[],,,,,,,,,?,,80,,335 kj(80 kcal),,"1,5",,"0,9",,13,,12,,3,,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,
566,Croissant Beurre,0205071009451,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Croissants', 'Croissants au beurre']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,78.5%,13.2%,5.3%,2.6%,0.4%,0.0%,69,,,,,,,,,,,,,,,
567,Tomme du chatelard -  - 1kg,2246584101940,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,1 kg,,,,,,,,,,,,
568,Brioche nanterre,2100005674461,,,['France'],[],[],,,,,,,,,?,,348,,1456 kj(348 kcal),,12,,"4,1",,52,,11,,"7,1",,"0,72",,"0,288",,,,,,,,,,,,,,,,,,,,,,,,,,,
569,Potimarron,0226846008660,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,Couscous semi complet,03330678,,,['France'],[],[],,,,,,,,,?,,356,,1490 kj(356 kcal),,2,,"0,3",,71,,3,,11,,0,,0,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Fabriqué en France', 'AB Agriculture Biologique']",,,,,,,,,,,,,,
571,Thé vert duo gourmand fraise rhubarbe - Naturela,3700110041579,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",['Naturela'],,,,,,,,,,,,,
572,Terrine perigourdine,3760117330779,,,['France'],[],[],,,,,,,,,?,,365,,1527 kj(365 kcal),,34,,"5,3",,"1,1",,0,,13,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,
573,Candi Original,8961003010316,,,['France'],[],[],,,,,,,,,?,,489,,2046 kj(489 kcal),,"19,8",,"9,4",,"72,7",,"36,1",,5,,"0,85",,"0,34",,,,,,,,,,,,,,,,,,,,,,,,,,,
574,Edam holland vieux,0205632026446,,,['France'],[],[],,,,,,,,,?,,432,,1807 kj(432 kcal),,32,,22,,0,,0,,"34,9",,3,,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,
