,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,ingredients_origins,traceability_code,link,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,nova_score,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,manufacturing,allergens,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,palm_ingredients,brand_owner,origin_detail,producer_info
1760,Petit Beurre Tablette Chocolat au Lait - U - 300g,3256225718863,C,300 g,"['boîte', 'Carton', 'Plastique']",['U'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Petits beurres', 'Biscuits tablette de chocolat', 'Petit beurre au chocolat', 'Biscuits au chocolat au lait', 'Biscuits tablette de chocolat au lait']","['Transformé en France', 'Farine de blé français', ""Blé issu d'une culture maitrisée""]","['France', 'Hors France']",,,['Magasins U'],['France'],"['Chocolat au lait 48% ', 'sucre', 'beurre de cacao', 'pâte de cacao', 'poudre de LAIT écrémé', 'LACTOSE', 'matière grasse de LAIT anhydre', 'émulsifiant : lécithines de tournesol', 'arôme naturel de vanille', 'farine de BLE 37', '6%', 'sucre', 'BEURRE pâtissier 6,5%', 'OEUFS', 'LAIT écrémé en poudre', ""poudres à lever : carbonates d'ammonium - carbonates de sodium - diphosphates"", 'sel', ' Traces éventuelles de fruits à coque']","['Sans huile de palme', 'Non végétalien']",2076,-1%,496,-1%,23,-3%,65,+1%,"6,4",-6%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,"['E322i - Lécithine', ""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition']",4,2076 kj(496 kcal),14,37,"0,5","0,2",['France'],"['Œufs', 'Gluten', 'Lait']",23 g,en quantité élevée,14 g,en quantité élevée,37 g,en quantité élevée,0.5 g,en quantité modérée,-1%,-3%,-0%,-12%,-12%,23,-5%,E,-5%,Petit beurre avec tablette de chocolat au lait,,,,
1761,"Fromage à tartiner nature 5% de MG - U - 21,9x 20g",3256225719129,C,"21,9 x 20 g","['Barquette', 'Film', 'Plastique', 'Frais']",['U'],"['Produits laitiers', 'Produits fermentés', 'Produits à tartiner', 'Produits laitiers fermentés', 'Produits à tartiner salés', 'Fromages', 'Fromages pasteurisés', 'Fromages à tartiner']","['Lait Français', 'Point Vert', 'Fabriqué en France', 'Pêche durable', 'Pêche durable MSC', 'en:lait-francais-french-milk']",,"['FR 22.049.001 CE', ""Créhen (Côtes-d'Armor, France)""]",,"['Super U', 'Magasins U']",['France'],"['BABEURRE', 'CREME et LAIT ÉCRÉMÉ pasteurisés', 'sel', 'BABEURRE deshydraté', 'PROTÉINES DE LAIT', 'ferments ', 'contient LAIT', ' Traces éventuelles de fruits à coques']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",967,-9%,234,+0%,22,+5%,3,-11%,6,-28%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,4,967 kj(234 kcal),15,3,"0,9","0,36",['France'],['Lait'],22 g,en quantité élevée,15 g,en quantité élevée,3 g,en faible quantité,0.9 g,en quantité modérée,-1%,+6%,+1%,-23%,-23%,12,0%,D,0%,Fromage à tartiner nature,,,,
1762,Coquillette cuisson rapide - U - 1kg,3256225720149,C,1 kg,['sachet de'],['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Coquillettes']",,,,,['Magasins U'],['France'],"[""100 % semoule de BLE dur de qualité supérieure Traces éventuelles d'oeufs""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",1500,-1%,354,-1%,"1,2",-35%,72,+2%,12,+1%,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,1,1500 kj(354 kcal),"0,3",3,"0,02","0,008",,['Gluten'],1.2 g,en faible quantité,0.3 g,en faible quantité,3 g,en faible quantité,0.02 g,en faible quantité,0%,-22%,-4%,-3%,-3%,-4,,A,,,,,,
1763,Acras à la morue + sauce tomate - U - 200g,3256225720194,D,200 g,"['Frais', 'Carton', 'Plastique']",['U'],"['Snacks', 'Snacks salés', 'Produits de la mer', 'Apéritif', 'Poissons', 'Plats préparés', 'Préparations de poisson', 'Plats préparés au poisson', 'Réfrigérés', 'Plats préparés réfrigérés', 'Acras de morue', 'en:preparations-made-from-fish-meat']","['Point Vert', 'Fabriqué en France', 'Transformé en France']","['France', 'Hors France', 'Océan Atlantique Nord-Est']",,,"['Super U', 'Magasins U']",['France'],"['Acras à la MORUE : pulpe de MORUE 42% [CABILLAUD ', 'gadus morhua - pêché en Atlantique Nord-Est', 'sel]', 'purée de pomme de terre [eau', 'flocon de pomme de terre ', 'pomme de terre déshydratée', ""émulsifiant : mono et diglycérides d'acides gras"", ']', 'huile de tournesol', 'fécule de pomme de terre', ""pulpe d'ail "", 'oignon déshydraté', 'persil', ""blanc d'OEUF en poudre"", 'sel', 'piment', 'poivre', "" Pourcentages exprimés sur l'acra à la MORUE"", ' Sauce tomate pimentée : eau', 'sucre', 'oignon', 'concentré de tomate 6%', 'amidon transformé de pomme de terre', ""vinaigre d'alcool"", 'sel', 'purée de piment 1% ', 'piment 1%', ""vinaigre d'alcool"", 'sel', 'acidifiant : acide citrique', 'conservateur : sorbate de potassium', 'arôme naturel', ' Pourcentages exprimés sur la sauce tomate pimentée', ' Traces éventuelles de céréales contenant du gluten et lait']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",866,-1%,207,-5%,11,+19%,16,-22%,10,-5%,87.7%,2.6%,1.3%,5.3%,0.6%,2.4%,22,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",4,866 kj(207 kcal),"1,2","0,9","1,3","0,52",['France'],"['Œufs', 'Poisson', 'Anhydride sulfureux et sulfites']",11 g,en quantité modérée,1.2 g,en faible quantité,0.9 g,en faible quantité,1.3 g,en quantité modérée,-5%,-8%,-64%,-28%,-28%,2,-71%,B,-71%,,,,,
1764,Bâtonnets de surimi saveur crabe - U - 200g,3256225722327,B,200 g,"['SANS GLUTEN', 'Frais']",['U'],"['Produits de la mer', 'Poissons', 'Plats préparés', 'Préparations de poisson', 'Plats préparés au poisson', 'Surimi', 'Préparations à base de chair de poisson']","['en:gluten-free', 'Sans conservateurs', 'Transformé en France']",,,,['Magasins U'],['France'],"['Eau', 'chair de POISSON 36%', 'fécule de pomme de terre', 'amidon transformé de maïs', 'sucre', 'sel', ""blanc d'OEUF en poudre"", 'arôme ', 'CRUSTACES', 'colorant : extrait de paprika', ' Traces éventuelles de mollusques']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",370,-44%,87,-45%,1,-90%,12,+44%,"7,6",-16%,52.0%,22.5%,10.3%,8.6%,5.2%,1.4%,92,"['E14XX - Amidons modifiés', 'E160c - Extrait de paprika']",4,370 kj(87 kcal),"0,2",3,"1,65","0,66",,"['Crustacés', 'Œufs', 'Poisson']",1 g,en faible quantité,0.2 g,en faible quantité,3 g,en faible quantité,1.65 g,en quantité élevée,-45%,-87%,+55%,+22%,+22%,4,+8%,C,+8%,Préparation à base de chair de poisson saveur crabe,,,,
1765,Emincés de filet de poulet a la provençale - U - 150g,3256225722563,D,150 g,['Frais'],['U'],"['Viandes', 'Charcuteries', 'Volailles', 'Poulets', 'Filets de poulet']","['Viande Française', 'Transformé en France', 'Volaille-francaise']",,"['FR 85.086.001 CE', 'Falleron (Vendée, France)']",,['Magasins U'],['France'],"['Filet de poulet 81%', 'eau', 'épices et plantes aromatiques ', ' dont tomate', 'ail', '- conservateurs: lactate de potassium', 'acétate de sodium - amidon modifié', 'dextrose', 'sel', ""huile d'olive"", 'herbes de provence', 'purée de tomate 28% ', '0,5%', ' ', 'arôme naturel', 'ferments', ' Traces éventuelles de blé', 'lait et oeuf']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",558,+15%,132,+1%,"2,8",-3%,"1,7",+255%,25,+10%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"['E326 - Lactate de potassium', 'E262i - Acétate de sodium', 'E14XX - Amidons modifiés']",4,558 kj(132 kcal),"0,7","1,6","1,4","0,56",,"['5\xa0%)', 'Amidon modifié', 'Arôme naturel', 'Dextrose', 'Ferments.']",2.8 g,en faible quantité,0.7 g,en faible quantité,1.6 g,en faible quantité,1.4 g,en quantité modérée,+3%,-6%,+558%,+87%,+87%,2,,B,,,,,,
1766,Amandes effilées - U - 125g,3256225731916,E,125 g,"['Sachet', 'Plastique']",['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Amandes', 'Amandes effilées']","['Point Vert', 'Conditionné en France']",,,,['Magasins U'],['France'],"['AMANDES effilées', "" Traces éventuelles d'arachides"", 'oeuf', 'lait et autres fruits à coques']","['Sans huile de palme', 'Végétalien', 'Végétarien']",2612,+0%,632,+1%,56,+4%,"5,5",-27%,22,-4%,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,1,2612 kj(632 kcal),"3,8","4,6","0,01","0,004",,['Fruits à coque'],56 g,en quantité élevée,3.8 g,en quantité modérée,4.6 g,en faible quantité,0.01 g,en faible quantité,+0%,-10%,+6%,-69%,-69%,-4,,A,,,,,,
1767,"Bleu fondant à pâte persillée au lait pasteurisé 3% de MG - U - 34,125g",3256226057138,D,"34,125 g",['Frais'],['U'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée']","['Lait Français', 'Fabriqué en France', 'en:lait-francais-french-milk']",,,,['Magasins U'],['France'],"['LAIT de vache pasteurisé', 'sel', ""ferments lactiques et d'affinage "", 'dont LAIT', 'présure', 'penicillium roqueforti']","['Sans huile de palme', 'Non végétalien']",1513,+3%,366,+4%,34,+13%,0,-100%,15,-22%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,3,1513 kj(366 kcal),24,0,"2,4","0,96",,['Lait'],34 g,en quantité élevée,24 g,en quantité élevée,0 g,en faible quantité,2.4 g,en quantité élevée,+3%,+14%,-100%,-7%,-7%,19,+7%,E,+7%,,,,,
1768,Jus de fruits booster tropical et extrait de guarana - U - 1l,3256226081454,C,1 l,['Bouteille'],['U'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits']","['Sans sucre ajouté', 'Recyclé plastique']",,,,['Magasins U'],['France'],"['Jus d ananas ', '53,49%', 'jus d orange ', '36', '96%', 'purée de mangue ', '8%', 'purée de fruit de la passion ', '1,5%', 'vitamine C', 'extrait de guarana ', '0', '02%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",195,+7%,46,+2%,"0,5",+216%,"10,6",+2%,"0,5",+48%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,1,195 kj(46 kcal),"0,1","9,2","0,01","0,004",,,0.5 g,en faible quantité,0.1 g,en faible quantité,9.2 g,en quantité élevée,0.01 g,en faible quantité,+4%,+276%,-4%,-5%,-5%,4,-41%,C,-41%,Jus de fruits booster tropical et extrait de guarana,,,,
1769,Paëlla royale volaille et fruits de mer - U - 1kg,3256226089405,C,1 kg,['boîte'],['U'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de riz', 'Paëllas']","['Viande Française', 'Cuisiné en France', 'Volaille-francaise']",,,,['Magasins U'],['France'],"['Boite de garniture 800g : Morceaux de cuisses de poule non désossées ', 'Origine : France', ' 28%*', 'eau', 'légumes 22%* ', 'Carottes 11%*', 'petits pois 9%*', 'poivrons 2%*', 'MOULES du Pacifique ', 'Mytilus Chilensis', 'élevées au Chili', ' 10%*', 'concentré de tomates', 'chorizo 2%* [viande de porc ', 'Origine : France', 'gras de porc', ""épices et extraits d'épices"", 'sel', 'dextrose', 'ferments lactiques', 'conservateurs : ascorbate de sodium et nitrite de sodium]', 'vin blanc', 'arômes naturels ', 'contient LAIT et POISSON', 'sel', 'graisse de volaille', 'oignon en poudre', 'ail en poudre', 'piment', '* Pourcentages exprimés sur la garniture', ' 1 coupelle de riz long étuvé 200g', "" 1 sachet d'épices: curcuma"", 'ail', 'piment doux', 'poivre', ' Traces éventuelles de céréales contenant du gluten', 'céleri', 'crustacés', 'moutarde et soja']","['Non végétalien', 'Non végétarien']",586,-1%,139,-1%,"4,7",+0%,19,+17%,8,+11%,74.9%,10.9%,3.7%,6.9%,2.1%,1.5%,60,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",4,586 kj(139 kcal),"0,5","1,3","1,1","0,44",,"['Poisson', 'Lait', 'Mollusques']",4.7 g,en quantité modérée,0.5 g,en faible quantité,1.3 g,en faible quantité,1.1 g,en quantité modérée,-0%,-53%,+14%,+20%,+20%,0,-100%,B,-100%,,,,,
1770,Yaourt à la grecque sur lit de mangue et passion - U - 4x 150g,3256226090340,B,4 x 150 g,['Frais'],['U'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la grecque', 'Yaourts sur lit de fruits']","['Sans arômes artificiels', 'Lait Français', 'Colorants naturels', 'Arômes naturels', 'Sans conservateurs', 'Transformé en France', 'Bleu Blanc Cœur', 'Lait BBC', 'Lait-francais-french-milk']",,,,['Magasins U'],['France'],"['Lait entier 64,3% ', 'origine : france', 'creme 12,7% ', 'origine : france', 'sucre 10%', 'mangue 6%', 'fruit de la passion 4%', 'amidon de maïs', 'denrées alimentaires colorantes : jus concentré de potiron et jus concentré de carotte', 'arôme naturel', 'épaississant : pectines', 'ferments ', 'dont lait', ' les ingrédients de ce produit ne proviennent pas de grèce']",['Non végétalien'],536,+25%,128,+21%,"6,8",+111%,14,+4%,"2,5",-49%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,['E440 - Pectines'],4,536 kj(128 kcal),"4,5",14,"0,1","0,04",,['Lait'],6.8 g,en quantité modérée,4.5 g,en quantité modérée,14 g,en quantité élevée,0.1 g,en faible quantité,+23%,+121%,+12%,-9%,-9%,7,+208%,C,+208%,,,,,
1771,Noir fourré noix de coco - U - 125g,3256226090371,E,125 g,"['FSC Mixte', 'Green dot', 'Triman', 'Pensez au tri!', 'Etui carton et feuille metal a recycler', 'Tablette']",['U'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats fourrés', 'Chocolats noirs fourrés']","['en:FSC', 'Transformé en France']",['Hors France'],,,"['Super U', 'Magasins U']",['France'],"['Sucre', 'pâte de cacao', 'sirop de glucose-fructose', 'noix de coco râpée 6', '4%', 'beurre de cacao', 'stabilisant : sirop de sorbitol', 'sirop de glucose', 'sucre glace ', 'sucre', 'fécule pomme de terre', 'matière grasses de LAIT anhydre', 'eau', 'émulsifiant : lécithines de tournesol', 'arôme naturel', 'arôme naturel de vanille']",['Sans huile de palme'],2180,+1%,524,-1%,"32,2",-2%,"48,1",-2%,"4,81",-15%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,"['E420ii - Sirop de sorbitol', 'E322i - Lécithine']",4,2180 kj(524 kcal),"20,2","42,8","0,048","0,019",['France'],['Lait'],32.2 g,en quantité élevée,20.2 g,en quantité élevée,42.8 g,en quantité élevée,0.0481 g,en faible quantité,-1%,+11%,-2%,-19%,-19%,20,-14%,E,-14%,Chocolat noir (32%) à la noix de coco,,,,
1772,Mini fondant au chocolat et éclats d'amandes & noix pécan pur beurre - U - 210g,3256226168384,,210 g,,['U'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries']",['Fabriqué en France'],,,,['Magasins U'],['France'],"['OEUFS entiers ', 'France', 'chocolat de couverture 20% ', 'pâte de cacao', 'sucre', 'cacao maigre en poudre', 'émulsifiant : lécithines de SOJA', 'sucre roux de canne', 'BEURRE 13%', 'farine de BLE 8% ', 'France', ""éclats d'AMANDES 5%"", 'stabilisant : sorbitols', ""blancs d'OEUFS "", 'France', 'éclats de noix de pécan 3%', 'inuline', 'poudres à lever : diphosphates et carbonates de sodium ', 'dont BLE', 'épaississant : gomme xanthane', 'arôme ', 'contient alcool', "" Traces éventuelles d'autres fruits à coque et de graines de sésame""]","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1875,+19%,449,+19%,26,+55%,46,-4%,"7,9",+47%,,,,,,,,"['E322i - Lécithine', 'E420 - Sorbitol', 'E450i - Pyrophosphate de sodium acide', 'E500 - Carbonates de sodium', 'E415 - Gomme xanthane']",4,1875 kj(449 kcal),13,34,"0,19","0,076",,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",26 g,en quantité élevée,13 g,en quantité élevée,34 g,en quantité élevée,0.19 g,en faible quantité,+19%,+60%,+16%,-54%,-54%,19,+11%,E,+11%,,,,,
1773,"Sirop à la fraise - U - 1,3l",3256226385149,B,"1,3 l",['Bidon'],['U'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de fraise', 'Boissons avec sucre ajouté']",['Transformé en France'],,,,['Magasins U'],['France'],"['Sucre', 'jus de fruits à base de concentrés 25% ', 'fraise 15%', 'citron', 'sureau', 'eau', 'acidifiant : acide citrique', 'arôme']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",1358,+7%,320,+19%,"0,5",+401%,80,+14%,"0,5",+395%,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,['E330 - Acide citrique'],4,1358 kj(320 kcal),"0,1",79,"0,04","0,016",,,,,,,,,,,+19%,+322%,+16%,+142%,+142%,,,,,,,,,
1774,Tuiles goût wasabi - U - 170g,3256226385569,B,170 g,"['cylindre carton', 'paquet']",['U'],"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Tuiles salées']",['Transformé en France'],,,,"['Super U', 'Magasins U']",['France'],"['Pomme de terre déshydratée ', 'dont conservateur : disulfite de sodium', ' 47%', 'huile de tournesol 20%', 'amidons ble et pomme de terre', 'sirop de glucose', 'arôme', 'émulsifiant : mono - et diglycérides d acides gras', 'huile de colza', 'sel', 'colorants : complexes cuivre-chlorophylles et chlorophyllines et curcumine', ' traces éventuelles de lait']","[""Pourrait contenir de l'huile de palme""]",2067,-3%,495,-3%,26,-12%,58,+5%,"4,4",-0%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,"['E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E141i - Complexes cuivriques de chlorophylles']",4,2067 kj(495 kcal),"2,7","5,9","1,1","0,44",['France'],"['Gluten', 'Anhydride sulfureux et sulfites']",26 g,en quantité élevée,2.7 g,en quantité modérée,5.9 g,en quantité modérée,1.1 g,en quantité modérée,-3%,-20%,+70%,-27%,-27%,9,-33%,C,-33%,,,,,
1775,Coquilles St Jacques MSC 30% noix cuisinées à la bretonne - U - 4unitéssoit 360g,3256226388720,,4 unitéssoit 360 g,['Surgelés'],['U'],"['Surgelés', 'Entrées et snacks surgelés']","['Cuisiné en France', 'Pêche durable', 'Pêche durable MSC', ""Pêche d'une espèce bien gérée""]","['Argentine', 'Danemark', 'Îles Féroé', 'Ou']",['MSC-C-53283'],,['Magasins U'],['France'],"['NOIX DE SAINT-JACQUES MSC 30% [zygochlamys patagonica', 'origine argentine]', 'oignon 15%', 'eau', 'CREME fraîche légère ', 'origine France', ' 12%', 'vin blanc 9% ', 'contient des SULFITES', 'BEURRE', 'LAIT entier en poudre', 'farine de BLE', 'échalote', 'amidon transformé de maïs', 'chapelure 1% ', 'farine de BLE', 'levure', 'sel', 'sel', 'persil 0', '2%', ""blanc d'OEUF en poudre"", 'poivre', 'ail', ' Soit 68% de sauce à la CRÈME fraiche légère et au vin blanc dans le produit', ' Traces éventuelles de crustacés et poissons']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",603,-36%,145,-35%,"9,6",-25%,"6,6",-58%,"7,4",-12%,,,,,,,,['E14XX - Amidons modifiés'],4,603 kj(145 kcal),"6,5","2,6","0,74","0,296",,"['Œufs', 'Gluten', 'Lait', 'Mollusques', 'Anhydride sulfureux et sulfites', 'JACQUES', 'SAINT']",9.6 g,en quantité modérée,6.5 g,en quantité élevée,2.6 g,en faible quantité,0.74 g,en quantité modérée,-35%,+3%,-16%,-30%,-30%,5,-45%,C,-45%,,,,,
1776,Sirop pamplemousse rose - U Bio - 50cl,3256226396978,A,50 cl,['bouteille en verre'],"['U Bio', 'U']","['Boissons', 'Sirops', 'Sirops aromatisés', 'Boissons avec sucre ajouté', 'Sirops de pamplemousse']","['Bio', 'Transformé en France']",,,,"['Magasins U', 'Super U']",['France'],"['Pur sucre de canne*', 'eau', 'jus de fruits à base de concentrés* 10', '4% ', 'pamplemousse rose* 10%', 'sureau*', 'acidifiant : acide citrique', 'arôme naturel de pamplemousse', 'arôme naturel de pamplemousse avec autres arômes naturels', "" *ingrédient issu de l'agriculture biologique""]","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",1127,+2%,265,+1%,"0,1",+12%,64,-3%,"0,1",+19%,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,['E330 - Acide citrique'],4,1127 kj(265 kcal),"0,1",64,"0,01","0,004",,,,,,,,,,,+2%,+400%,+0%,-51%,-51%,,,,,,,,,
1777,Poulet rôti avec purée de patate douce - U - 300g,3256226398651,,300 g,"['bq micro-ondable', 'barquette micro-ondable']",['U'],"['Plats préparés', 'Plats préparés à réchauffer au micro-ondes']","['Viande Française', 'Cuisiné en France', 'Volaille-francaise']",,,,['Magasins U'],['France'],"['Poulet rôti 26,6% [viande de poulet ', 'origine : France', 'eau', 'fécule de manioc', 'dextrose', 'sel]', 'eau', 'patate douce 19%', 'pommes de terre 14%', 'panais 9%', 'huile de colza', 'CREME fraîche 1,1%', 'BEURRE 1%', 'sel', 'bouillon de volaille ', 'maltodextrine', 'arômes naturels', 'graisse de poule', 'extrait de levure', 'épices et aromates', 'ail', 'colorant : caramel ordinaire', 'poivre', 'arôme naturel', 'oignon déshydraté', 'curry ', 'dont MOUTARDE', 'épaississants : gomme xanthane et gomme guar']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",427,-23%,102,-23%,5,-8%,"7,2",-44%,"6,8",+2%,,,,,,,,"['E150a - Caramel E150a', 'E415 - Gomme xanthane', 'E412 - Gomme de guar']",4,427 kj(102 kcal),"1,3","1,5","0,75","0,3",,"['Lait', 'Moutarde']",5 g,en quantité modérée,1.3 g,en faible quantité,1.5 g,en faible quantité,0.75 g,en quantité modérée,-23%,-37%,-14%,-3%,-3%,1,-29%,B,-29%,,,,,
1778,Mélange riche en fibres - U - 100g,3256226399528,,100 g,['Sachet'],['U'],,['Transformé en France'],,,,['Magasins U'],['France'],"['Raisins blonds ', 'raisins secs', 'huile de tournesol', 'conservateur: anhydride sulfureux', 'SULFITES', 'graines de courges décortiquées grillées 25%', 'AMANDES grillées 23%', 'physalis 19% ', 'physalis séchés', 'jus de canne évaporé', "" Traces éventuelles d'arachides"", 'lait', 'oeuf', 'graines de sésame', 'céréales contenant du gluten et autres fruits à coque']",[],1948,,466,,24,,45,,15,,,,,,,,,"['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",,1948 kj(466 kcal),3,34,"0,01","0,004",,"['Fruits à coque', 'Anhydride sulfureux et sulfites']",,,,,,,,,,,,,,,,,,,,,,
1779,Parmigiano reggiano râpé AOP lait cru 30% de MG - U Bio - 60g,3256226401412,C,60 g,['Frais'],"['U Bio', 'U']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages râpés', 'Parmigiano Reggiano']","['Bio', 'Bio européen', 'IT-BIO-006', 'AOP']",,,,"['Magasins U', 'Super U']",['France'],"['LAIT* cru de vache', 'sel', 'présure', "" *Ingrédient issu de l'agriculture biologique""]","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1671,+1%,402,+0%,30,+1%,0,-100%,32,-1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,3,1671 kj(402 kcal),20,0,"1,6","0,64",,['Lait'],30 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,+0%,+1%,,0%,0%,16,-4%,D,-4%,,,,,
1780,"Pur jus de pomme de Nouvelle Aquitaine ""fruits de chez nous"" - U - 1l",3256226414467,B,1 l,['Bouteille'],['U'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']","['Conditionné en France', 'Transformé en France']",,,,['Magasins U'],['France'],"['Jus de pomme de Nouvelle Aquitaine ', 'France', "" L'ingrédient de ce produit provient de France""]",[],202,+7%,48,+4%,"0,1",-44%,"11,3",+3%,"0,3",+37%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,202 kj(48 kcal),0,"11,3","0,01","0,004",,,0.1 g,en faible quantité,0 g,en faible quantité,11.3 g,en quantité élevée,0.01 g,en faible quantité,+6%,-100%,+9%,-20%,-20%,5,+20%,C,+20%,,,,,
1781,Huile de colza - U - 50cl,3256226463557,C,50 cl,['Bouteille'],['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de colza']",,,,https://www.coursesu.com/p/huile-de-colza-u-bouteille-de-50cl/1496612.html,['Magasins U'],['France'],['Huile de colza'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3700,+4%,900,+3%,100,+3%,0,-100%,0,-100%,89.1%,2.2%,4.4%,2.1%,2.2%,0.0%,55,,2,3700 kj(900 kcal),8,0,0,0,,,100 g,en quantité élevée,8 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,+2%,+12%,-100%,-100%,-100%,5,-1%,C,-1%,,,,,
