,name,bar_code,packaging,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,labels,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,nova_score,traceability_code,additives,generic_name,manufacturing,link,ingredients_origins,palm_ingredients,brand_owner,producer_info,origin_detail
1390,Tissues - Kleenex - 0.39sqm,50375301,['ldpe-bag'],['Kleenex'],"['France', 'Royaume-Uni']",[],[],?,?,,?,,?,,?,,,,0.39 sqm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1391,Épinard hachés findus crème fraîche et mozza - 450g,3599741005025,['2 barquettes individuelles'],['Findus'],['France'],"['Epinards 68% eau', 'crème fraiche 7% fromages ', 'dont mozzarella 4%', 'farine de blé', 'lait écrémé en poudre', 'sel', 'arômes naturels ', 'dont muscade', ' Traces éventuelles de :@ufs poissons', 'crustacés', 'céleri', 'moutarde et autres céreales ', 'gluten']","['Non végétalien', 'Non végétarien']",?,187,782 kj(187 kcal),5,"3,5","4,4",1,"4,6","0,74","0,296",,450 g,"['Plats préparés', 'Epinards cuisinés']",,,5 g,en quantité modérée,3.5 g,en quantité modérée,1 g,en faible quantité,0.74 g,en quantité modérée,,+16%,+17%,-30%,+54%,-67%,-52%,-34%,-22%,-22%,6,+52%,C,+52%,,,,,,,,"['Gluten', 'Lait']",4,,,,,,,,,,
1392,Vietnam Pho Boeuf - tien shan - 304g après préparation,3229820797960,['bol carton'],['tien shan'],['France'],"['Nouilles ', '40g', ': farine de riz 88%', ' eau', ' Assaisonnement saveur boeuf ', '14g', ': maltodextrine', 'sel', 'sucre', 'protéines végétales hydrolysées [sauce soja ', 'fèves de soja', 'protéines de maïs', 'blé', 'eau', 'sel', 'épaississant : amidon hydroxypropylé', 'sel]', 'ail 1,5%', 'huile de palme', 'huile de coco', 'poivre', 'extrait de levure', 'oignons', 'anis étoilé', 'coriandre', 'persil', 'cannelle en poudre', 'clou de girofle', 'gingembre en poudre', 'arômes', 'colorant : caramel', ' Contient des sulfites']",['Huile de palme'],257,60,257 kj(60 kcal),0,0,14,"0,8","1,1",1,"0,4",,304g après préparation,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles', 'Nouilles de riz']",,,0 g,en faible quantité,0 g,en faible quantité,0.8 g,en faible quantité,1 g,en quantité modérée,,-78%,-77%,-100%,-100%,-77%,+243%,-79%,+403%,+403%,4,,C,,,,,,,,,"['Gluten', 'Anhydride sulfureux et sulfites']",4,,"['E1440 - Amidon hydroxypropyle', 'E150 - Caramel']",,['Thaïlande'],,,['Huile de palme'],,,
1393,Moutarde de Dijon sans sel ajouté - Gayelord Hauser - 180g,3229820797625,"['Conserve', 'verre bocal', 'Sec']",['Gayelord Hauser'],['France'],"['Eau', 'graines de moutarde', 'vinaigre', 'conservateur: sulfite acide de sodium']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,172,720 kj(172 kcal),13,"0,7","2,9","2,3","9,3","0,12","0,048",B,180 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Produits à tartiner', 'Sauces', 'Moutardes', 'Moutardes de Dijon', 'Moutardes fines', 'Condiments à tartiner']","['Peu ou pas de sel', 'Sans arômes artificiels', 'Sans sel ajouté', 'Sans sucre ajouté', 'Sans colorants']",['Auchan'],13 g,en quantité modérée,0.7 g,en faible quantité,2.3 g,en faible quantité,0.12 g,en faible quantité,,+11%,+11%,+14%,+1%,-23%,-11%,+31%,-98%,-98%,-3,-130%,A,-130%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,"['Moutarde', 'Anhydride sulfureux et sulfites']",3,,"['E222 - Bisulfite de sodium', '', 'Risque élevé de sur-exposition']",moutarde de Dijon réduite en sel,,,,,,,
1394,Le chèvre BIO à tartiner - Rians,3184670011140,,['Rians'],"['Belgique', 'France']","['Lait pasteurisé de chèvre', 'sel de Guérande ', '1%', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",608,146,608 kj(146 kcal),10,"6,7","4,6","2,5","9,4",1,"0,4",E,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre', 'Fromage de chèvre frais', 'Fromage de chèvre à tartiner']",,,10 g,en quantité modérée,6.7 g,en quantité élevée,2.5 g,en faible quantité,1 g,en quantité modérée,-45%,-49%,-48%,-56%,-58%,+175%,+158%,-46%,-26%,-26%,6,-55%,C,-55%,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,['Lait'],3,,,,,,,,,,
1395,Pomme mangue passion - Carrefour - 360g (4x90g),3560071185305,,['Carrefour'],['France'],"['Purée de pomme 82,9%', 'purée de mangue 15 %', 'purée de fruit de la passion 2%', 'antioxydant : acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,53,222 kj(53 kcal),0,0,12,12,0,"0,03","0,012",B,360g (4x90g),"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes à boire']","['Sans conservateurs', 'Sans sucre ajouté']",['Carrefour'],0 g,en faible quantité,0 g,en faible quantité,12 g,en quantité modérée,0.03 g,en faible quantité,,-15%,-16%,-100%,-100%,-12%,-4%,-100%,+221%,+221%,-4,,A,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,,1,,['E300 - Acide ascorbique'],,,,,,,,
1396,Lait frais de montagne - Candia - 50cl,3533630097616,"['Bouteille plastique', 'Bouteille plastique']",['Candia'],['France'],['Lait frais de montagne demi-écrémé pasteurisé'],[],?,47,197 kj(47 kcal),"1,6",1,"4,8","4,8","3,3","0,1","0,04",D,50 cl,"['Produits laitiers', 'Laits', 'Laits demi-écrémés', 'Laits pasteurisés']","['Nutriscore', 'Nutriscore A']",,1.6 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,0.1 g,en faible quantité,,-18%,-15%,-33%,-31%,+1%,+8%,+1%,+1%,+1%,-1,-311%,A,-311%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,['Lait'],,"['FR 42.305.001 CE', 'Talaudière (Loire, France)']",,Lait frais de montagne demi-écrémé pasteurisé,,,,,,,
1397,Fruit shoot jus bio - Teisseire,3092718624866,,['Teisseire'],['France'],[],[],?,26,109 kj(26 kcal),0,0,"5,8","5,8",0,0,0,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1398,Raibi - Luxlait - 1L,5450168551794,,['Luxlait'],['France'],"['Lait demi-écrémé', 'petit-lait ', 'lactosérum', 'sucre', 'arôme saveur grenade', 'jus de betterave rouge concentré', 'colorant:bêta-carotène', 'ferments lactiques']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,82,343 kj(82 kcal),"1,6","1,1","13,8","13,8",3,"0,1","0,04",,1L,['en:Boissons  Produits laitiers  Produits fermentés  Produits laitiers fermentés  Boissons lactées  Boissons fermentées  Boissons lactées fermentées'],['en:HalalFSC'],,1.6 g,en faible quantité,1.1 g,en faible quantité,13.8 g,en quantité élevée,0.1 g,en faible quantité,,,,,,,,,,,4,,C,,,,,,,,,['Lait'],4,['LU L2 EC\x1f  \x1fFSC-C014047'],['E160ai - Bêta-carotène'],Lait fermenté aromatisé à la saveur grenade,['Luxembourg'],,,,,,
1399,Chips paprika - Sun Snacks - 200g,4061458060950,['PP05'],['Sun Snacks'],"['France', 'Allemagne']","['Kartoffeln', 'Sonnenblumenöl', 'Salz', 'Paprikapulver', 'Weizenmehl', 'Süßmolkenpulver ', 'Milch', 'Zucker', 'Gewürze', 'Käsepulver ', 'Milch', 'Aromen ', 'mit Milchprodukten', 'Maltodextrin', 'Rauch', 'Säuerungsmittel: Citronensäure']",['Non végétalien'],2259,542,2259 kj(542 kcal),34,"2,7",51,"1,7",6,"1,5","0,6",B,200 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Plats préparés', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées', 'Entrées', 'Chips au paprika', ""Chips de pommes de terre à l'huile de tournesol"", 'en:Aliments-d-origine-vegetale', 'en:Aliments-et-boissons-a-base-de-vegetaux', 'en:Aperitif', 'en:Cereales-et-pommes-de-terre', 'en:Chips', 'en:Chips-au-paprika', 'en:Chips-de-pommes-de-terre', 'en:Chips-de-pommes-de-terre-aromatisees', 'en:Chips-et-frites', 'en:Snacks-sales']",['de:05 PP'],['Aldi'],34 g,en quantité élevée,2.7 g,en quantité modérée,1.7 g,en faible quantité,1.5 g,en quantité modérée,,+5%,+4%,+11%,-11%,-4%,-15%,+13%,+9%,+9%,14,+12%,D,+12%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,"['Gluten', 'Lait', 'de:Milchprodukten']",4,,['E330 - Acide citrique'],,"['Neu-Isenburg', 'Deutschland']",,,,,,
1400,3 colorants alimentaires - Sainte Lucie,3162050015049,,['Sainte Lucie'],['France'],"['Colorant liquide jaune: eau', 'colorants: E102', 'E124', 'acidifiant: E330', 'conservateur: E211', ' Colorant liquide rouge: Eau', 'colorants: E122', 'E124', 'acidifiant: E330', 'conservateur: E202 Colorant liquide bleu : Eau', 'colorant : E132', ' Les E122', 'E124', ""E102 peuvent avoir des effets indésirables sur l'activité et l'attention chez les enfants""]","['Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,,,"['Additifs alimentaires', 'Colorants alimentaires']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,"['E102 - Tartrazine', 'E124 - Ponceau 4R', 'E330 - Acide citrique', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E122 - Azorubine carmoisine', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', ""E132 - Indigotine carmin d'indigo""]",,,,,,,,
1401,P'tite Céréale - Avoine Complète et Blé - Nestlé - 400g,7613036867979,,['Nestlé'],['France'],"['céréales 99,6% ', "" farines d'avoine complète"", 'de blé diastasée', 'de blé', 'minéraux : carbonate de calcium', 'fumarate ferreux', 'sulfate de zinc', 'iodure de potassium ', ' vitamines', ' C', 'E', 'niacine', 'thiamine', 'A', 'B6', 'acide folique', 'D', ' vanilline', 'culture de bifidus', ' B', ' lactis']",[],?,400,1674 kj(400 kcal),"4,3","0,8",77,22,11,"0,1","0,04",,400 g,"['Aliments pour bébé', 'Céréales pour bébé']",['Sans conservateurs'],,,,,,,,,,,+12%,+27%,+89%,+10%,+22%,+59%,+49%,+85%,+85%,,,,,,,,,,,,['Gluten'],3,,,Céréale enfant,,,,,,,
1402,Crunchy müsli - Kellogg's,5053827203630,,"[""Kellogg's""]","['France', 'Allemagne', 'Suisse']","['Céréales complètes ', '67%', 'Orge complète', 'Avoine complète', 'Seigle complet', 'Purée de dattes', 'Huile de tournesol', 'Pomme', '4%', 'Farine de blé', 'Purée de bananes', 'Carotte', '3%', 'Framboise', '1%', 'Arômes naturels', 'Sel', ""Extrait de malt d'orge"", ' Peut contenir: Fruits à coque']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,425,1778 kj(425 kcal),14,"1,9",62,16,"8,1","0,28","0,112",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']","['Végétarien', 'Végétalien', 'Sans sucre ajouté']",,14 g,en quantité modérée,1.9 g,en quantité modérée,16 g,en quantité élevée,0.28 g,en faible quantité,,+2%,+2%,+7%,-43%,+2%,-5%,-18%,+61%,+61%,0,-100%,B,-100%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,['Gluten'],4,,,,,,,,,,
1403,Légumiô Pois chiches et Maïs en Perles - Bonduelle - 300g,3083681100211,,['Bonduelle'],['France'],"['Spécialité de pois chiches et maïs : Ingrédients : Farine de pois chiches 80%', 'maïs 20%', ' Peut contenir des traces de soja', ' Sans gluten']",[],1494,354,1494 kj(354 kcal),"4,6","0,6","54,3","2,6",19,"0,01","0,004",,300 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Semoules de céréales']","['Sans gluten', 'Nutriscore', 'Nutriscore A']",,4.6 g,en quantité modérée,0.6 g,en faible quantité,2.6 g,en faible quantité,0.01 g,en faible quantité,-1%,+3%,+2%,+137%,+73%,-22%,+13%,+74%,-92%,-92%,-6,,A,,,,,,,,,,1,,,Spécialité de pois chiche et maïs blanc,,,,,,,
1404,Quinoa Delice - Tipiak,3600900021517,,['Tipiak'],['France'],[],[],?,371,1552 kj(371 kcal),"3,2","0,3",68,"4,8",13,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405,Tanoshi sauce soja - 300ml,3229820798103,"['Bouteille en verre', 'Bouchon']",['Tanoshi'],['France'],"['Eau', 'fèves de soja dégraissées 13 %', 'sel marin', 'blé', 'alcool', 'fèves de soja 0,1 %']","['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",?,66,276 kj(66 kcal),"0,5","0,1","7,8","1,4","8,7",16,"6,4",A,300 ml,"['Epicerie', 'Condiments', 'Sauces', 'Sauces au soja', 'Sauces au soja salées']",,,0.5 g,en faible quantité,0.1 g,en faible quantité,1.4 g,en faible quantité,16 g,en quantité élevée,,-18%,-15%,+372%,+312%,+1%,-55%,+26%,+21%,+21%,5,-40%,C,-40%,21.5%,31.6%,20.1%,15.9%,8.6%,2.3%,97,"['Gluten', 'Soja']",3,,,,,,,,,,
1406,Figues séchées layer - Auchan - 250g,8435177058028,,['Auchan'],['France'],['Figues'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,296,1238 kj(296 kcal),2,"0,3",60,52,"3,7","0,35","0,14",D,250 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Figues sèches']","['Nutriscore', 'Nutriscore B']",['Auchan'],2 g,en faible quantité,0.3 g,en faible quantité,52 g,en quantité élevée,0.35 g,en quantité modérée,,+7%,+8%,+32%,+6%,+5%,+11%,+13%,+155%,+155%,2,-33%,B,-33%,69.5%,21.7%,2.7%,4.1%,1.9%,0.0%,38,,1,,,,,,['Turquie'],,,,
1407,Salade de fruits BIO - St Mamet - 412g,3080920992149,['Conserve'],['St Mamet'],['France'],"['Morceaux de poires* ', '45%', ' et pêches*', '33%', ""oreillons d'abricots "", '21%', 'eau', 'sucre*', 'acidifiant : acide citrique', ""*Ingrédients issus de l'agriculture biologique""]","['Végétalien', 'Végétarien']",278,66.4,278 kj(66 kcal),0,0,15,14,0,0,0,A,412 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits en conserve', 'Salades de fruits']","['Bio', 'Végétarien', 'Bio européen', 'Sans gluten', 'Agriculture non UE', 'Végétalien', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Sans huile de palme', 'Sans conservateurs', 'AB Agriculture Biologique']",,0 g,en faible quantité,0 g,en faible quantité,14 g,en quantité élevée,0 g,en faible quantité,+12%,+13%,+14%,-100%,-100%,+21%,+28%,-100%,-100%,-100%,-3,,A,,74.4%,7.2%,7.9%,6.7%,2.2%,1.6%,81,['Aucun'],3,,['E330 - Acide citrique'],Salade de 3 fruits préservés biologiques,['France'],,,,,,
1408,Sucre en poudre EXTRA FIN - Auchan - 750g,3596710466535,['Boite'],['Auchan'],['France'],[],[],?,400,1674 kj(400 kcal),0,0,100,100,0,0,0,B,750 g,"['Édulcorants', 'Sucres', 'Sucres en poudre']","['Nutriscore', 'Nutriscore D']",['Auchan'],0 g,en faible quantité,0 g,en faible quantité,100 g,en quantité élevée,0 g,en faible quantité,,+0%,-0%,-100%,-100%,+0%,+0%,-100%,-100%,-100%,14,-2%,D,-2%,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,,,,,,,,,,,,
1409,Yaourt avec sauce aux fruits rouges et muesli - Picard,3270160841226,,['Picard'],['France'],[],[],?,182,761 kj(182 kcal),7,"4,9",27,19,3,"0,1","0,04",,,,,['Picard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1410,Frischella mit Joghurt - REWE Beste Wahl - 200g,4388860108330,['Kunststoff'],['REWE Beste Wahl'],"['France', 'Allemagne']","['Frischkäse', 'Joghurt aus entrahmter Milch 15 %', 'Speisesalz', 'Verdickungsmittel ', 'Johannisbrotkernmehl', 'Carrageen']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,166,695 kj(166 kcal),14,"9,8",3,3,"6,5","0,6","0,24",D,200 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à la crème', 'de:Frischkäsezubereitung']","['Sans OGM', 'en:Ohne Gentechnik']",,14 g,en quantité modérée,9.8 g,en quantité élevée,3 g,en faible quantité,0.6 g,en quantité modérée,,+12%,+11%,+32%,+41%,-45%,-37%,-3%,+80%,+80%,9,+120%,C,+120%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Lait'],4,,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,,,,,,,
1411,Sel rose de l'himalaya - Carrefour - 99g,3560071184971,,['Carrefour'],['France'],[],[],?,?,,?,,?,,?,,,,99 g,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1412,Deli'Cheese Fol Épi - 180g (9x 20g),3222110031058,,"['Fol Epi', 'Savencia']",['France'],"['fromage français au lait de vache pasteurisé 48 % [lait ', 'origine France', 'sel', 'ferments', 'colorants: rocou', 'caramel ordinaire]', 'chapelure 43,4 % ', 'farine de blé', 'farine de mais', 'farine de riz', 'amidon de blé', 'sel', 'amidon de riz', 'protéines de riz', 'malt de blé', 'sucre', 'gluten de blé', 'dextrose de blé', 'levures', 'huile de tournesol', 'amidon modifié', ' Peut contenir des traces de lait de chèvre']",['Non végétalien'],?,344,1439 kj(344 kcal),21,10,23,"0,8",15,1,"0,4",C,180 g (9 x 20 g),"['Snacks', 'Produits laitiers', 'Produits fermentés', 'Snacks salés', 'Produits laitiers fermentés', 'Fromages', 'Produits panés', 'Fromages panés', 'Croquettes au fromage']",,,21 g,en quantité élevée,10 g,en quantité élevée,0.8 g,en faible quantité,1 g,en quantité modérée,,+14%,+16%,+25%,+24%,+10%,-73%,+18%,-25%,-25%,11,-19%,D,-19%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['Gluten', 'Lait']",4,['HU 279 EC'],"['E160b - Rocou', 'E150a - Caramel E150a', 'E14XX - Amidons modifiés']","Préparation à base de fromage français au lait pasteurisé enrobée de chapelure, précuite",['Hongrie'],,,,,,
1413,Café au lait - Tassimo - 16x 80ml,8711000423172,['Paquet'],['Tassimo'],['France'],[],[],?,27,113 kj(27 kcal),"0,8","0,7","3,9","2,6","0,9",0,0,,16 x 80 ml,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",,,,,,,,,,,,-45%,-54%,-47%,-23%,-53%,-46%,-53%,-100%,-100%,,,,,,,,,,,,,,,,,,,,,,,
1414,Chocolat lait et amandes - Château - 200g,26071022,,['Château'],['France'],[],[],?,566,2368 kj(566 kcal),38,16,42,42,12,"0,15","0,06",,200 g,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats']","['Agriculture durable', 'en:UTZ Certified']",,38 g,en quantité élevée,16 g,en quantité élevée,42 g,en quantité élevée,0.15 g,en faible quantité,,+3%,+3%,+4%,-24%,-9%,+2%,+66%,+8%,+8%,26,+11%,E,+11%,,,,,,,,,,,,,,,,,,,
1415,Truite de mer fumee 4tr - Marque Repère - 120g,3564706556294,"['Plaque en carton', 'Film en plastique']","['Marque Repère', 'Ronde des Mers']",['France'],"['Truite ', 'Oncorhynchus mykiss', ' 97 %', 'sel 3 %']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",803,?,803 kj(192 kcal),11,"1,6","0,5","0,5",23,3,"1,2",E,120 g,"['Produits de la mer', 'Poissons', 'Poissons fumés', 'Truites', 'Truites fumées']",,['Leclerc'],11 g,en quantité modérée,1.6 g,en quantité modérée,0.5 g,en faible quantité,3 g,en quantité élevée,+20%,,+17%,+40%,-1%,+20%,+70%,+2%,+9%,+9%,13,+10%,D,+10%,92.4%,0.0%,1.3%,5.5%,0.7%,0.2%,23,['Poisson'],3,,,,,,,,,,
1416,suze,10471003,['bouteille en verre'],,['France'],['Gentianes'],[],?,?,,?,,?,,?,0,0,C,,"['Boissons', 'Boissons alcoolisées', 'Pastis', 'en:Alcool']",,,,,,,,,,,,,,,,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.6%,2.0%,57,,,,,,,,,,,,
1417,Céréales fourrées à l'abricot - Bio Village - 375g,3564707144049,,['Bio Village'],['France'],"['sucre,farine de riz 22%', ""pulpe d'abricot 17%"", 'semoule de blé complet 13%', 'farine de blé 6,8%', 'huile de coco', 'sirop de glucose', 'sel', 'jus de citron concentré', 'gélifiant :pectine', 'traces de lait', 'traces de fruits à coque', 'traces de soja']",[],?,374,1565 kj(374 kcal),"5,2","4,5",76,36,"4,3","0,25","0,1",,375g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés']","['Bio', 'Bio européen', 'Nutriscore', 'Nutriscore D', 'AB Agriculture Biologique']",['Leclerc'],5.2 g,en quantité modérée,4.5 g,en quantité modérée,36 g,en quantité élevée,0.25 g,en faible quantité,,+7%,+7%,-9%,+185%,+29%,+533%,-54%,-17%,-17%,16,+882%,D,+882%,,,,,,,,['Gluten'],4,,['E440 - Pectines'],,,,,,,,
1418,Original langkorn reis express - Uncle Ben's - 250g,3487400003409,"['Konserve', 'Packung(en)']","[""Uncle Ben's""]","['France', 'Allemagne']","['Dampfgegarter Langkorn-Reis ', '99 %', 'Sonnenblumenöl', 'Salz']",[],556,134,556 kj(134 kcal),"0,9","0,1",28,"0,5","0,7","2,7","1,08",C,250g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz']",,,0.9 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,2.7 g,en quantité élevée,-62%,-60%,-61%,-25%,-63%,-61%,+44%,-90%,+8960%,+8960%,11,,D,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,3,,,,,,,,,,
1419,Pâte Feuilletée pur beurre - Monoprix - 230g,3350033619524,['atmosphère protectrice'],['Monoprix'],['France'],['Farine de blé 55% - eau - beurre concentré 19% - alcool éthylique - sel - jus de citron concentré - levure désactivée'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Végétarien']",?,384,1607 kj(384 kcal),21,15,41,"2,6","6,1","0,8","0,32",D,230g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes à tarte', 'Pâtes feuilletées']",,['Monoprix'],21 g,en quantité élevée,15 g,en quantité élevée,2.6 g,en faible quantité,0.8 g,en quantité modérée,,+1%,+1%,-3%,+33%,+6%,+72%,+5%,-21%,-21%,17,+3%,D,+3%,75.8%,9.6%,3.8%,2.8%,1.7%,6.3%,51,"['Gluten', 'Lait']",3,,['E1510 - Éthanol'],,,,,,,,
1420,7322540757781,7322540757781,,,['France'],[],[],?,?,,?,,?,,?,,,,,,['Sans colorants'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1421,Lasagne épinards et saumon -  - 1kg,3329630919924,['Coque en plastique'],,['France'],"['Eau', 'saumon 14,8 % ', 'saumon kéta du Pacifique', 'saumon Salmo salar', 'semoule de blé dur', 'crème 12% ', 'crème', 'stabilisant : carraghénanes', 'épinards 11,9 %', 'emmental', 'oignons', 'amidon modifié', 'jus de citron', 'sel', 'lait écrémé en poudre', 'purée de carottes', 'ail', 'huile de colza', 'gélifiants : gomme xanthane et farine de graines de caroube ', ' triple concentré de tomate', 'poireau en poudre', 'poivre noir', 'fenouil poudre', 'coriandre', 'thym']","['Non végétalien', 'Non végétarien']",?,126,527 kj(126 kcal),"5,8","3,8",11,"1,4","6,8","0,81","0,324",D,1 kg,"['Plats préparés', 'Plats à base de pâtes', 'Plats préparés au poisson', 'Lasagnes préparées', 'Lasagnes au poisson', 'Plats au saumon', 'Lasagnes au saumon']",,,5.8 g,en quantité modérée,3.8 g,en quantité modérée,1.4 g,en faible quantité,0.81 g,en quantité modérée,,-11%,-9%,-10%,+37%,-8%,-34%,+1%,+10%,+10%,3,+20%,C,+20%,79.3%,12.2%,2.8%,3.0%,1.6%,1.1%,48,"['Poisson', 'Lait']",4,,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E410 - Gomme de caroube']",,,,,,,,
