,name,bar_code,eco_score,quantity,brand,categories,ingredients_origins,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,traceability_code,additives,packaging,manufacturing,generic_name,link,palm_ingredients
1508,Confiture allégée abricot - Les Comtes de Provence - 320g,3324492501379,A,320 g,['Les Comtes de Provence'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",,,['France'],"['Abricot 49', '5%', 'sucre de canne', 'eau', 'gélifiant : pectine de fruits', 'acidifiant : jus concentré de citron']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.05 g,en faible quantité,0 g,en faible quantité,39.8 g,en quantité élevée,0.06 g,en faible quantité,?,,161,-26%,674 kj(161 kcal),-26%,"0,05",-78%,0,-100%,"39,78",-25%,"39,78",-21%,"0,41",-18%,"0,06",+173%,"0,024",+173%,9,+0%,C,+0%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,"['Peu ou pas de sucre', 'Peu de sucre', 'Bio', 'Bio européen', 'Allégé en sucre', 'FR-BIO-01']",,['E440 - Pectines'],"['Pot', 'Verre']","['Peyruis', 'France', 'Provence']",Confiture allégée abricot,,
1509,Confiture de Figues rouges - Les Confituriers de Haute-Provence - 240g,3324492501560,C,240 g,['Les Confituriers de Haute-Provence'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de figues']",,,['France'],"['Figues rouges 58%', 'sucre de canne', 'acidifiant : jus concentré de citron', 'gélifiant: pectine de fruits']",,[],4,0.19 g,en faible quantité,0.03 g,en faible quantité,53.1 g,en quantité élevée,0 g,en faible quantité,?,,217,-6%,908 kj(217 kcal),-7%,"0,19",-58%,"0,03",-55%,"53,15",-4%,"53,15",+0%,"0,59",-20%,0,-100%,0,-100%,10,+6%,C,+6%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,['E440 - Pectines'],"['Pot', 'Verre']","['Peyruis', 'France', 'Provence']",Confiture de Figues rouges,,
1510,Confiture de Framboises - Les Confituriers de Haute-Provence - 240g,3324492501577,C,240 g,['Les Confituriers de Haute-Provence'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",,,['France'],"['framboise', 'sucre de canne', 'gélifiant : pectine de fruits', 'acidifiant: jus concentré de citron']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.39 g,en faible quantité,0.01 g,en faible quantité,51.9 g,en quantité élevée,0.03 g,en faible quantité,"896,41",-5%,?,,"896,41 kj(214 kcal)",-5%,"0,39",+44%,"0,01",-78%,"51,94",-3%,"51,94",+1%,"0,79",+17%,"0,03",+41%,"0,012",+41%,10,+13%,C,+13%,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,,,['E440 - Pectines'],"['Pot', 'Verre']","['Peyruis', 'France', 'Provence']",Confiture de Framboises,,
1511,Confiture de Cerises noires - Les confituriers de Haute-Provence - 240g,3324492501591,C,240g,['Les confituriers de Haute-Provence'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de cerises']",,,['France'],"['Cerise 59', '6%', 'sucre de canne', 'acidifiant : jus concentré de citron', 'gélifiant : pectine de fruits']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.2 g,en faible quantité,0.07 g,en faible quantité,55 g,en quantité élevée,0.02 g,en faible quantité,"944,62",+3%,226,+2%,"944,62 kj(226 kcal)",+2%,"0,2",-18%,"0,07",+56%,55,+2%,55,+6%,"0,84",+31%,"0,02",-24%,"0,008",-24%,10,+1%,C,+1%,73.9%,8.9%,10.5%,4.6%,1.7%,0.4%,50,,,['E440 - Pectines'],"['Pot', 'Verre']","['Peyruis', 'Provence', 'France']",Confiture de Cerises noires,,
1512,Confiture de lait - Les comtes de Provence - 250g,3324492501607,B,250 g,['Les comtes de Provence'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Confitures de lait']",,,['France'],"['lait entier frais 61%', 'sucre', 'lait écrémé en poudre 8', '4%', 'arôme vanille']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,3.5 g,en quantité modérée,1.9 g,en quantité modérée,56 g,en quantité élevée,0.4 g,en quantité modérée,?,,288,-3%,1205 kj(288 kcal),-3%,"3,5",-37%,"1,9",-41%,57,+3%,56,+10%,"7,4",+14%,"0,4",+18%,"0,16",+18%,15,-10%,D,-10%,46.2%,16.3%,23.6%,9.1%,3.8%,1.0%,85,['Fabriqué en France'],,,"['Pot', 'Verre']",,Confiture de lait,,
1513,Caramel beurre salé - Les Comtes De Provence - 250g,3324492501614,,250 g,['Les Comtes De Provence'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés']",,,['France'],"['Lait concentré sucré', 'sucre de canne', 'caramel ', 'sucre', 'eau', 'eau', 'poudre de lait', 'beurre demi-sel ', '2', '4%', 'sel', 'émulsifiant: lécithine de soja']","['Lait', 'Soja']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,8.54 g,en quantité modérée,5.11 g,en quantité élevée,49.3 g,en quantité élevée,0.37 g,en quantité modérée,?,,331.95,+19%,1389 kj(331 kcal),+20%,"8,54",+97%,"5,11",+391%,"57,13",+2%,"49,26",-6%,"6,65",+432%,"0,37",+649%,"0,148",+649%,20,+74%,E,+74%,,,,,,,,['Fabriqué en France'],"['FR 04.149.001 CE', 'Peyruis (Alpes-de-Haute-Provence, France)']",['E322i - Lécithine'],"['Pot', 'Verre']","['Peyruis', 'France', 'Provence']",Caramel beurre salé,,
1514,Miel de Lavande crémeux - Les comtes de Provence - 330g,3324493400114,B,330 g,['Les comtes de Provence'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",,,['France'],['Miel'],,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,"['IGP', 'Label Rouge']",,,"['Pot', 'Verre']",,Miel de Lavande crémeux,,
1515,Confiture de lait - Les Comtes de Provence - 350g,3324494200287,B,350 g,['Les Comtes de Provence'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Confitures de lait']",,,['France'],"['Lait entier frais ', '61%', 'sucre', 'lait écrémé en poudre à 0% de matière grasse']",['Lait'],['Non végétalien'],3,5 g,en quantité modérée,3 g,en quantité modérée,47 g,en quantité élevée,0.3 g,en quantité modérée,1250,-1%,300,+1%,1250 kj(300 kcal),+1%,5,-10%,3,-7%,57,+3%,47,-7%,7,+8%,"0,3",-11%,"0,12",-11%,16,-4%,D,-4%,46.2%,16.3%,23.6%,9.1%,3.8%,1.0%,85,,,,"['Pot', 'Verre']",,Confiture de lait,,
1516,Confiture de fraise allégée - Les Comtes de Provence - 320g,3324494200300,C,320 g,['Les Comtes de Provence'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confiture de fruits allégée en sucres', 'Confitures de fraises']",,,['France'],"['Fraises ', '49', '6 %', 'sucre de canne', 'eau', 'gélifiant : pectine de fruits']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.45 g,en faible quantité,0 g,en faible quantité,36.8 g,en quantité élevée,0.04 g,en faible quantité,?,,154,-6%,644 kj(154 kcal),-6%,"0,45",+88%,0,-100%,"36,79",-6%,"36,79",-2%,"0,8",+57%,"0,04",+55%,"0,016",+55%,8,+22%,C,+22%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,"['Peu ou pas de sucre', 'Peu de sucre', 'Bio', 'Bio européen', 'Allégé en sucre', 'Moins 30% de sucre', 'Cuisiné en France', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Point Vert']",,['E440 - Pectines'],"['Bocal', 'Verre', 'métal']",['France'],Confiture de Fraises Bio Allégée,,
1517,Rhubarb & Ginger preserve - Mackays - 340g,3324498000210,C,340 g,['Mackays'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures']",,,['France'],"['Sucre', 'rhubarbe ', '33%', 'gingembre ', '2%', 'gélifiant : pectine de fruits', ""correcteur d'acidité : acide citrique""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,66.3 g,en quantité élevée,0 g,en faible quantité,?,,269,+21%,1125 kj(269 kcal),+21%,0,-100%,0,-100%,"66,7",+25%,"66,3",+29%,"0,3",-42%,0,-100%,0,-100%,13,+40%,D,+40%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,"['E440 - Pectines', 'E330 - Acide citrique']","['Pot', 'Verre']",,Confiture Rhubarbe et gingembre,,
1518,Douceur d'Agrumes - Les Comtes de Provence - 370g,3324498000241,C,370 g,['Les Comtes de Provence'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures multifruits', ""Confitures d'agrumes""]",,,['France'],"['Agrumes 54', '4% ', 'clémentine', 'orange', ""jus d'orange"", 'sucre de canne', 'miel 5%', 'acidifiant : jus concentré de citron', 'cannelle 0', '3%', 'gélifiant : pectine de fruits']",,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,0.1 g,en faible quantité,0 g,en faible quantité,47.1 g,en quantité élevée,0.0089 g,en faible quantité,?,,192,-15%,803 kj(192 kcal),-15%,"0,1",-59%,0,-100%,"47,2",-14%,"47,08",-10%,"0,49",+9%,"0,009",-56%,"0,004",-56%,11,+10%,D,+10%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,['E440 - Pectines'],"['Pot', 'Verre']","['Peyruis', 'France', 'Provence']",Douceur d'Agrumes,,
1519,Compote de fraises,3324498000364,B,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de fraise']",,,['France'],[],,[],,0.4 g,en faible quantité,0 g,en faible quantité,23.7 g,en quantité élevée,0.032 g,en faible quantité,?,,101,-1%,423 kj(101 kcal),-0%,"0,4",+114%,0,-100%,"23,73",+2%,"23,73",+8%,"0,58",+0%,"0,032",+194%,"0,013",+194%,1,,B,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,,,,,,,,
1520,Compote de framboise,3324498000371,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de framboise']",,,['France'],[],,[],,0.48 g,en faible quantité,0.02 g,en faible quantité,24.6 g,en quantité élevée,0.03 g,en faible quantité,?,,107,+60%,448 kj(107 kcal),+61%,"0,48",+47%,"0,02",-76%,"24,64",+69%,"24,64",+85%,"0,97",+132%,"0,03",+202%,"0,012",+202%,6,,C,,,,,,,,,,,,,,,,
1521,Crème de noisette bio - Les Comtes de Provence - 250g,3324498000401,,250 g,['Les Comtes de Provence'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés']",,,['France'],"['Sucre de canne*', 'purée de noisette* ', '39', '8%', 'additif: lécithine de tournesol*']",,[],3,25.7 g,en quantité élevée,2.05 g,en quantité modérée,58.4 g,en quantité élevée,0 g,en faible quantité,?,,499,+79%,2088 kj(499 kcal),+80%,"25,71",+494%,"2,05",+97%,"62,07",+11%,"58,4",+12%,"4,99",+299%,0,-100%,0,-100%,18,+57%,D,+57%,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']","['FR 04.149.001 CE', 'Peyruis (Alpes-de-Haute-Provence, France)']",['E322i - Lécithine'],"['Pot', 'Verre']","['Peyruis', 'France', 'Provence']",Crème de noisette bio,,
1522,Compote d'eglantines - Les Comtes de Provence - 420g,3324498000654,A,420 g,['Les Comtes de Provence'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', ""Compotes d'églantine""]",,,['France'],"['églantine 55%', 'pomme 25%', 'sucre de canne', 'gélifiant : pectine de fruits', 'acidifiant: jus concentré de citron']",,[],4,0.48 g,en faible quantité,0 g,en faible quantité,35.7 g,en quantité élevée,0.01 g,en faible quantité,"637,9",+137%,?,,"637,9 kj(152 kcal)",+129%,"0,48",+47%,0,-100%,"35,7",+145%,"35,7",+168%,"1,37",+228%,"0,01",+1%,"0,004",+1%,6,,C,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,,,['E440 - Pectines'],"['Pot', 'Verre']","['Provence', 'France', 'Peyruis']",Compote d'eglantines,,
1523,Crème de marrons - Les comtes de provence - 250g,3324498000821,C,250 g,['Les comtes de provence'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', 'Crèmes de marrons']",,,['France'],"['marron ', '49', '5%', 'sucre de canne', 'extrait de vanille', 'vanille poudre']",,[],3,1.38 g,en faible quantité,0.24 g,en faible quantité,55.1 g,en quantité élevée,0.01 g,en faible quantité,?,,299,+19%,1251 kj(299 kcal),+19%,"1,38",+84%,"0,24",+66%,"70,18",+17%,"55,07",+11%,"1,53",+39%,"0,01",-47%,"0,004",-47%,12,+4%,D,+4%,66.1%,22.5%,5.7%,3.0%,2.6%,0.0%,66,,,,"['Pot', 'Verre']","['Provence', 'France', 'Peyruis']",Crème de marrons,,
1524,Poires au sirop - Les Comtes de Provence - 380g,3324498001156,,380g,['Les Comtes de Provence'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Desserts', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits en conserve', 'Fruits au sirop']",,,['France'],"['Poires 72%', 'sirop de sucre pure canne ', 'eau', 'sucre de canne', 'acidifiant: jus concentré de citron']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0 g,en faible quantité,0 g,en faible quantité,13 g,en quantité élevée,0 g,en faible quantité,?,,55,-25%,230 kj(55 kcal),-22%,0,-100%,0,-100%,13,-16%,13,-7%,0,-100%,0,-100%,0,-100%,0,,B,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,"['Pot', 'Verre']","['Peyruis', 'France', 'Provence']",Poires au sirop,,
1525,Cerises au sirop Bio - Les Comtes de Provence - 380g,3324498001170,,380g,['Les Comtes de Provence'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Desserts', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits en conserve', 'Fruits au sirop', 'Cerises au sirop']",,,['France'],"['Cerises* ', '73%', 'Sirop de sucre pure canne* ', 'eau', 'sucre de canne', 'acidifiant: jus concentré de citron*', ' *Produits issus de l’agriculture biologique']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0 g,en faible quantité,0 g,en faible quantité,16 g,en quantité élevée,0 g,en faible quantité,?,,72,-49%,301 kj(72 kcal),-45%,0,-100%,0,-100%,16,-27%,16,-19%,0,-100%,0,-100%,0,-100%,1,,B,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,"['Pot', 'Verre']","['Peyruis', 'France', 'Provence']",Cerises au sirop Bio,,
1526,Confiture de fraises - Les Comtes De Provence - 750g,3324498001347,C,750 g,['Les Comtes De Provence'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,,['France'],"['fraise ', '55%', 'sucre de canne', 'gelifiant : pectine de fruits', 'acidifiant: jus concentré de citron']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.32 g,en faible quantité,0 g,en faible quantité,55.4 g,en quantité élevée,0.03 g,en faible quantité,?,,226,+4%,946 kj(226 kcal),+4%,"0,32",+33%,0,-100%,"55,38",+4%,"55,38",+9%,"0,46",+4%,"0,03",+32%,"0,012",+32%,10,+15%,C,+15%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,['Cuisiné en France'],,['E440 - Pectines'],"['Pot', 'Verre']","['France', 'Peyruis', 'Provence']",Confiture de fraises,,
1527,Confiture mirabelles - Les Comtes de Provence - 340g,3324498001569,A,340 g,['Les Comtes de Provence'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de prunes', 'Confitures de mirabelles']",,,['France'],"['mirabelle ', '65%', 'sucre de canne', 'acidifiant: jus concentré de citron', 'gélifiant : pectine de fruits']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,49 g,en quantité élevée,0 g,en faible quantité,?,,200,-10%,837 kj(200 kcal),-11%,0,-100%,0,-100%,49,-9%,49,-5%,"0,46",+19%,0,-100%,0,-100%,10,+3%,C,+3%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,['E440 - Pectines'],"['Pot', 'Verre']","['France', 'Provence', 'Peyruis']",Confiture de mirabelles,,
1528,Confiture fraises des bois - Les Confituriers de Haute-Provence - 240g,3324498300013,C,240 g,['Les Confituriers de Haute-Provence'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,,['France'],"['Fraise 56% ', 'fraise 46%', 'fraise des bois 10%', 'sucre de canne', 'acidifiant ', ' jus concentré de citron', 'gélifiant : pectine de fruits']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.32 g,en faible quantité,0 g,en faible quantité,52.9 g,en quantité élevée,0 g,en faible quantité,?,,216,-0%,904 kj(216 kcal),-1%,"0,32",+33%,0,-100%,"52,87",-0%,"52,87",+4%,"0,46",+4%,0,-100%,0,-100%,10,+15%,C,+15%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,['E440 - Pectines'],"['Pot', 'Verre']","['Peyruis', 'France', 'Provence']",Confiture fraises et fraises des bois,,
1529,Confiture d'Oranges - Les Confituriers de Haute-Provence - 240g,3324498300020,C,240 g,['Les Confituriers de Haute-Provence'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'agrumes"", ""Confitures d'orange""]",,,['France'],"['Oranges 52% ', 'oranges 36', '5%', ""jus d'orange 15"", '5%', 'sucre de canne', 'acidifiant : jus concentré de citron', 'gélifiant : pectine de fruits']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.11 g,en faible quantité,0 g,en faible quantité,53.6 g,en quantité élevée,0 g,en faible quantité,?,,217,+1%,908 kj(217 kcal),+1%,"0,11",-53%,0,-100%,"53,57",+2%,"53,57",+6%,"0,51",+4%,0,-100%,0,-100%,11,+17%,D,+17%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,['E440 - Pectines'],"['Pot', 'Verre']","['Peyruis', 'France', 'Provence']",Confiture d'Oranges,,
1530,Poire au sirop - Les Comtes de Provence,3324498440016,B,,['Les Comtes de Provence'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Desserts', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits en conserve', 'Fruits au sirop', 'Poires au sirop']",,,['France'],[],,[],,0 g,en faible quantité,0 g,en faible quantité,13 g,en quantité élevée,0.01 g,en faible quantité,?,,55,-23%,230 kj(55 kcal),-15%,0,-100%,0,-100%,13,-12%,13,+2%,0,-100%,"0,01",-36%,"0,004",-36%,-3,,A,,31.2%,35.3%,16.8%,8.7%,8.0%,0.0%,95,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,
1531,Pomme de terre à chair ferme jaune - A.B.L.B - 1kg,3324660000062,B,1 kg,['A.B.L.B'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Pommes de terre']",['France'],,['France'],['Pommes de terre'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,28.6%,0.0%,23.6%,24.0%,19.8%,4.1%,98,,,,"['Sachet', 'Plastique']",,Pomme de terre de consommation à chair ferme (variété: Charlotte) (Calibre: 28/40mm) (Cat 1),,
1532,Pommes de terre de sélection - A.B.L.B - 750g,3324660000857,B,750 g,['A.B.L.B'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Pommes de terre', 'Légumes frais', 'Pommes de terre Galante']",['France'],,['France'],"['Pommes de terre', ' Variété: Galante']",,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,28.6%,0.0%,23.6%,24.0%,19.8%,4.1%,98,,['CNIPT 29346930'],,"['Sachet', 'Plastique']",,Pommes de terre de consommation à chair ferme,,
1533,pâte à sucre - Florensuc,3324695191735,,,['Florensuc'],,,,['France'],"['Sucre ', '80%', 'sirop de glucose', 'matière grasse végétale ', 'palme kernel', 'palme', 'humectant : E422', 'épaississants : E415', 'E466', 'émulsifiant E471 ', 'arôme naturel', 'conservateur : E200', 'acidifiant : E330', 'colorant : El 33', ' DO']",,['Huile de palme'],4,,,,,,,,,?,,400,,1674 kj(400 kcal),,"5,5",,"3,8",,87,,85,,0,,"0,12",,"0,048",,,,,,,,,,,,,"[""Appellation d'origine""]",,"['E422 - Glycérol', 'E415 - Gomme xanthane', 'E466 - Carboxyméthylcellulose', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",,,,,['Huile de palme']
1534,Fleur mangeable,3324698109003,,,,,,,['France'],[],,[],,,,,,,,,,?,,359,,1502 kj(359 kcal),,1,,"0,1",,87,,0,,"0,5",,"0,18",,"0,072",,,,,,,,,,,,,,,,,,,,
1535,"Café moulu vénitien, mélange arabica et robusta",3324700000434,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,
1536,Café moulu Gallay - 250g,3324700001516,,250g,['Gallay'],,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,
1537,"Idéal, Café Moulu, Tonique Et Corsé, 4 x 250g, 1Kg - 1kg",3324700001578,,1 kg,,,,,['France'],[],,[],,,,,,,,,,?,,1,,4 kj(1 kcal),,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
1538,Capsule café Doux - Folliet - 52g e,3324700002742,,52 g e,['Folliet'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Nespresso']",,['Leclerc'],['France'],['Café moulu 100 % arabica'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'BE-BIO-01', 'Point Vert', 'Triman', '100\xa0% Arabica']",,,"['Carton', 'boîte', 'métal', 'Aluminium']",,,,
1539,Akancao,3324700005422,,,,,,,['France'],[],,[],,,,,,,,,,?,,381,,1594 kj(381 kcal),,5,,"3,1",,"60,9",,"58,1",,"18,9",,"1,09",,"0,436",,,,,,,,,,,,,,,,,,,,
1540,Café en dosettes souples,3324700005484,,,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Senseo']",,,['France'],[],,[],,,,,,,,,,?,,5,+25%,21 kj(5 kcal),+5%,"1,86",+516%,0,-100%,"0,57",-46%,0,-100%,"0,805",+225%,,,,,,,,,,,,,,,,,,,,,,,
