,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,manufacturing,link,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,ingredients_origins,brand_owner,palm_ingredients,origin_detail,producer_info
240,papillotes poulet Herbes de Provence - Maggi - 34g,04918653,,,34g,['Sachet'],['Maggi'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices']",['Sans colorants'],,,,['France'],"['Légumes 32% pomme de terre', 'tomate', 'oignon', 'panais fécule de mais', 'sel', 'herbes de Provence 9% : origan', 'basilic', 'marjolaine', 'thym paprika', 'sucre', 'ail', 'graines de coriandre', 'huile de tournesol', 'gingembre', 'poivre noir', 'persil', 'jus de citron concentré', 'curcuma', 'piment de cayenne', 'arômes Peut contenir: céleri', 'oeuf', 'blé', 'lait', 'moutarde', '2 soja']",,[],4,?,,665,+408%,"28,8",+752%,"12,9",-34%,"88,2",+2221%,,,,,,,,,28.8 g,en quantité élevée,7.65 g,en quantité élevée,4.12 g,en faible quantité,3.53 g,en quantité élevée,2780 kj(665 kcal),+380%,"7,65",+1101%,"4,12",-44%,"3,53",-25%,"1,41",-25%,,,,,,,,,,
241,Weizengras,4019839881144,,,,,,,"['Végétarien', 'Végétalien']",,,,['France'],[],,"['Végétalien', 'Végétarien']",,?,,281,,"3,9",,23,,18,,,,,,,,,,,,,,,,,,1176 kj(281 kcal),,"0,8",,"7,3",,"0,1",,"0,04",,,,,,,,,,,
242,Les Pâtes Fraîches d'Olivier,3592020009882,,,,,,,,,,,['France'],[],,[],,?,,33,,0,,"7,4",,"0,9",,,,,,,,,"['FR 83.130.211 CE', 'Solliès-Pont (Var, France)']",,,,,,,,,138 kj(33 kcal),,0,,0,,"0,2",,"0,08",,,,,,,,,,,
243,Hero delicia pruneaux,76142413,,,,,['Hero'],,,,,,['France'],[],,[],,?,,204,,"0,1",,49,,"0,4",,,,,,,,,,,,,,,,,,854 kj(204 kcal),,0,,48,,"0,05",,"0,02",,,,,,,,,,,
244,Grand vin de bordeaux- Bordeaux superieur,20016883,C,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",,,,,['France'],[],,[],,?,,?,,?,,?,,?,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,,['France'],,,,
245,Ciney brune - 33cl,54064058,C,Bière belge brune,33 cl,"['Bouteille', 'Verre', 'Capsule', 'métal']","['Ciney', 'Alken-Maes', 'Maes']","['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières belges', 'Bières brunes']","['Déconseillé aux femmes enceintes', 'Conduite interdite', 'Plus de 18 ans']","['Belgique', 'Alken']",https://www.heinekenfrance.fr/nos-produits/nos-marques/ciney-blonde-vraie-belge-douce-et-equilibree/,['Carrefour Market'],['France'],"['eau', ""malt d'orge"", 'sirop de glucose', 'sucre', 'colorant : E150c', 'houblon', 'extraits de houblon']",['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,236,,57,+12%,?,,?,,?,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,236 kj(57 kcal),+8%,,,,,,,,,,,,,"['E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition']",,,,,
246,Pozzi,8007730010226,,,,,,,,,,,['France'],[],,[],,?,,477,,"14,7",,"71,7",,"5,9",,,,,,,,,,,,,,,,,,1996 kj(477 kcal),,"7,4",,"27,8",,"0,086",,"0,034",,,,,,,,,,,
247,Pomme Golden,26062013,,,,['unité'],,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Nocilla Two flavour,8410014896902,,,,,['Nocilla'],,,,,,['France'],[],,[],,?,,564,,33,,64,,"2,3",,,,,,,,,,,,,,,,,,2360 kj(564 kcal),,13,,61,,"0,16",,"0,064",,,,,,,,,,,
249,Compote organic fruit Apple & Cranberry - Clearspring,5021554986782,,,,,['Clearspring'],,['Bio'],,,,['France'],[],,[],,?,,77,,"0,1",,18,,"0,9",,,,,,,,,,,,,,,,,,322 kj(77 kcal),,"0,1",,18,,"0,03",,"0,012",,,,,,,,,,,
250,Lucky Hearts - fortuin - 200g,8710559037748,E,,200g,['sachet de 200g'],['Fortuin'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,['9100 WB Dokkum'],,,['France'],[],,[],,?,,387,+9%,0,-100%,94,+13%,"0,6",-72%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,0 g,en faible quantité,0 g,en faible quantité,94 g,en quantité élevée,0 g,en faible quantité,1619 kj(387 kcal),+8%,0,-100%,94,+62%,0,-100%,0,-100%,14,-3%,D,-3%,,,,,,
251,Bites - Twix,5000159515160,,,,,['Twix'],,,,,,['France'],[],,[],,?,,494,,24,,60,,"4,4",,,,,,,,,,,,,,,,,,2067 kj(494 kcal),,14,,50,,"0,39",,"0,156",,,,,,,,,,,
252,Granola chocolat noir,3770008206465,,,,,,,"['Bio', 'Végétarien', 'Bio européen', 'Sans conservateurs', 'Végétalien', 'FR-BIO-01', 'Fabriqué en France', 'en:palm-oil-free', 'AB Agriculture Biologique']",,,,['France'],[],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,?,,422,,"17,5",,51,,"9,1",,,,,,,,,,,,,,,,,,1766 kj(422 kcal),,"2,9",,"15,6",,"0,01",,"0,004",,,,,,,,,,,
253,Coconut Oil,0898220012671,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits et graines de fruits', 'Huiles de coco']",,,,,['France'],[],,[],,?,,130,-85%,14,-86%,0,-100%,0,-100%,,,,,,,,,14 g,en quantité modérée,13 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,544 kj(130 kcal),-85%,13,-85%,0,-100%,0,-100%,0,-100%,11,-43%,D,-43%,,,,,,
254,3400941963940,3400941963940,,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,El iberico - Palacios,8420878595293,,,,,['Palacios'],,"['Sans colorants', 'Sans conservateurs']",,,,['France'],[],,[],,?,,549,,49,,0,,25,,,,,,,,,,,,,,,,,,2297 kj(549 kcal),,22,,0,,"3,6",,"1,44",,,,,,,,,,,
256,Confiture D'ananas - Materne - 450g,5410046000080,D,,450 g,,['Materne'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits tropicaux', ""Confitures d'ananas""]","['Sans colorants', 'Sans conservateurs']",,,,['France'],"['Ananas', 'Sucre', 'sirop de glucose-fructose', 'gélifiant : pectines', ""correcteur d'acidité : acide citrique"", 'antioxydant : acide ascorbique']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,?,,253,+10%,"0,5",+10%,61,+9%,"0,5",+14%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,0.5 g,en faible quantité,0.1 g,en faible quantité,59 g,en quantité élevée,0.01 g,en faible quantité,1059 kj(253 kcal),+10%,"0,1",+53%,59,+10%,"0,01",-73%,"0,004",-73%,12,+36%,D,+36%,"['E440 - Pectines', 'E330 - Acide citrique', 'E300 - Acide ascorbique']",,,,,
257,Salade trio de tomates - Monoprix,3350033631496,,,,,['Monoprix'],,,,,['Monoprix'],['France'],[],,[],,?,,120,,"8,6",,"5,3",,"4,5",,,,,,,,,,,,,,,,,,502 kj(120 kcal),,"3,6",,"1,9",,"0,42",,"0,168",,,,,,,,,,,
258,Fresubin - Fresenius Kabi,4051895012148,,,,,['Fresenius Kabi'],,"['en:gluten-free', 'Sans lactose']",,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,JAMBON FUMÉ GRILL - Petitgas - 500g,3275461006800,,,500 g,,['Petitgas'],,"['Viande-francaise', 'Viande-porcine-francaise']",,,,['France'],[],,[],,?,,167,,"9,4",,"1,9",,"18,7",,,,,,,,,,,,,,,,,,699 kj(167 kcal),,"3,9",,"1,7",,"2,7",,"1,08",,,,,,,,,,,
260,Jeunes pousses d'oignons,3700516000729,,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Soba - Gallo,8410069014672,,,,,['Gallo'],,,,,,['France'],[],,[],,?,,198,,"8,9",,24,,"4,4",,,,,,,,,,,,,,,,,,828 kj(198 kcal),,4,,"2,7",,"1,4",,"0,56",,,,,,,,,,,
262,Dynamite sticks,8710998425212,,,,,,,['Halal'],,,,['France'],[],,[],,?,,368,,"2,6",,84,,2,,,,,,,,,,,,,,,,,,1540 kj(368 kcal),,"1,4",,65,,"0,08",,"0,032",,,,,,,,,,,
263,Pâté de campagne - Charles Antona - 190g,3425477104186,D,,190 g,"['Bocal', 'Verre']",['Charles Antona'],"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de porc', 'Pâtés de campagne']","['Sans colorants', 'Sans conservateurs']",,,,['France'],[],,[],,?,,338,+9%,27,0%,"2,4",-0%,15,+6%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,27 g,en quantité élevée,13 g,en quantité élevée,0.6 g,en faible quantité,1.7 g,en quantité élevée,1414 kj(338 kcal),+9%,13,+29%,"0,6",-35%,"1,7",+2%,"0,68",+2%,21,+11%,E,+11%,,,,,,
264,Pain Complet,3602826451997,,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Cocktail Saucisses de Strasbourg,3291510004009,E,,,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Strasbourg']",,,,,['France'],[],,[],,?,,339,+24%,31,+28%,"1,5",+5%,13,+3%,87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,,31 g,en quantité élevée,11.2 g,en quantité élevée,1.5 g,en faible quantité,1.8 g,en quantité élevée,1418 kj(339 kcal),+23%,"11,2",+21%,"1,5",+33%,"1,8",-7%,"0,72",-7%,21,+10%,E,+10%,,,,,,
266,2 TARTARES DE SAUMON,3760105176358,,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Picnic,7622210989277,,,,,,"['Snacks', 'Snacks sucrés', 'Confiseries']",,,,,"['France', 'États-Unis']","['Sugar', 'PEANUTS', 'glucose-fructose syrup', 'glucose syrup', 'WHEAT flour ', 'with added calcium', 'iron', 'niacin', 'thiamin', 'dried grapes', 'palm oil', 'cocoa butter', 'cocoa mass', 'skimmed MILK powder', 'whey powder ', 'from MILK', 'whey permeate powder ', 'from MILK', 'rice flour', 'MILK fat', 'emulsifiers ', 'E442', 'sunflower lecithin', 'E476', 'E471', 'SOYA lecithin', 'salt', 'BARLEY malt extract', 'maize flour', 'flavourings', 'anti-caking agent ', 'E170', 'raising agents ', 'E500', 'E503', 'MILK proteins', ' MILK CHOCOLATE: MILK SOLIDS 14% MINIMUM', 'CONTAINS VEGETABLE FATS IN ADDITION TO COCOA BUTTER', ' MAY CONTAIN NUTS', 'EGG']","['Gluten', 'Lait', 'Arachides', 'Soja']","['Huile de palme', 'Non végétalien']",4,?,,479,+14%,23,+56%,60,-10%,"7,3",+73%,,,,,,,,,23 g,en quantité élevée,9.8 g,en quantité élevée,45 g,en quantité élevée,0.45 g,en quantité modérée,2004 kj(479 kcal),+14%,"9,8",+52%,45,-9%,"0,45",+206%,"0,18",+206%,22,+21%,E,+21%,"[""E442 - Phosphatides d'ammonium"", 'E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E170 - Carbonates de calcium', 'E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium""]",,,,,
268,Harengs Moutarde à l'ancienne,3700260700746,,,,,,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Filets de harengs']","['Pêche durable', 'Pêche durable MSC']",,,,['France'],[],,[],,?,,708,+273%,12,-8%,"1,5",+49%,14,-11%,,,,,,,,['MSC-C-51192'],12 g,en quantité modérée,2.1 g,en quantité modérée,0.9 g,en faible quantité,1.5 g,en quantité modérée,2962 kj(708 kcal),+275%,"2,1",-28%,"0,9",+60%,"1,5",-53%,"0,6",-53%,16,+26%,D,+26%,,,,,,
269,Jacker Hot& Spicy FLV Potato CR -,9556023785635,,,,,,,,,,,"['France', 'Malaisie']",[],,[],,?,,500,,25,,63,,6,,,,,,,,,,,,,,,,,,2092 kj(500 kcal),,11,,11,,"2,91",,"1,164",,,,,,,,,,,
270,Vanilla fudge bar,00847766,,,,,,,,,,,['France'],[],,[],,?,,484,,"22,2",,"67,1",,"3,6",,,,,,,,,,,,,,,,,,2025 kj(484 kcal),,"12,8",,"64,6",,"0,3",,"0,12",,,,,,,,,,,
271,"Edamame, Fèves de soja - Karma",7613379315076,,,,,['Karma'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés']","['Végétarien', 'Végétalien']",,,,['France'],[],,"['Végétalien', 'Végétarien']",,?,,136,-41%,6,-39%,"5,1",-67%,14,+17%,,,,,,,,,6 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,0.67 g,en quantité modérée,569 kj(136 kcal),-39%,0,-100%,0,-100%,"0,67",+35%,"0,268",+35%,-2,,A,,,,,,,
272,Lactose Free Pistachio Milk - Sunkist - 180ml,8850096730518,,,180 ml,['tetra package'],"['Sunkist', 'ซันคิสท์']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales']",['Sans lactose'],,,,"['France', 'Thaïlande']","['INGREDIENTS: PISTACHIOS MILK ', 'FILTERED WATER AND PISTACHIOS', ' 93', '3%', 'FIBER 3', '3%', 'RAW CANE SUGAR 2', '5%', 'CALCIUM CARBONATE 0', '3%', 'SALT O', '1%,VITAMIN E 005% FOOD ADDITIVES ', 'MICROCRYSTALLINE CELLULOSE', 'SODIUM CARBOXYMETHYL CELLULOSE,POTASSIUM CITRATE', 'SUNFLOWER LECITHIN']",,[],4,?,,38.9,-46%,"1,11",-75%,"6,67",+16%,"0,556",-59%,,,,,,,,,1.11 g,en faible quantité,0 g,en faible quantité,3.33 g,en quantité modérée,0.12 g,en faible quantité,163 kj(38 kcal),-45%,0,-100%,"3,33",-10%,"0,12",+40%,"0,048",+40%,-3,-255%,A,-255%,['E460i - Cellulose microcristalline'],,,,,
273,Gélatine de boeuf en poudre,0733739065094,,,,,,,,,,,['France'],[],,[],,?,,35,,0,,0,,9,,,,,,,,,,,,,,,,,,146 kj(35 kcal),,0,,0,,"0,02",,"0,008",,,,,,,,,,,
274,Porridgge,0701197959972,,,,,,,"['Bio', 'Bio européen', 'CZ-BIO-001', 'Agriculture UE/Non UE']",,,,['France'],[],,[],,?,,374,,"9,2",,"56,1",,"10,5",,,,,,,,,,,,,,,,,,1565 kj(374 kcal),,"0,9",,18,,0,,0,,,,,,,,,,,
275,Chips Gran Seleccion - Vicente Vidal,8410071100851,B,,,['sachet plastique'],['Vicente Vidal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', ""Chips de pommes de terre à l'huile de tournesol""]",['en:gluten-free'],,,,['France'],"['Pomme de terre', 'huile de tournesol ', '27%', ' et sel']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,,499,-7%,27,-19%,56,+10%,"5,2",-12%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,27 g,en quantité élevée,2.9 g,en quantité modérée,0.5 g,en faible quantité,0.63 g,en quantité modérée,2088 kj(499 kcal),-7%,"2,9",-2%,"0,5",-61%,"0,63",-52%,"0,252",-52%,7,-36%,C,-36%,,,,,,
276,Kidi fruit,3608580950196,,,,,"['Kidi fruit', 'Andros']",,['Sans sucre ajouté'],,,,['France'],[],,[],,?,,41,,"0,2",,"8,3",,"0,5",,,,,,,,,,,,,,,,,,172 kj(41 kcal),,0,,"8,2",,0,,0,,,,,,,,,,,
277,Nespresso Melozio,7630047653032,,,,,['Nespresso'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Nespresso']",,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Cocktail d'olives,3770003906889,,,,,,,,,,,['France'],[],,[],,?,,186,,"18,8",,1,,"1,4",,,,,,,,,,,,,,,,,,778 kj(186 kcal),,"2,4",,"0,7",,"2,6",,"1,04",,,,,,,,,,,
279,Jus de raisin blanc,3505931201023,C,,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de raisin']","['Bio', 'Bio européen', 'FR-BIO-01']",,,,['France'],[],,[],,?,,64,-4%,"0,5",+159%,"16,1",-1%,"0,5",+65%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,0.5 g,en faible quantité,0.1 g,en faible quantité,15.1 g,en quantité élevée,0.1 g,en faible quantité,268 kj(64 kcal),-5%,"0,1",+240%,"15,1",-4%,"0,1",+1429%,"0,04",+1429%,9,-7%,D,-7%,,,,,,
280,Lapin Or - Lindt,4000539681189,,,,,['Lindt'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat', 'Aliments de Pâques', 'Lapins en chocolat']",['Fabriqué en Allemagne'],,,,['France'],[],,[],,?,,545,-2%,32,-6%,56,+4%,"7,4",+13%,,,,,,,,,32 g,en quantité élevée,20 g,en quantité élevée,55 g,en quantité élevée,0.2 g,en faible quantité,2280 kj(545 kcal),-1%,20,-4%,55,+5%,"0,2",+3%,"0,08",+3%,26,-1%,E,-1%,,,,,,
281,Ovomaltine Eco Wander 2X1 KG,7612100013779,,Boisson instantanée à base de malt et de cacao,,,['Ovomaltine'],"['Boissons', 'Boissons instantanées']",['Sans sucre ajouté'],,,,['France'],[],,[],,?,,372,+41%,2,-47%,"74,2",+52%,"12,4",+113%,,,,,,,,,2 g,en quantité modérée,0.9 g,en quantité modérée,40.4 g,en quantité élevée,0.63 g,en quantité modérée,1556 kj(372 kcal),+35%,"0,9",-63%,"40,4",+10%,"0,63",+105%,"0,252",+105%,,,,,,,,,,
282,Perles de saveurrs Yuzu - Miss Algae,3467740018042,,,,,['Miss Algae'],,['en:produced-in-bretagne'],,,,['France'],[],,[],,?,,5,,"0,5",,"0,5",,"0,3",,,,,,,,,,,,,,,,,,21 kj(5 kcal),,"0,5",,"0,3",,"0,1",,"0,04",,,,,,,,,,,
283,Confiture Mangue Vanille - Francis Miot - 340g,3396745002742,D,,340 g,,['Francis Miot'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits tropicaux', 'Confitures de mangues']",,,,,['France'],"['mangue 63 %', 'sucre de canne 35 %', 'jus de citron', 'vanile 0,03 % gelifiat ectine ', 'issue de fruits']",,[],,?,,14,-93%,"0,5",+68%,44,-15%,"0,5",+26%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,0.5 g,en faible quantité,0.1 g,en faible quantité,43 g,en quantité élevée,0.01 g,en faible quantité,59 kj(14 kcal),-93%,"0,1",+162%,43,-15%,"0,01",-66%,"0,004",-66%,7,-28%,C,-28%,,,,,,
284,Ma semoule de lait,3760128849260,B,,,,,"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Semoules au lait']",['Sans conservateurs'],,,,['France'],[],,[],,?,,125,+2%,"4,8",+21%,"16,8",-5%,"3,1",-8%,57.6%,19.3%,8.9%,7.9%,4.9%,1.3%,91,,4.8 g,en quantité modérée,3 g,en quantité modérée,13 g,en quantité élevée,0.1 g,en faible quantité,523 kj(125 kcal),+2%,3,+18%,13,+1%,"0,1",-9%,"0,04",-9%,4,+2%,C,+2%,,,,,,
285,2050377348678,2050377348678,,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Ail-persil,3700009269312,,,,,,,['Sans conservateurs'],,,,['France'],[],,[],,?,,349,,21,,33,,"6,1",,,,,,,,,,,,,,,,,,1460 kj(349 kcal),,13,,"2,4",,"1,3",,"0,52",,,,,,,,,,,
287,Deodorisant - Leader Price,3263854158625,,,,,['Leader Price'],,,,,['Leader Price'],['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Pizza 4 fromages - Leaderprice - 200g,3263858565115,C,,200 g,,['Leaderprice'],"['Surgelés', 'Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas au fromage', 'Pizzas et tartes surgelées', 'Pizzas aux quatre fromages']",['AOP'],,,['Leader Price'],['France'],"[""huile de tournesol - sel - levure fibre de pois - émulsifiant : mono - et diglycérides d'acides gras lactosérum - épaississant: Pâte "", 'farine de blé eau méthylcellulose', ' - mozzarella 13,3% ', ""lait - sel - ferments lactiques - coagulant microbien - correcteur d'acidité : acide citrique"", "" - purée de tomate mi-réduite 7,8% - eau - fromage Provolone 7,3% - fromage Gorgonzola AOP* 5,9% - fromage Asiago AOP* 5,9% - crème fraîche - oignon grillé - fromage stracchino 0,4% - huile d'olive vierge extra - amidon transformé de maïs - lait écrémé en poudre - origan - arôme naturel - ail - poivres - sel"", "" *AOP: Appelation d'Origine Protégée"", ' Traces de soja', ' Les informations en gras sont destinées aux personnes allergiques ou intolérantes']",['Lait'],['Non végétalien'],4,?,,264,+5%,"11,2",+8%,"27,2",+1%,"12,4",+7%,73.6%,9.9%,3.3%,4.1%,1.9%,7.1%,56,,11.2 g,en quantité modérée,5.8 g,en quantité élevée,3.9 g,en faible quantité,1.2 g,en quantité modérée,1105 kj(264 kcal),+5%,"5,8",+3%,"3,9",+39%,"1,2",-6%,"0,48",-6%,11,-6%,D,-6%,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E14XX - Amidons modifiés']",,,,,
289,Chocoberry Hopp!,7640463960027,,,,,,,,,,,['France'],[],,[],,?,,460,,"25,8",,"55,5",,"7,5",,,,,,,,,,,,,,,,,,1925 kj(460 kcal),,"5,7",,"44,2",,0,,0,,,,,,,,,,,
290,Magic toast,7896003702309,,,,,,,,,,,['France'],[],,[],,?,,372,,0,,80,,10,,,,,,,,,,,,,,,,,,1556 kj(372 kcal),,0,,0,,"0,532",,"0,213",,,,,,,,,,,
291,Gressin - Blini,3292070009558,B,,,,['Blini'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,['France'],[],,[],,?,,397,-6%,"8,7",-19%,67,+0%,11,-4%,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,8.7 g,en quantité modérée,1.5 g,en quantité modérée,1.7 g,en faible quantité,2.38 g,en quantité élevée,1661 kj(397 kcal),-6%,"1,5",-34%,"1,7",-32%,"2,38",+25%,"0,952",+25%,15,+17%,D,+17%,,,,,,
292,Macaron - Pasquier,3187670003290,D,,,,['Pasquier'],"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",,,,,['France'],[],,[],,?,,423,-1%,17,-4%,57,+3%,"9,2",+7%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,17 g,en quantité modérée,3.1 g,en quantité modérée,57 g,en quantité élevée,0.15 g,en faible quantité,1770 kj(423 kcal),-1%,"3,1",-31%,57,+13%,"0,15",+5%,"0,06",+5%,18,+2%,D,+2%,,,,,,
293,Ascania premium,4630001591809,,,,,,,,,,,['France'],[],,[],,?,,50,,0,,"11,5",,0,,,,,,,,,,,,,,,,,,209 kj(50 kcal),,0,,"11,5",,0,,0,,,,,,,,,,,
294,Dosettes espresso,3245678172810,,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Giffard Litschi Sirup Maxi,3180290038215,B,,,,['Giffard'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Boissons avec sucre ajouté']",,,,,['France'],"['Sucre', 'eau', 'jus concentré de litchi', 'jus concentré de citron', 'arôme de litchi', 'colorant E129']",,[],4,?,,330,+33%,0,-100%,82,+29%,0,-100%,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,1381 kj(330 kcal),+29%,0,-100%,80,+31%,"0,29",+873%,"0,116",+873%,,,,,['E129 - Rouge allura AC'],,,,,
296,Jambon Cuit Superieur Bio - Madrange - 140g,3180940087051,,,140 g,,['Madrange'],,['Bio'],,,,['France'],[],,[],,?,,112,,"2,7",,"0,8",,21,,,,,,,,,"['EMB 87065', 'Feytiat (Haute-Vienne, France)']",,,,,,,,,469 kj(112 kcal),,1,,"0,8",,"1,9",,"0,76",,,,,,,,,,,
297,Lutti,3116740036043,,,,,['Lutti'],,,,,,['France'],[],,[],,?,,341,,0,,79,,5,,,,,,,,,,,,,,,,,,1427 kj(341 kcal),,0,,68,,"0,13",,"0,052",,,,,,,,,,,
298,Saucisses à griller de Nuremberg - 300g,26047546,,,300 g,,,,,,,,['France'],[],,[],,?,,348,,32,,1,,14,,,,,,,,,,,,,,,,,,1456 kj(348 kcal),,12,,1,,"1,8",,"0,72",,,,,,,,,,,
299,Charolais - Tradival,3460320019668,,,,,['Tradival'],['Charolais'],,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,"['FR 43.190.003 CE', 'Saint-Germain-Laprade (Haute-Loire, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
