,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,packaging,labels,traceability_code,additives,nova_score,generic_name,ingredients_origins,manufacturing,link,allergens,origin_detail,markets,palm_ingredients,brand_owner,producer_info
342,KITKAT sachet mini œufs,8000300404425,['France'],"['einde:/A coso Mindestens haltbar bis En 2021 03170848 F RA ', 'NL', ' Melkchocolade ', '52%gevuld met magere caco ', '9%', ' net krokante en wafelstukjes ', '4%', ' grediênten: suiker', 'plantaărdige oen ', 'balm k zonnebloem', 'magereIELKpoeder', 'cacaoboter""', 'cacaomass""', 'LACTOSE cacaopoeder""temeel', 'WElpoeder', 'watervrij MELKvet', 'mugator ', 'eitie aardappelzameel', 'maiszetmeel', 'maïszemelen', 'banoogvezel', 'rismite natriumcabonaten', 'zout', 'natuurlijk aroma', 'Kan bevatten: NOTEN', '""Raintre lliance CeriedTM', 'Find out more at ra,org/ ', 'FR', 'CH', ' onbons de chocolata ait ', '52%', 'fosrrage cacao maigre ', '9%', ' auriz cfoustillantetéclaiste gaufrettes ', '4%', ' Ingrédients : sucre', 'huiles végétals ', 'pálme', 'colz', 'truMe LAIT écrémé en poudre', 'beurre de cacao""', 'pâte de cacão""', 'LACTOSE', 'C maigre en poudre', 'farine de riz', 'PETIT-LAIT en poudre matière grasSsE DE dre', 'émulsifiant ', 'lécithines', 'amidon de pommedeterre', 'amidon de mais son e mays', 'fibre de bambou', 'poudre à lever ', 'carbonafes de sodium', 'sel arime Taturel', 'Peut contenir: FRÜITS A COQUE', '""Nestle s\'engage avec Rainforest Alliance pour soutenir les cultivateurs de cacao', 'www ra org/itl ', 'D5|', 'CH', ' Milchschokolade ', '52%', ' mit kakaohaltiger Fallung ', '9%', 'mit Reis und laffelstückchen ', '4%', ' - Zutaten: Zucker', 'pflanzliche Fette ', 'Paim Reas Sonnenblume', 'MAGÈRMÍLCHPULVER', 'Kakaobutter""', 'Kakaomasse"" LAKTOSE Tettarmer Kakao""', 'Reismehl', 'MOLKENERZEUGNIS', 'BUTTERRENFET Enugair Lecithine', 'Kartoffelstärke', 'Maisstärke', 'Maiskleie', 'Ballaststoffaus Bambus', 'Bạcktriebmittel Natriumcarbonate', 'Salz', 'natürliches Aroma', 'Kanmenthalten NUSSE', '""Rainforest Alliance CertifiedM Find out more at ra,org Via del Mulino 6', '20057 Assago ', 'MI', ' Stabilimento S', 'Sisto - Perugia Fabriqué par/Hergestellt von: Nestlé Italiana S,p,A,']","['Huile de palme', 'Non végétalien']",?,542,2268 kj(542 kcal),"32,2","17,8","54,8","52,5","6,1","0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E322 - Lécithines'],4,,,,,['Lait'],,,['Huile de palme'],,
343,Kokosnussmilch mit curry,4061458154192,['France'],[],[],?,165,690 kj(165 kcal),17,15,"1,3",1,"1,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,"Soto, Energie Taler, Vegan, Gemüse Tofu",4026584133206,['France'],[],[],?,254,1063 kj(254 kcal),15,2,21,"2,1","7,2",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen']",,,,,,,,,,,,,
345,Plateau 3 raclettes,3123931282882,['France'],[],[],?,349,1460 kj(349 kcal),29,19,"0,5","0,5",22,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,Bio Rotweinessig,8002461910388,['France'],[],[],?,19,79 kj(19 kcal),6,0,"0,1","0,1","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'en:EG-Öko-Verordnung']",,,,,,,,,,,,,
347,Voglio sta bene semi di chia bio,8022424000079,['France'],[],[],?,456,1908 kj(456 kcal),"32,3","3,2","2,5","0,2","24,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'IT-BIO-006']",,,,,,,,,,,,,
348,Café molido mezcla,8433329051170,['France'],[],[],?,277,1159 kj(277 kcal),"7,3","3,3","2,5","1,5",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Croquette Chien Sensitive Riz Poulet 2KG,8714265970689,['France'],[],[],?,?,,?,,?,,?,,,C,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au poulet', 'Nems', 'Nems au poulet']",,,,,,,,,,,,,,,,,,,,,,,62.8%,18.1%,4.7%,5.0%,2.0%,7.4%,57,,,,,,,,,,,,,,,,,
350,"Garniture (bruschetta, Tomate Et Basilic )",0057000076023,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Compote pomme,3297560991146,['France'],[],[],?,70,293 kj(70 kcal),"0,5","0,1",16,14,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Pot en plastique'],,,,,,,,,,,,,,
352,Grillstone,4260520021091,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,4 barres cramberies grenade framboise,3760151010170,['France'],[],[],?,1424,5958 kj(1424 kcal),12,"4,9",36,"5,1",21,"0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,
354,Le Citronnier,3276220001838,['France'],[],[],?,550,2301 kj(550 kcal),32,14,59,24,"5,9","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 34259A', ""Saint-Georges-d'Orques (Hérault, France)""]",,,,,,,,,,,,
355,Frollini di farro biologici con gocce di cioccolato,8002234161504,['France'],[],[],?,482,2017 kj(482 kcal),21,"4,9",64,26,"7,9","0,52","0,208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,"Crevettes marinées, nouilles de riz et légumes - Auchan",3254560434431,['France'],[],[],?,153,640 kj(153 kcal),"4,1","0,7",22,"1,8","6,6","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,,,,,,,,['Auchan'],,,
357,Pates farfalle,3346041413643,['France'],[],[],?,350,1464 kj(350 kcal),1,"0,3",73,"2,5",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,Confiture mangue,3760294530245,['France'],[],[],?,191.9,803 kj(191 kcal),"0,6","0,6",55,50,"0,6","0,125","0,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,Bio arancia carota limone - Valfrutta,8001440129094,['France'],[],[],?,46,192 kj(46 kcal),0,0,"11,2","11,2","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Valfrutta'],,,,,,,,,,,,,,,
360,Staud's Wald-preiselbeeren / Leichtkonfitüre,90084782,['France'],[],[],?,174,728 kj(174 kcal),0,0,39,"0,5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,BEN & JERRY'S Crème Glacée en Pot Rain-dough Cookie Dough Twist 465ml - 402g,8711327480049,"['France', 'Suède', 'Royaume-Uni']","['Eau', 'CRÈME ', '23%', 'sucre', 'LAIT concentré écrémé', 'farine de BLÉ', 'huile de soja', ""jaune d'ŒUF¹"", 'huile de coco', 'BEURRE', 'LAIT écrémé en poudre', 'sel', 'émulsifiant ', 'lécithines de SOJA', 'ŒUF¹', 'pâte de cacao', 'stabilisants ', 'gomme guar', 'carraghénanes', 'gomme arabique', 'extrait de vanille', 'beurre de cacao', 'mélasses', 'LAIT entier en poudre', 'amidon de BLÉ', 'spiruline', 'amidon modifié', 'arôme naturel de vanille', 'jus de betterave concentré', 'sirop de glucose', 'colorants ', 'riboflavine', 'bixine de rocou', 'curcumine', 'carotènes', 'concentré de radis', 'concentré de carthame', 'concentré de pomme', 'concentré de citron', 'concentré de cassis', '¹œufs de poules élevées en plein air', ' > Sucre', 'cacao', 'vanille : issus du commerce équitable Fairtrade dans le respect du bilan de masse ', '20% du poids total', 'F']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Végétarien']",1149,274,1149 kj(274 kcal),17,"9,6",27,25,"3,8","0,44","0,176",B,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glace en pot', 'Glaces à la vanille']",17 g,en quantité modérée,9.6 g,en quantité élevée,25 g,en quantité élevée,0.44 g,en quantité modérée,+17%,+16%,+16%,+30%,+18%,+7%,+13%,+4%,+107%,+107%,18,+23%,D,+23%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,402 g,"['Ben & Jerry’s', 'Unilever']","['card-pot', 'card-lid', 'Carton', 'Surgelé', 'Film', 'Papper', 'Paper', 'Green Dot', '81 C/PAP']","['Végétarien', 'Commerce équitable', 'Fairtrade International', 'Point Vert', 'Halal', 'en:Halal Food Authority']",,"['E412 - Gomme de guar', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', ""E414 - Gomme d'acacia"", 'E14XX - Amidons modifiés', 'E100 - Curcumine', 'E160a - Carotènes mélangés']",4,Crème glacée vanille autour d'un cœur en tourbillon de pâte de cookie avec des vermicelles multicolores (13%) et des pépites colorées (5%).,,,https://www.benjerry.fr/parfums/rain-dough-cookie-dough-twist/pots,"['Œufs', 'Gluten', 'Lait', 'Soja']",,"['Intermarché', 'Coop']",,,
362,8272475394584,8272475394584,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Filets de poulet - Maître coq - 260g,3230890050312,['France'],"['Maître CoQ Le Volailler VOLAILLE FRANÇAISE V ALIMENTATION 100% VÉGÉTALE FILETS DE POULET NOURRI AUX GRAİNS O BLE FRANÇAIS DE 2LE BARQUETTE EN MATIÈRE Service consommateurs: ARR', 'S', 'A', 'S', ' CS 3001 35250 SAINT FULGENT-Fra www', 'maitrecoq', 'fr Produit frais classe A', ' Origine Fe', ' * Alimentatian 10% vánétale complémentée en vitamines et minér aux', 'ave % de céréales dont 3', '% d lé']",[],?,113,473 kj(113 kcal),"2,3","0,7",0,0,23,"0,11","0,044",,['Volaille française'],2.3 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,,,,,,,,,,,-4,,A,,,,,,,,,260 g,['Maître coq'],['plastique recyclé'],"['Nutriscore', 'Nutriscore A']","['FR 85.084.001 CE', 'Essarts (Vendée, France)', 'FR 85.004.001 CE', 'Angles (Vendée, France)']",,,,['France'],,,,,['Leclerc'],,,
364,Chocopaye,8692806019595,['France'],[],[],?,419,1753 kj(419 kcal),"17,9","13,7","59,8","34,8","4,8","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,3564700851982,3564700851982,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Décaféiné BIO,3261342004348,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Pop-o top's,5204193820376,['France'],[],[],?,?,,?,,?,,?,"2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,"Käse, Scheiben, Raclette L'originale 400 g Pro Packung",3176580107617,['France'],[],[],?,328,1372 kj(328 kcal),26,18,"0,5","0,4",23,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,Comprimés Berocca Energie,3534510000665,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,Oral b trident,7622201133214,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,El hindy de volail,3276440847797,['France'],[],[],?,190,795 kj(190 kcal),14,"4,1","5,5","0,7",11,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Grissini ricoperti Bio,8026424111155,['France'],[],[],?,520,2176 kj(520 kcal),31,16,47,16,"9,3","0,66","0,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE']",,,,,,,,,,,,,
373,Edulcorant liquide,3252920633616,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Vinaigrette fines herbes - sweet chef - 450ml,3683080555539,['France'],[],[],?,492,2059 kj(492 kcal),49,"3,9",12,11,"0,7","2,2","0,88",D,"['Epicerie', 'Sauces', 'Sauces salades', 'Vinaigrettes', 'en:Epicerie', 'en:Sauces salades']",49 g,en quantité élevée,3.9 g,en quantité modérée,11 g,en quantité modérée,2.2 g,en quantité élevée,,+79%,+81%,+130%,+70%,+9%,+52%,-65%,-23%,-23%,20,+54%,E,+54%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,450 ml,['sweet chef'],,,['EMB 1615V1'],,,,,,,,,,,,
375,Coteaux bourguignon,3198129877324,['France'],[],[],?,?,,?,0,?,0,?,,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,-100%,,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Bio village bebe,3564707169837,['France'],[],[],?,88,368 kj(88 kcal),"2,7","0,9",14,"5,1",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen']",,,,,,,,,,,,,
377,Knoblauch in Kräutermarinade,4006099660107,['France'],[],[],?,90,377 kj(90 kcal),"2,2","0,2","10,7","4,6","4,5","5,5","2,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,Ajvar,5319990821027,['France'],[],[],?,103,431 kj(103 kcal),"4,04","0,46","14,9","7,89","1,8","1,87","0,748",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,Feijão preto cozido,5605458110063,['France'],[],[],?,104.2,436 kj(104 kcal),1,"0,6","15,7","1,8","6,2","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Épices,8595012061023,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,Farine de blé intégrale - Naturalia,3700036907041,['France'],[],[],?,333,1393 kj(333 kcal),"1,5","0,3",62,"1,8",13,0,0,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé']",1.5 g,en faible quantité,0.3 g,en faible quantité,1.8 g,en faible quantité,0 g,en faible quantité,,-3%,-3%,+12%,+28%,-11%,+18%,+19%,-100%,-100%,-1,,A,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,,['Naturalia'],,,,,,,,,,,,,,,
382,Boeuf Bourguignon,3366760036060,['France'],[],[],?,91,381 kj(91 kcal),3,"1,6","5,7","1,7","9,9","0,97","0,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,Persil,3580283040285,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,La latina Dulce de Leche,8437012146532,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,Baies rosés de Madagascar,3183811059461,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,Terrine forestière,3760098670239,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,Lakkahillo Hjortronsylt,6418116256299,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Les idéales frites,3760144293146,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,"Cranberrysirup Auf Agavenbasis (bio), Canberra",4260096393028,['France'],[],[],?,301,1259 kj(301 kcal),"0,5","0,1",74,1,"0,5",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,Abtswinder Grüner Tee,4016883441355,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Haricots rosés,3367350600005,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,9332991000396,9332991000396,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,Tomatensuppe - Seitenbacher,4008391055001,['France'],[],[],?,30,126 kj(30 kcal),0,0,6,3,1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Seitenbacher'],,,,,,,,,,,,,,,
394,Yaourt nature,3010001902002,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,Der Grosse Bauer Joghurt Pflaume- Zimt,4002334111526,['France'],[],[],?,88,368 kj(88 kcal),"2,7","1,8",13,"12,3",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,Miel de Fleurs,3760069591013,['France'],[],[],?,?,,?,,?,,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,
397,Bio gourmet Klare Suppe Mit Rind,4039057402716,['France'],[],[],?,4,17 kj(4 kcal),"0,1",0,"0,8","0,6","0,1","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'en:EG-Öko-Verordnung']",,,,,,,,,,,,,
398,Navets salés bio - Angsthelm & Fils - 1kg,3760049230970,['France'],['Navets bios\rsel\rAcide ascorbique'],[],106,25,106 kj(25 kcal),"0,1","0,01","4,6","3,8",1,"0,2","0,08",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits fermentés', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Navet']",0.1 g,en faible quantité,0.01 g,en faible quantité,3.8 g,en faible quantité,0.2 g,en faible quantité,,,-7%,-89%,-92%,+12%,+116%,-5%,-84%,-84%,-5,,A,,,,,,,,,1 kg,['Angsthelm & Fils'],['Seau'],"['Bio', 'Bio européen']",,,,Navets salés,,"['Alsace', 'France']",,,,['Satoriz'],,,
399,Katopé avocat,3458462047243,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 94065', 'Rungis (Val-de-Marne, France)']",,,,,,,,,,,,
400,Jus de pamplemousse - BIOvillage,356470708028604,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['BIOvillage'],,"['Nutriscore', 'Nutriscore C']",,,,,,,,,,,,,
401,Miel de fleurs de printemps - 500g,3770013650055,['France'],[],[],?,?,,?,,?,,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,500 g,,,,,,,,,,,,,,,,
402,Sucre de canne blonde bio,3609060000813,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen']",,,,,,,,,,,,,
403,The vert matcha,3770007351043,['France'],[],[],?,16,67 kj(16 kcal),0,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen']",,,,,,,,,,,,,
404,duo de saumon - sodebo - 135g,24117890,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135g,['Sodebo'],['Plastique'],"['Nutriscore', 'Nutriscore B']",,,,,,,,,,,,,
405,Ensinger Direktsaft Apfel schorle,4002343242402,['France'],[],[],?,28,117 kj(28 kcal),"0,5","0,1","6,8","6,2","0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,pommes de terre rissolées - Findus - 1100g,15652485,['France'],"['pommes de terre 95%', 'huile de colza 4,5%', 'dextrose']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,['Surgelés'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100 g,['Findus'],['Plastique'],['Pommes'],,,4,,,,,,,,,,
407,Formil - Lidl - 1l,4056489215998,['France'],[],[],?,?,,?,,?,,?,,,,['Lessive'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1l,['Lidl'],['Plastique'],,,,,,,,,,,,,,
408,Nutriluxe Paris,3760094590036,['France'],[],[],?,44,184 kj(44 kcal),11,0,11,11,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,Le tradition authentique et boise,3033610067436,['France'],[],[],?,828,3464 kj(828 kcal),12,"2,5","0,6","0,6",22,"2,9","1,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['ASC-C-00777'],,,,,,,,,,,,
410,Salade de pate - En Cuisine,3184830034750,['France'],[],[],?,207,866 kj(207 kcal),15,2,13,"1,4","3,8","0,78","0,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['En Cuisine'],,,"['EMB 56075D', 'Guer (Morbihan, France)']",,,,,,,,,,,,
411,Mini-Brezel aus dem Schwarzwald - Maya - 150g,4006748000308,['France'],[],[],?,380,1590 kj(380 kcal),6,"2,8",68,"3,1",11,"5,3","2,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150g,['Maya'],['Plastique'],,,,,,,,,,,,,,
412,Miel apiculteur,3088541005170,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,Mövenpick Lungo Classico Kapseln 10er Merken,4006581060163,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Mövenpick'],,,,,,,,,,,,,,,
414,Pasta agli spinali,8003007823902,['France'],[],[],?,358,1498 kj(358 kcal),"1,2","0,5","73,6","1,8",12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,Kuchenmeister Muffins Stracciatella 4er,4101540711435,['France'],[],[],?,409,1711 kj(409 kcal),20,"3,3",53,27,"5,3","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,Mini croissants,5201360565306,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Malaysisches Gemüsecurry (lenas Küche),4260224430052,['France'],[],[],?,86,360 kj(86 kcal),"4,4",2,"6,9","2,5","2,8","1,81","0,724",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,3059941007224,3059941007224,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,Arnabar foie gras de canard entier,3700415000165,['France'],[],[],?,487,2038 kj(487 kcal),"50,1","22,9","2,2","0,6","6,9",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,MTR Garam Masala,8901042964294,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,SKYR Nature - Carrefour - 100g,3560071406073,['France'],"['Lait écrémé pasteurisé', 'fements lac - tiques', 'Lait origine France']",['Non végétalien'],219,52,219 kj(52 kcal),0,0,4,"3,6","8,9","0,11","0,044",,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Skyr', 'Yahourt protéiné']",0 g,en faible quantité,0 g,en faible quantité,3.6 g,en faible quantité,0.11 g,en faible quantité,-19%,-24%,-23%,-100%,-100%,-38%,-38%,-5%,+4%,+4%,-5,,A,,,,,,,,,100 g,['Carrefour'],['4 x 100 g'],"['Nutriscore', 'Nutriscore A']",,,1,,,,,,,['Carrefour'],,,
422,Myrtilles,8424314004288,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,Trolli Gummi Candy,4000512733119,['France'],[],[],?,334,1397 kj(334 kcal),"0,1","0,1",77,46,"5,4","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,Sweat bakery,4035644051923,['France'],[],[],?,391,1636 kj(391 kcal),"6,98","3,41","72,89","6,23","7,31","0,58","0,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,L’Apéro Boules - Curry & pointe de piment,3760336830050,['France'],[],[],?,422,1766 kj(422 kcal),16,"1,8",55,"1,6",11,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
